supplier,product,customer
Powerchip,Flash_memory,Intel
QLogic,Network_interface_controller,Intel
Qualcomm,Central_processing_unit,Intel
Qualcomm_Atheros,Bluetooth,Intel
Samsung,Flash_memory,Intel
MWEB,Wi-Fi,Intel
Beltelecom,Wi-Fi,Intel
Biostar,Motherboard,Intel
Biostar,System_on_a_chip,Intel
Boingo_Wireless,Wi-Fi,Intel
Aptilo_Networks,Wi-Fi,Intel
Pegatron,Motherboard,Intel
Unisphere_Networks,Microprocessor,Intel
Universal_Abit,Wi-Fi,Intel
Universal_Abit,Motherboard,Intel
VEON,Wi-Fi,Intel
VIA_Technologies,Central_processing_unit,Intel
VIA_Technologies,Motherboard,Intel
Virtium_Solid_State_Storage_and_Memory,Flash_memory,Intel
Nufront,System_on_a_chip,Intel
Ralink,Wi-Fi,Intel
MediaTek,Central_processing_unit,Intel
MediaTek,Microprocessor,Intel
MediaTek,Network_interface_controller,Intel
MediaTek,Motherboard,Intel
MediaTek,System_on_a_chip,Intel
STMicroelectronics,Microprocessor,Intel
GeIL,Flash_memory,Intel
Elitegroup_Computer_Systems,Motherboard,Intel
NZXT,Motherboard,Intel
EVGA_Corporation__EVGA_Corporation__1,Motherboard,Intel
Anobit,Flash_memory,Intel
Lexar,Flash_memory,Intel
M4Tel,Modem,Intel
Calxeda,System_on_a_chip,Intel
Zero_ASIC,Central_processing_unit,Intel
Zhaoxin,Central_processing_unit,Intel
Zhaoxin,Microprocessor,Intel
ZiiLABS,System_on_a_chip,Intel
Transmeta,Microprocessor,Intel
WiLAN,Bluetooth,Intel
WiLAN,Wi-Fi,Intel
Wilk_Elektronik,Flash_memory,Intel
Winbond,Flash_memory,Intel
Winia_Electronics,Flash_memory,Intel
Wintec_Industries,Flash_memory,Intel
HIVE_(ISP),Wi-Fi,Intel
ASRock,Motherboard,Intel
Advanced_Micro_Devices,Central_processing_unit,Intel
Advanced_Micro_Devices,Microprocessor,Intel
Advanced_Micro_Devices,Network_interface_controller,Intel
Advanced_Micro_Devices,Motherboard,Intel
Advanced_Micro_Devices,System_on_a_chip,Intel
Alteon_WebSystems,Network_interface_controller,Intel
Alvarion,Wi-Fi,Intel
Amlogic,System_on_a_chip,Intel
Cyrix,Central_processing_unit,Intel
Cyrix,Microprocessor,Intel
Cyrix,System_on_a_chip,Intel
DFI,Motherboard,Intel
EPoX,Bluetooth,Intel
EPoX,Motherboard,Intel
Four-Phase_Systems,Microprocessor,Intel
Kontron,Motherboard,Intel
Greenliant_Systems,Flash_memory,Intel
Telechips,System_on_a_chip,Intel
Tyan,Motherboard,Intel
Arm_(company),Microprocessor,Intel
Asus,Motherboard,Intel
Atmel,Flash_memory,Intel
Accutone,Bluetooth,Intel
Chassis_Plans,Motherboard,Intel
Lanner_Electronics,Motherboard,Intel
Bluegiga,Bluetooth,Intel
Bluegiga,Wi-Fi,Intel
TSMC,Central_processing_unit,Intel
TSMC,Microprocessor,Intel
TSMC,Network_interface_controller,Intel
TSMC,Motherboard,Intel
TSMC,System_on_a_chip,Intel
"Western_Design_Center__The_Western_Design_Center,_Inc.__1",Microprocessor,Intel
Marvell_Technology,Central_processing_unit,Intel
Sol_Republic,Bluetooth,Intel
Ingenic_Semiconductor,Central_processing_unit,Intel
Intel,Modem,Intel
Intel,Bluetooth,Intel
Intel,Autonomous_vehicles,Intel
Intel,Wi-Fi,Intel
Intel,Flash_memory,Intel
Intel,Central_processing_unit,Intel
Intel,Microprocessor,Intel
Intel,Network_interface_controller,Intel
Intel,Motherboard,Intel
Intel,Integrated_graphics,Intel
Intel,System_on_a_chip,Intel
Intel,Solid_state_drive,Intel
Intel_Ireland,Flash_memory,Intel
Intel_Ireland,Microprocessor,Intel
Microcom,Modem,Intel
Microsemi,System_on_a_chip,Intel
NeoMagic,System_on_a_chip,Intel
NexGen,Microprocessor,Intel
Nvidia,Central_processing_unit,Intel
NxStage,System_on_a_chip,Intel
Canaan_Creative,Central_processing_unit,Intel
XFX,Motherboard,Intel
Yangtze_Memory_Technologies,Flash_memory,Intel
WestNet_Wireless,Wi-Fi,Intel
WiFiFee,Wi-Fi,Intel
"SunComm_Technology__Co.,Ltd.__1",Modem,Intel
USRobotics__U.S._Robotics_Corporation__1,Modem,Intel
