supplier,product,customer
QLogic,Network_interface_controller,MediaTek
Qualcomm,Central_processing_unit,MediaTek
Mouser_Electronics,Integrated_circuit,MediaTek
Mornsun,Integrated_circuit,MediaTek
Biostar,Motherboard,MediaTek
Biostar,System_on_a_chip,MediaTek
Appian_Graphics,Graphics_processing_unit,MediaTek
Pegatron,Motherboard,MediaTek
Unisphere_Networks,Microprocessor,MediaTek
Universal_Abit,Motherboard,MediaTek
VIA_Technologies,Central_processing_unit,MediaTek
VIA_Technologies,Motherboard,MediaTek
Design_of_Systems_on_Silicon,Integrated_circuit,MediaTek
Dynex_Semiconductor,Integrated_circuit,MediaTek
E-mu_Systems,Digital_signal_processor,MediaTek
Nufront,System_on_a_chip,MediaTek
MediaTek,Device_driver,MediaTek
MediaTek,Integrated_circuit,MediaTek
MediaTek,Central_processing_unit,MediaTek
MediaTek,Digital_Light_Processing,MediaTek
MediaTek,Graphics_processing_unit,MediaTek
MediaTek,Chipsets,MediaTek
MediaTek,Digital_signal_processor,MediaTek
MediaTek,Microprocessor,MediaTek
MediaTek,Network_interface_controller,MediaTek
MediaTek,Motherboard,MediaTek
MediaTek,System_on_a_chip,MediaTek
MediaTek,Embedded_processor,MediaTek
Ruselectronics,Integrated_circuit,MediaTek
STMicroelectronics,Integrated_circuit,MediaTek
STMicroelectronics,Microprocessor,MediaTek
Genesis_Microchip,Integrated_circuit,MediaTek
Eiki,Digital_Light_Processing,MediaTek
Elitegroup_Computer_Systems,Motherboard,MediaTek
NZXT,Motherboard,MediaTek
EVGA_Corporation__EVGA_Corporation__1,Motherboard,MediaTek
Angstrem_(company),Integrated_circuit,MediaTek
Calxeda,System_on_a_chip,MediaTek
Zero_ASIC,Central_processing_unit,MediaTek
Zhaoxin,Central_processing_unit,MediaTek
Zhaoxin,Microprocessor,MediaTek
ZiiLABS,System_on_a_chip,MediaTek
Broadcom_Corporation,Integrated_circuit,MediaTek
Ceva_(semiconductor_company),Digital_signal_processor,MediaTek
Transmeta,Microprocessor,MediaTek
Lantiq,Integrated_circuit,MediaTek
Open-Silicon,Integrated_circuit,MediaTek
ASRock,Motherboard,MediaTek
ATI_Technologies,Graphics_processing_unit,MediaTek
Advanced_Micro_Devices,Device_driver,MediaTek
Advanced_Micro_Devices,Central_processing_unit,MediaTek
Advanced_Micro_Devices,Graphics_processing_unit,MediaTek
Advanced_Micro_Devices,Chipsets,MediaTek
Advanced_Micro_Devices,Microprocessor,MediaTek
Advanced_Micro_Devices,Network_interface_controller,MediaTek
Advanced_Micro_Devices,Motherboard,MediaTek
Advanced_Micro_Devices,System_on_a_chip,MediaTek
Advanced_Micro_Devices,Embedded_processor,MediaTek
Allwinner_Technology,Integrated_circuit,MediaTek
Alteon_WebSystems,Network_interface_controller,MediaTek
Amlogic,System_on_a_chip,MediaTek
Ampere_Computing,Integrated_circuit,MediaTek
Cyrix,Central_processing_unit,MediaTek
Cyrix,Microprocessor,MediaTek
Cyrix,System_on_a_chip,MediaTek
DFI,Motherboard,MediaTek
EM_Microelectronic,Integrated_circuit,MediaTek
EPoX,Motherboard,MediaTek
Fairchild_Semiconductor,Integrated_circuit,MediaTek
Four-Phase_Systems,Microprocessor,MediaTek
Nordic_Semiconductor,Integrated_circuit,MediaTek
Kontron,Motherboard,MediaTek
Hightech_Information_System,Graphics_processing_unit,MediaTek
Himax,Integrated_circuit,MediaTek
JMicron,Integrated_circuit,MediaTek
Telechips,System_on_a_chip,MediaTek
Texas_Instruments,Integrated_circuit,MediaTek
Texas_Instruments,Digital_Light_Processing,MediaTek
Texas_Instruments,Digital_signal_processor,MediaTek
Texas_Instruments,Embedded_processor,MediaTek
Texas_Memory_Systems,Digital_signal_processor,MediaTek
Tyan,Motherboard,MediaTek
Arm_(company),Graphics_processing_unit,MediaTek
Arm_(company),Microprocessor,MediaTek
Asus,Motherboard,MediaTek
Chassis_Plans,Motherboard,MediaTek
Lanner_Electronics,Motherboard,MediaTek
TSMC,Device_driver,MediaTek
TSMC,Integrated_circuit,MediaTek
TSMC,Central_processing_unit,MediaTek
TSMC,Digital_Light_Processing,MediaTek
TSMC,Graphics_processing_unit,MediaTek
TSMC,Chipsets,MediaTek
