supplier,product,customer
Pravetz_computers,Laptop,Nvidia
Purism_(company),Laptop,Nvidia
Purism_(company),Tablet_computer,Nvidia
QMobile,Tablet_computer,Nvidia
Qualcomm,Central_processing_unit,Nvidia
Binatone,Tablet_computer,Nvidia
Appian_Graphics,Graphics_processing_unit,Nvidia
Huawei,Tablet_computer,Nvidia
Pegatron,Laptop,Nvidia
Rlg_Communications,Laptop,Nvidia
Rlg_Communications,Tablet_computer,Nvidia
VIA_Technologies,Chipset,Nvidia
VIA_Technologies,Central_processing_unit,Nvidia
Velocity_Micro,Laptop,Nvidia
ERacks,Laptop,Nvidia
"Quanta_Computer__,_Inc.__1",Laptop,Nvidia
Compaq,Laptop,Nvidia
MediaTek,Device_driver,Nvidia
MediaTek,Central_processing_unit,Nvidia
MediaTek,Graphics_processing_unit,Nvidia
SHIFT_(company),Tablet_computer,Nvidia
Clevo,Laptop,Nvidia
Emdoor,Laptop,Nvidia
Emdoor,Tablet_computer,Nvidia
"Gateway,_Inc.",Laptop,Nvidia
Goji_Electronics,Laptop,Nvidia
Goji_Electronics,Tablet_computer,Nvidia
Gramedia,Laptop,Nvidia
Mirgor,Tablet_computer,Nvidia
Motorola,Tablet_computer,Nvidia
Multilaser,Tablet_computer,Nvidia
Mustek_Systems,Laptop,Nvidia
BQ_(company)__BQ__1,Tablet_computer,Nvidia
Librex_Computer_Systems,Laptop,Nvidia
MLS_(Making_Life_Simple)_S.A.,Tablet_computer,Nvidia
MPC_Corporation,Laptop,Nvidia
Starmobile,Tablet_computer,Nvidia
ZTE,Tablet_computer,Nvidia
Zeos,Laptop,Nvidia
Zero_ASIC,Central_processing_unit,Nvidia
Zhaoxin,Central_processing_unit,Nvidia
Zync_Global,Tablet_computer,Nvidia
Maingear,Laptop,Nvidia
MasterImage_3D,Tablet_computer,Nvidia
CMS_Computers,Laptop,Nvidia
CMS_Computers,Tablet_computer,Nvidia
Celkon,Tablet_computer,Nvidia
True_Corporation,Tablet_computer,Nvidia
Vsun,Tablet_computer,Nvidia
Wasam,Tablet_computer,Nvidia
Jetta_International,Laptop,Nvidia
ATI_Technologies,Chipset,Nvidia
ATI_Technologies,Graphics_processing_unit,Nvidia
Advanced_Micro_Devices,Device_driver,Nvidia
Advanced_Micro_Devices,Central_processing_unit,Nvidia
Advanced_Micro_Devices,Graphics_processing_unit,Nvidia
Advanced_Micro_Devices,TV_accessory,Nvidia
Alienware,Laptop,Nvidia
Cyrix,Central_processing_unit,Nvidia
Pantech,Tablet_computer,Nvidia
Digital_Storm,Laptop,Nvidia
Framework_Computer,Laptop,Nvidia
Gericom,Laptop,Nvidia
Goophone,Tablet_computer,Nvidia
GrandPad,Tablet_computer,Nvidia
Itel_Mobile,Tablet_computer,Nvidia
TabletKiosk,Tablet_computer,Nvidia
HTC,Laptop,Nvidia
Hightech_Information_System,Graphics_processing_unit,Nvidia
TechniSat,Tablet_computer,Nvidia
Tecno_Mobile,Tablet_computer,Nvidia
Archos,Tablet_computer,Nvidia
Arm_(company),Graphics_processing_unit,Nvidia
Arçelik,Laptop,Nvidia
Karbonn_Mobiles,Tablet_computer,Nvidia
LYF,Laptop,Nvidia
Lanix,Tablet_computer,Nvidia
System76,Laptop,Nvidia
TSMC,Device_driver,Nvidia
TSMC,Central_processing_unit,Nvidia
TSMC,Graphics_processing_unit,Nvidia
Valens_Semiconductor__Ltd__1,Chipset,Nvidia
Axiom_Telecom,Tablet_computer,Nvidia
Marvell_Technology,Data_processing_unit,Nvidia
Marvell_Technology,Central_processing_unit,Nvidia
Point_of_View_(computer_hardware_company),Tablet_computer,Nvidia
IBall_(company),Laptop,Nvidia
IBall_(company),Tablet_computer,Nvidia
Imagination_Technologies,Graphics_processing_unit,Nvidia
InFocus,Tablet_computer,Nvidia
Ingenic_Semiconductor,Central_processing_unit,Nvidia
Intel,Central_processing_unit,Nvidia
Kobo_Inc.,Tablet_computer,Nvidia
Mesh_Computers,Laptop,Nvidia
Micromax_Informatics,Laptop,Nvidia
Micromax_Informatics,Tablet_computer,Nvidia
Nvidia,Device_driver,Nvidia
Nvidia,Chipset,Nvidia
Nvidia,Data_processing_unit,Nvidia
Nvidia,Laptop,Nvidia
Nvidia,Central_processing_unit,Nvidia
Nvidia,Graphics_processing_unit,Nvidia
Nvidia,Nvidia_RTX,Nvidia
Nvidia,Tablet_computer,Nvidia
Nvidia,Collaborative_software,Nvidia
Nvidia,TV_accessory,Nvidia
Origin_PC,Laptop,Nvidia
Canaan_Creative,Central_processing_unit,Nvidia
RM_Education,Laptop,Nvidia
Redmi,Laptop,Nvidia
Seneca_Data,Laptop,Nvidia
ServerWorks,Chipset,Nvidia
SICO_Technology,Tablet_computer,Nvidia
Rogers_Plus,Tablet_computer,Nvidia
Telus_Mobility,Tablet_computer,Nvidia
"Compal_Electronics__,_Inc.__1",Laptop,Nvidia
