supplier,product,customer
Powerchip,Flash_memory,Powerchip
Powerchip,DRAM,Powerchip
Powerchip,Foundry_(electronics),Powerchip
Samsung,Flash_memory,Powerchip
Virtium_Solid_State_Storage_and_Memory,Flash_memory,Powerchip
Virtium_Solid_State_Storage_and_Memory,DRAM,Powerchip
Inotera,DRAM,Powerchip
GeIL,Flash_memory,Powerchip
Mosel_Vitelic_Inc,DRAM,Powerchip
Anobit,Flash_memory,Powerchip
Apacer,DRAM,Powerchip
Lexar,Flash_memory,Powerchip
Strontium_Technology,DRAM,Powerchip
Fujian_Jinhua_Integrated_Circuit,DRAM,Powerchip
Transcend_Information,DRAM,Powerchip
Wilk_Elektronik,Flash_memory,Powerchip
Winbond,Flash_memory,Powerchip
Winia_Electronics,Flash_memory,Powerchip
Wintec_Industries,Flash_memory,Powerchip
ADATA,DRAM,Powerchip
Dataram,DRAM,Powerchip
Edge_Tech_Corp,DRAM,Powerchip
PNY_Technologies,DRAM,Powerchip
Princeton_(electronics_company),DRAM,Powerchip
Qimonda,DRAM,Powerchip
Greenliant_Systems,Flash_memory,Powerchip
Atmel,Flash_memory,Powerchip
Intel,Flash_memory,Powerchip
Intel_Ireland,Flash_memory,Powerchip
Yangtze_Memory_Technologies,Flash_memory,Powerchip
Kingmax,DRAM,Powerchip
