supplier,product,customer
Qualcomm,Central_processing_unit,Qualcomm
Qualcomm,Qualcomm_Brew,Qualcomm
Qualcomm,MediaFLO,Qualcomm
Qualcomm,QChat,Qualcomm
Qualcomm,Qualcomm_Gobi,Qualcomm
Qualcomm,Interferometric_modulator_display,Qualcomm
Qualcomm,WCDMA,Qualcomm
Qualcomm,Snapdragon_(processor),Qualcomm
Qualcomm,CDMA,Qualcomm
Qualcomm,Qizx,Qualcomm
VIA_Technologies,Central_processing_unit,Qualcomm
MediaTek,Central_processing_unit,Qualcomm
S-Fone,CDMA,Qualcomm
Citycell,CDMA,Qualcomm
Claro_El_Salvador,CDMA,Qualcomm
NTT_Docomo,WCDMA,Qualcomm
Zero_ASIC,Central_processing_unit,Qualcomm
Zhaoxin,Central_processing_unit,Qualcomm
Cellcom_(United_States),CDMA,Qualcomm
Advanced_Micro_Devices,Central_processing_unit,Qualcomm
Cyrix,Central_processing_unit,Qualcomm
TSMC,Central_processing_unit,Qualcomm
Marvell_Technology,Central_processing_unit,Qualcomm
Ingenic_Semiconductor,Central_processing_unit,Qualcomm
Intel,Central_processing_unit,Qualcomm
Nvidia,Central_processing_unit,Qualcomm
Canaan_Creative,Central_processing_unit,Qualcomm
