supplier,product,customer
Qualcomm,Central_processing_unit,VIA_Technologies
Biostar,Motherboard,VIA_Technologies
Pegatron,Motherboard,VIA_Technologies
Universal_Abit,Motherboard,VIA_Technologies
VIA_Technologies,Motherboard,VIA_Technologies
VIA_Technologies,Chipset,VIA_Technologies
VIA_Technologies,Central_processing_unit,VIA_Technologies
MediaTek,Central_processing_unit,VIA_Technologies
MediaTek,Motherboard,VIA_Technologies
Elitegroup_Computer_Systems,Motherboard,VIA_Technologies
NZXT,Motherboard,VIA_Technologies
EVGA_Corporation__EVGA_Corporation__1,Motherboard,VIA_Technologies
Zero_ASIC,Central_processing_unit,VIA_Technologies
Zhaoxin,Central_processing_unit,VIA_Technologies
ASRock,Motherboard,VIA_Technologies
ATI_Technologies,Chipset,VIA_Technologies
Advanced_Micro_Devices,Motherboard,VIA_Technologies
Advanced_Micro_Devices,Central_processing_unit,VIA_Technologies
Cyrix,Central_processing_unit,VIA_Technologies
DFI,Motherboard,VIA_Technologies
EPoX,Motherboard,VIA_Technologies
Kontron,Motherboard,VIA_Technologies
Tyan,Motherboard,VIA_Technologies
Asus,Motherboard,VIA_Technologies
Chassis_Plans,Motherboard,VIA_Technologies
Lanner_Electronics,Motherboard,VIA_Technologies
TSMC,Motherboard,VIA_Technologies
TSMC,Central_processing_unit,VIA_Technologies
Valens_Semiconductor__Ltd__1,Chipset,VIA_Technologies
Marvell_Technology,Central_processing_unit,VIA_Technologies
Ingenic_Semiconductor,Central_processing_unit,VIA_Technologies
Intel,Central_processing_unit,VIA_Technologies
Intel,Motherboard,VIA_Technologies
Nvidia,Central_processing_unit,VIA_Technologies
Nvidia,Chipset,VIA_Technologies
Canaan_Creative,Central_processing_unit,VIA_Technologies
ServerWorks,Chipset,VIA_Technologies
XFX,Motherboard,VIA_Technologies
