supplier,product,customer
Qualcomm,Central_processing_unit,Zhaoxin
Unisphere_Networks,Microprocessor,Zhaoxin
VIA_Technologies,Central_processing_unit,Zhaoxin
MediaTek,Central_processing_unit,Zhaoxin
MediaTek,Microprocessor,Zhaoxin
STMicroelectronics,Microprocessor,Zhaoxin
Zero_ASIC,Central_processing_unit,Zhaoxin
Zhaoxin,Microprocessor,Zhaoxin
Zhaoxin,Central_processing_unit,Zhaoxin
Transmeta,Microprocessor,Zhaoxin
Advanced_Micro_Devices,Central_processing_unit,Zhaoxin
Advanced_Micro_Devices,Microprocessor,Zhaoxin
Cyrix,Microprocessor,Zhaoxin
Cyrix,Central_processing_unit,Zhaoxin
Four-Phase_Systems,Microprocessor,Zhaoxin
Arm_(company),Microprocessor,Zhaoxin
TSMC,Microprocessor,Zhaoxin
TSMC,Central_processing_unit,Zhaoxin
"Western_Design_Center__The_Western_Design_Center,_Inc.__1",Microprocessor,Zhaoxin
Marvell_Technology,Central_processing_unit,Zhaoxin
Ingenic_Semiconductor,Central_processing_unit,Zhaoxin
Intel,Central_processing_unit,Zhaoxin
Intel,Microprocessor,Zhaoxin
Intel_Ireland,Microprocessor,Zhaoxin
NexGen,Microprocessor,Zhaoxin
Nvidia,Central_processing_unit,Zhaoxin
Canaan_Creative,Central_processing_unit,Zhaoxin
