supplier,product,customer
QLogic,Network_interface_controller,Advanced_Micro_Devices
Qualcomm,Central_processing_unit,Advanced_Micro_Devices
Samsung,Solid-state_drive,Advanced_Micro_Devices
SanDisk,Solid-state_drive,Advanced_Micro_Devices
Biostar,Motherboard,Advanced_Micro_Devices
Biostar,System_on_a_chip,Advanced_Micro_Devices
Appian_Graphics,Graphics_processing_unit,Advanced_Micro_Devices
Patriot_Memory,Solid-state_drive,Advanced_Micro_Devices
Pegatron,Motherboard,Advanced_Micro_Devices
Unisphere_Networks,Microprocessor,Advanced_Micro_Devices
Universal_Abit,Motherboard,Advanced_Micro_Devices
VIA_Technologies,Central_processing_unit,Advanced_Micro_Devices
VIA_Technologies,Motherboard,Advanced_Micro_Devices
Nufront,System_on_a_chip,Advanced_Micro_Devices
MediaTek,Device_driver,Advanced_Micro_Devices
MediaTek,Central_processing_unit,Advanced_Micro_Devices
MediaTek,Graphics_processing_unit,Advanced_Micro_Devices
MediaTek,Chipsets,Advanced_Micro_Devices
MediaTek,Microprocessor,Advanced_Micro_Devices
MediaTek,Network_interface_controller,Advanced_Micro_Devices
MediaTek,Motherboard,Advanced_Micro_Devices
MediaTek,System_on_a_chip,Advanced_Micro_Devices
MediaTek,Embedded_processor,Advanced_Micro_Devices
Memoright,Solid-state_drive,Advanced_Micro_Devices
STMicroelectronics,Microprocessor,Advanced_Micro_Devices
Elitegroup_Computer_Systems,Motherboard,Advanced_Micro_Devices
G.Skill,Solid-state_drive,Advanced_Micro_Devices
NZXT,Motherboard,Advanced_Micro_Devices
EVGA_Corporation__EVGA_Corporation__1,Motherboard,Advanced_Micro_Devices
Lexar,Solid-state_drive,Advanced_Micro_Devices
Calxeda,System_on_a_chip,Advanced_Micro_Devices
Strontium_Technology,Solid-state_drive,Advanced_Micro_Devices
Zero_ASIC,Central_processing_unit,Advanced_Micro_Devices
Zhaoxin,Central_processing_unit,Advanced_Micro_Devices
Zhaoxin,Microprocessor,Advanced_Micro_Devices
ZiiLABS,System_on_a_chip,Advanced_Micro_Devices
Transcend_Information,Solid-state_drive,Advanced_Micro_Devices
Transmeta,Microprocessor,Advanced_Micro_Devices
Wintec_Industries,Solid-state_drive,Advanced_Micro_Devices
ASRock,Motherboard,Advanced_Micro_Devices
ATI_Technologies,Graphics_processing_unit,Advanced_Micro_Devices
