supplier,product,customer
Qualcomm,Central_processing_unit,Canaan_Creative
VIA_Technologies,Central_processing_unit,Canaan_Creative
MediaTek,Central_processing_unit,Canaan_Creative
Zero_ASIC,Central_processing_unit,Canaan_Creative
Zhaoxin,Central_processing_unit,Canaan_Creative
Gameswizards,Computer_Hardware,Canaan_Creative
Advanced_Micro_Devices,Central_processing_unit,Canaan_Creative
Cyrix,Central_processing_unit,Canaan_Creative
"PCM,_Inc.",Computer_Hardware,Canaan_Creative
TSMC,Central_processing_unit,Canaan_Creative
Ebuyer,Computer_Hardware,Canaan_Creative
Marvell_Technology,Central_processing_unit,Canaan_Creative
Ingenic_Semiconductor,Central_processing_unit,Canaan_Creative
Intel,Central_processing_unit,Canaan_Creative
Nvidia,Central_processing_unit,Canaan_Creative
Canaan_Creative,Central_processing_unit,Canaan_Creative
Canaan_Creative,Computer_Hardware,Canaan_Creative
