supplier,product,customer
Qualcomm,Central_processing_unit,Cyrix
Biostar,System_on_a_chip,Cyrix
Unisphere_Networks,Microprocessor,Cyrix
VIA_Technologies,Central_processing_unit,Cyrix
Nufront,System_on_a_chip,Cyrix
MediaTek,Central_processing_unit,Cyrix
MediaTek,Microprocessor,Cyrix
MediaTek,System_on_a_chip,Cyrix
STMicroelectronics,Microprocessor,Cyrix
ClearSpeed,Coprocessor,Cyrix
Calxeda,System_on_a_chip,Cyrix
Zero_ASIC,Central_processing_unit,Cyrix
Zhaoxin,Central_processing_unit,Cyrix
Zhaoxin,Microprocessor,Cyrix
ZiiLABS,System_on_a_chip,Cyrix
Transmeta,Microprocessor,Cyrix
Advanced_Micro_Devices,Central_processing_unit,Cyrix
Advanced_Micro_Devices,Microprocessor,Cyrix
Advanced_Micro_Devices,System_on_a_chip,Cyrix
Amlogic,System_on_a_chip,Cyrix
Cyrix,Coprocessor,Cyrix
Cyrix,Central_processing_unit,Cyrix
Cyrix,Floating-point_unit,Cyrix
Cyrix,Microprocessor,Cyrix
Cyrix,System_on_a_chip,Cyrix
Four-Phase_Systems,Microprocessor,Cyrix
Telechips,System_on_a_chip,Cyrix
Arm_(company),Microprocessor,Cyrix
TSMC,Central_processing_unit,Cyrix
TSMC,Microprocessor,Cyrix
TSMC,System_on_a_chip,Cyrix
"Western_Design_Center__The_Western_Design_Center,_Inc.__1",Microprocessor,Cyrix
Marvell_Technology,Central_processing_unit,Cyrix
Ingenic_Semiconductor,Central_processing_unit,Cyrix
Intel,Central_processing_unit,Cyrix
Intel,Microprocessor,Cyrix
Intel,System_on_a_chip,Cyrix
Intel_Ireland,Microprocessor,Cyrix
Microsemi,System_on_a_chip,Cyrix
NeoMagic,System_on_a_chip,Cyrix
NexGen,Microprocessor,Cyrix
Nvidia,Central_processing_unit,Cyrix
NxStage,System_on_a_chip,Cyrix
Canaan_Creative,Central_processing_unit,Cyrix
