supplier,product,customer
Unisphere_Networks,Microprocessor,NexGen
MediaTek,Microprocessor,NexGen
STMicroelectronics,Microprocessor,NexGen
Zhaoxin,Microprocessor,NexGen
Transmeta,Microprocessor,NexGen
Advanced_Micro_Devices,Microprocessor,NexGen
Cyrix,Microprocessor,NexGen
Four-Phase_Systems,Microprocessor,NexGen
Arm_(company),Microprocessor,NexGen
TSMC,Microprocessor,NexGen
"Western_Design_Center__The_Western_Design_Center,_Inc.__1",Microprocessor,NexGen
Intel,Microprocessor,NexGen
Intel_Ireland,Microprocessor,NexGen
NexGen,Microprocessor,NexGen
