supplier,product,customer
PowerColor,Graphics_card,Pegatron
Pravetz_computers,Laptop,Pegatron
Pravetz_computers,Netbook,Pegatron
Purism_(company),Laptop,Pegatron
Biostar,Graphics_card,Pegatron
Biostar,Motherboard,Pegatron
Hitron,Cable_modem,Pegatron
Pegatron,Graphics_card,Pegatron
Pegatron,Smart_phone,Pegatron
Pegatron,Laptop,Pegatron
Pegatron,Cable_modem,Pegatron
Pegatron,Motherboard,Pegatron
Pegatron,Set-top_box,Pegatron
Pegatron,Netbook,Pegatron
Pegatron,Game_console,Pegatron
Rlg_Communications,Laptop,Pegatron
Universal_Abit,Motherboard,Pegatron
VIA_Technologies,Motherboard,Pegatron
Velocity_Micro,Laptop,Pegatron
ERacks,Laptop,Pegatron
ERacks,Netbook,Pegatron
"Quanta_Computer__,_Inc.__1",Laptop,Pegatron
Compaq,Laptop,Pegatron
MediaTek,Motherboard,Pegatron
SPARKLE_Computer,Graphics_card,Pegatron
Clevo,Laptop,Pegatron
Club_3D,Graphics_card,Pegatron
Elitegroup_Computer_Systems,Graphics_card,Pegatron
Elitegroup_Computer_Systems,Motherboard,Pegatron
Emdoor,Laptop,Pegatron
GMM_Z,Set-top_box,Pegatron
Gainward,Graphics_card,Pegatron
"Gateway,_Inc.",Laptop,Pegatron
Goji_Electronics,Laptop,Pegatron
Goji_Electronics,Netbook,Pegatron
Gramedia,Laptop,Pegatron
Mustek_Systems,Laptop,Pegatron
NZXT,Motherboard,Pegatron
EVGA_Corporation__EVGA_Corporation__1,Motherboard,Pegatron
Librex_Computer_Systems,Laptop,Pegatron
MPC_Corporation,Laptop,Pegatron
Skyworth,Set-top_box,Pegatron
Zeos,Laptop,Pegatron
Maingear,Laptop,Pegatron
Broadcom_Corporation,Cable_modem,Pegatron
CMS_Computers,Laptop,Pegatron
True_Corporation,Set-top_box,Pegatron
Jetta_International,Laptop,Pegatron
Pulse-Eight,Set-top_box,Pegatron
ASRock,Graphics_card,Pegatron
ASRock,Motherboard,Pegatron
Advanced_Micro_Devices,Motherboard,Pegatron
Aleutia,Set-top_box,Pegatron
Alienware,Laptop,Pegatron
DFI,Motherboard,Pegatron
ELSA_Technology,Graphics_card,Pegatron
EPoX,Motherboard,Pegatron
Parallax_Graphics,Graphics_card,Pegatron
Digital_Storm,Laptop,Pegatron
Framework_Computer,Laptop,Pegatron
Gericom,Laptop,Pegatron
Kontron,Motherboard,Pegatron
HTC,Laptop,Pegatron
Hightech_Information_System,Graphics_card,Pegatron
Tyan,Motherboard,Pegatron
Arçelik,Laptop,Pegatron
Asus,Graphics_card,Pegatron
Asus,Motherboard,Pegatron
Chassis_Plans,Motherboard,Pegatron
LYF,Laptop,Pegatron
Lanner_Electronics,Motherboard,Pegatron
System76,Laptop,Pegatron
System76,Netbook,Pegatron
Síragon,Netbook,Pegatron
TSMC,Motherboard,Pegatron
Diamond_Multimedia,Graphics_card,Pegatron
IBall_(company),Laptop,Pegatron
Intel,Motherboard,Pegatron
Mesh_Computers,Laptop,Pegatron
Micromax_Informatics,Laptop,Pegatron
Nvidia,Laptop,Pegatron
Origin_PC,Laptop,Pegatron
RM_Education,Laptop,Pegatron
Redmi,Laptop,Pegatron
Seneca_Data,Laptop,Pegatron
XFX,Motherboard,Pegatron
XGI_Technology,Graphics_card,Pegatron
YouView,Set-top_box,Pegatron
Rogers_Plus,Cable_modem,Pegatron
Rogers_Plus,Set-top_box,Pegatron
Rogers_Plus,Netbook,Pegatron
"Compal_Electronics__,_Inc.__1",Laptop,Pegatron
