supplier,product,customer
Mouser_Electronics,Integrated_circuit,Rigetti_Computing
Mornsun,Integrated_circuit,Rigetti_Computing
Design_of_Systems_on_Silicon,Integrated_circuit,Rigetti_Computing
Dynex_Semiconductor,Integrated_circuit,Rigetti_Computing
MediaTek,Integrated_circuit,Rigetti_Computing
Ruselectronics,Integrated_circuit,Rigetti_Computing
STMicroelectronics,Integrated_circuit,Rigetti_Computing
Genesis_Microchip,Integrated_circuit,Rigetti_Computing
Angstrem_(company),Integrated_circuit,Rigetti_Computing
Broadcom_Corporation,Integrated_circuit,Rigetti_Computing
Lantiq,Integrated_circuit,Rigetti_Computing
Open-Silicon,Integrated_circuit,Rigetti_Computing
Allwinner_Technology,Integrated_circuit,Rigetti_Computing
Ampere_Computing,Integrated_circuit,Rigetti_Computing
EM_Microelectronic,Integrated_circuit,Rigetti_Computing
Fairchild_Semiconductor,Integrated_circuit,Rigetti_Computing
Nordic_Semiconductor,Integrated_circuit,Rigetti_Computing
Himax,Integrated_circuit,Rigetti_Computing
JMicron,Integrated_circuit,Rigetti_Computing
Texas_Instruments,Integrated_circuit,Rigetti_Computing
TSMC,Integrated_circuit,Rigetti_Computing
Dialog_Semiconductor,Integrated_circuit,Rigetti_Computing
Marvell_Technology,Integrated_circuit,Rigetti_Computing
Photronics_Inc,Integrated_circuit,Rigetti_Computing
Infineon_Technologies,Integrated_circuit,Rigetti_Computing
Realtek,Integrated_circuit,Rigetti_Computing
Sharp_Corporation,Integrated_circuit,Rigetti_Computing
IXYS_Corporation,Integrated_circuit,Rigetti_Computing
Silterra_Malaysia,Integrated_circuit,Rigetti_Computing
Rigetti_Computing,Integrated_circuit,Rigetti_Computing
