supplier,product,customer
Energy_Micro,Microcontroller,STMicroelectronics
Mouser_Electronics,Integrated_circuit,STMicroelectronics
Mornsun,Integrated_circuit,STMicroelectronics
Unisphere_Networks,Microprocessor,STMicroelectronics
Design_of_Systems_on_Silicon,Integrated_circuit,STMicroelectronics
Dynex_Semiconductor,Integrated_circuit,STMicroelectronics
MediaTek,Integrated_circuit,STMicroelectronics
MediaTek,Microprocessor,STMicroelectronics
Ruselectronics,Integrated_circuit,STMicroelectronics
STMicroelectronics,Integrated_circuit,STMicroelectronics
STMicroelectronics,Computer_memory,STMicroelectronics
STMicroelectronics,Microcontroller,STMicroelectronics
STMicroelectronics,Transistor,STMicroelectronics
STMicroelectronics,Microprocessor,STMicroelectronics
STMicroelectronics,Smartcard,STMicroelectronics
Genesis_Microchip,Integrated_circuit,STMicroelectronics
G.Skill,Computer_memory,STMicroelectronics
Thermaltake,Computer_memory,STMicroelectronics
Angstrem_(company),Integrated_circuit,STMicroelectronics
Zhaoxin,Microprocessor,STMicroelectronics
Broadcom_Corporation,Integrated_circuit,STMicroelectronics
Transmeta,Microprocessor,STMicroelectronics
Wintec_Industries,Computer_memory,STMicroelectronics
Lantiq,Integrated_circuit,STMicroelectronics
Open-Silicon,Integrated_circuit,STMicroelectronics
Advanced_Micro_Devices,Microprocessor,STMicroelectronics
Allwinner_Technology,Integrated_circuit,STMicroelectronics
Ampere_Computing,Integrated_circuit,STMicroelectronics
Cyrix,Microprocessor,STMicroelectronics
EM_Microelectronic,Integrated_circuit,STMicroelectronics
Fairchild_Semiconductor,Integrated_circuit,STMicroelectronics
Four-Phase_Systems,Microprocessor,STMicroelectronics
Nordic_Semiconductor,Integrated_circuit,STMicroelectronics
Himax,Integrated_circuit,STMicroelectronics
JMicron,Integrated_circuit,STMicroelectronics
Texas_Instruments,Integrated_circuit,STMicroelectronics
Arm_(company),Microprocessor,STMicroelectronics
Atmel,Microcontroller,STMicroelectronics
TSMC,Integrated_circuit,STMicroelectronics
TSMC,Microprocessor,STMicroelectronics
"Western_Design_Center__The_Western_Design_Center,_Inc.__1",Microcontroller,STMicroelectronics
"Western_Design_Center__The_Western_Design_Center,_Inc.__1",Microprocessor,STMicroelectronics
Dialog_Semiconductor,Integrated_circuit,STMicroelectronics
Marvell_Technology,Integrated_circuit,STMicroelectronics
Photronics_Inc,Integrated_circuit,STMicroelectronics
Infineon_Technologies,Integrated_circuit,STMicroelectronics
Infineon_Technologies,Microcontroller,STMicroelectronics
Intel,Microprocessor,STMicroelectronics
Intel_Ireland,Microprocessor,STMicroelectronics
Kioxia,Computer_memory,STMicroelectronics
Microchip_Technology,Microcontroller,STMicroelectronics
Mikroelektronika,Microcontroller,STMicroelectronics
NexGen,Microprocessor,STMicroelectronics
Realtek,Integrated_circuit,STMicroelectronics
Sharp_Corporation,Integrated_circuit,STMicroelectronics
IXYS_Corporation,Integrated_circuit,STMicroelectronics
Tinkerforge,Microcontroller,STMicroelectronics
Silterra_Malaysia,Integrated_circuit,STMicroelectronics
Rigetti_Computing,Integrated_circuit,STMicroelectronics
