supplier,product,customer
QLogic,Network_interface_controller,TSMC
Qualcomm,Central_processing_unit,TSMC
Mouser_Electronics,Integrated_circuit,TSMC
Mornsun,Integrated_circuit,TSMC
Biostar,Motherboard,TSMC
Biostar,System_on_a_chip,TSMC
Appian_Graphics,Graphics_processing_unit,TSMC
Pegatron,Motherboard,TSMC
Unisphere_Networks,Microprocessor,TSMC
Universal_Abit,Motherboard,TSMC
VIA_Technologies,Central_processing_unit,TSMC
VIA_Technologies,Motherboard,TSMC
Design_of_Systems_on_Silicon,Integrated_circuit,TSMC
Dynex_Semiconductor,Integrated_circuit,TSMC
E-mu_Systems,Digital_signal_processor,TSMC
Nufront,System_on_a_chip,TSMC
MediaTek,Device_driver,TSMC
MediaTek,Integrated_circuit,TSMC
MediaTek,Central_processing_unit,TSMC
MediaTek,Digital_Light_Processing,TSMC
MediaTek,Graphics_processing_unit,TSMC
MediaTek,Chipsets,TSMC
MediaTek,Digital_signal_processor,TSMC
MediaTek,Microprocessor,TSMC
MediaTek,Network_interface_controller,TSMC
MediaTek,Motherboard,TSMC
MediaTek,System_on_a_chip,TSMC
MediaTek,Embedded_processor,TSMC
Ruselectronics,Integrated_circuit,TSMC
STMicroelectronics,Integrated_circuit,TSMC
STMicroelectronics,Microprocessor,TSMC
Genesis_Microchip,Integrated_circuit,TSMC
Eiki,Digital_Light_Processing,TSMC
Elitegroup_Computer_Systems,Motherboard,TSMC
NZXT,Motherboard,TSMC
EVGA_Corporation__EVGA_Corporation__1,Motherboard,TSMC
Angstrem_(company),Integrated_circuit,TSMC
Calxeda,System_on_a_chip,TSMC
Zero_ASIC,Central_processing_unit,TSMC
Zhaoxin,Central_processing_unit,TSMC
Zhaoxin,Microprocessor,TSMC
ZiiLABS,System_on_a_chip,TSMC
Broadcom_Corporation,Integrated_circuit,TSMC
Ceva_(semiconductor_company),Digital_signal_processor,TSMC
Transmeta,Microprocessor,TSMC
Lantiq,Integrated_circuit,TSMC
Open-Silicon,Integrated_circuit,TSMC
ASRock,Motherboard,TSMC
ATI_Technologies,Graphics_processing_unit,TSMC
Advanced_Micro_Devices,Device_driver,TSMC
Advanced_Micro_Devices,Central_processing_unit,TSMC
Advanced_Micro_Devices,Graphics_processing_unit,TSMC
Advanced_Micro_Devices,Chipsets,TSMC
Advanced_Micro_Devices,Microprocessor,TSMC
Advanced_Micro_Devices,Network_interface_controller,TSMC
Advanced_Micro_Devices,Motherboard,TSMC
Advanced_Micro_Devices,System_on_a_chip,TSMC
Advanced_Micro_Devices,Embedded_processor,TSMC
Allwinner_Technology,Integrated_circuit,TSMC
Alteon_WebSystems,Network_interface_controller,TSMC
Amlogic,System_on_a_chip,TSMC
Ampere_Computing,Integrated_circuit,TSMC
Cyrix,Central_processing_unit,TSMC
Cyrix,Microprocessor,TSMC
Cyrix,System_on_a_chip,TSMC
DFI,Motherboard,TSMC
EM_Microelectronic,Integrated_circuit,TSMC
EPoX,Motherboard,TSMC
Fairchild_Semiconductor,Integrated_circuit,TSMC
Four-Phase_Systems,Microprocessor,TSMC
Nordic_Semiconductor,Integrated_circuit,TSMC
Kontron,Motherboard,TSMC
Hightech_Information_System,Graphics_processing_unit,TSMC
Himax,Integrated_circuit,TSMC
JMicron,Integrated_circuit,TSMC
Telechips,System_on_a_chip,TSMC
Texas_Instruments,Integrated_circuit,TSMC
Texas_Instruments,Digital_Light_Processing,TSMC
Texas_Instruments,Digital_signal_processor,TSMC
Texas_Instruments,Embedded_processor,TSMC
Texas_Memory_Systems,Digital_signal_processor,TSMC
Tyan,Motherboard,TSMC
Arm_(company),Graphics_processing_unit,TSMC
Arm_(company),Microprocessor,TSMC
Asus,Motherboard,TSMC
Chassis_Plans,Motherboard,TSMC
Lanner_Electronics,Motherboard,TSMC
TSMC,Device_driver,TSMC
TSMC,Integrated_circuit,TSMC
TSMC,Central_processing_unit,TSMC
TSMC,Digital_Light_Processing,TSMC
TSMC,Graphics_processing_unit,TSMC
TSMC,Chipsets,TSMC
TSMC,Digital_signal_processor,TSMC
TSMC,Microprocessor,TSMC
TSMC,Network_interface_controller,TSMC
TSMC,Motherboard,TSMC
TSMC,System_on_a_chip,TSMC
TSMC,Embedded_processor,TSMC
"Western_Design_Center__The_Western_Design_Center,_Inc.__1",Microprocessor,TSMC
Dialog_Semiconductor,Integrated_circuit,TSMC
Marvell_Technology,Integrated_circuit,TSMC
Marvell_Technology,Central_processing_unit,TSMC
Photronics_Inc,Integrated_circuit,TSMC
Imagination_Technologies,Graphics_processing_unit,TSMC
Infineon_Technologies,Integrated_circuit,TSMC
Ingenic_Semiconductor,Central_processing_unit,TSMC
Intel,Central_processing_unit,TSMC
Intel,Microprocessor,TSMC
Intel,Network_interface_controller,TSMC
Intel,Motherboard,TSMC
Intel,System_on_a_chip,TSMC
Intel_Ireland,Microprocessor,TSMC
Microsemi,System_on_a_chip,TSMC
NeoMagic,System_on_a_chip,TSMC
NexGen,Microprocessor,TSMC
Nvidia,Device_driver,TSMC
Nvidia,Central_processing_unit,TSMC
Nvidia,Graphics_processing_unit,TSMC
NxStage,System_on_a_chip,TSMC
Canaan_Creative,Central_processing_unit,TSMC
Realtek,Integrated_circuit,TSMC
Sharp_Corporation,Integrated_circuit,TSMC
XFX,Motherboard,TSMC
IXYS_Corporation,Integrated_circuit,TSMC
Silterra_Malaysia,Integrated_circuit,TSMC
Rigetti_Computing,Integrated_circuit,TSMC
