supplier,product,customer
Naukowa_i_Akademicka_Sieć_Komputerowa,Network_security,Unisphere_Networks
Unisphere_Networks,Microprocessor,Unisphere_Networks
Unisphere_Networks,Workstation,Unisphere_Networks
Unisphere_Networks,Network_security,Unisphere_Networks
Velocity_Micro,Workstation,Unisphere_Networks
ERacks,Workstation,Unisphere_Networks
MediaTek,Microprocessor,Unisphere_Networks
STMicroelectronics,Microprocessor,Unisphere_Networks
Emtek,Network_security,Unisphere_Networks
Stonesoft_Corporation,Network_security,Unisphere_Networks
Zhaoxin,Microprocessor,Unisphere_Networks
Maingear,Workstation,Unisphere_Networks
BT_Global_Services,Network_security,Unisphere_Networks
Transmeta,Microprocessor,Unisphere_Networks
Lastline,Network_security,Unisphere_Networks
Advanced_Micro_Devices,Microprocessor,Unisphere_Networks
Aleutia,Workstation,Unisphere_Networks
Cyrix,Microprocessor,Unisphere_Networks
Four-Phase_Systems,Microprocessor,Unisphere_Networks
Broadberry_Data_Systems,Workstation,Unisphere_Networks
Flowmon_Networks,Network_security,Unisphere_Networks
Arm_(company),Microprocessor,Unisphere_Networks
Asus,Workstation,Unisphere_Networks
Sun_Microsystems,Workstation,Unisphere_Networks
Symbolics,Workstation,Unisphere_Networks
TSMC,Microprocessor,Unisphere_Networks
"Western_Design_Center__The_Western_Design_Center,_Inc.__1",Microprocessor,Unisphere_Networks
Intel,Microprocessor,Unisphere_Networks
Intel_Ireland,Microprocessor,Unisphere_Networks
NetScreen_Technologies,Network_security,Unisphere_Networks
NexGen,Microprocessor,Unisphere_Networks
Oracle_Corporation,Workstation,Unisphere_Networks
Spectrum_Telecoms,Network_security,Unisphere_Networks
