supplier,product,customer
Biostar,Motherboard,XFX
Pegatron,Motherboard,XFX
Phanteks,Power_supply_unit_(computer),XFX
Universal_Abit,Motherboard,XFX
VIA_Technologies,Motherboard,XFX
Cooler_Master,Power_supply_unit_(computer),XFX
Matrox,Video_card,XFX
MediaTek,Motherboard,XFX
Media_Vision,Video_card,XFX
S3_Graphics,Video_card,XFX
Elitegroup_Computer_Systems,Motherboard,XFX
NZXT,Motherboard,XFX
NZXT,Power_supply_unit_(computer),XFX
EVGA_Corporation__EVGA_Corporation__1,Video_card,XFX
EVGA_Corporation__EVGA_Corporation__1,Motherboard,XFX
EVGA_Corporation__EVGA_Corporation__1,Power_supply_unit_(computer),XFX
Antec,Power_supply_unit_(computer),XFX
ASRock,Motherboard,XFX
Advanced_Micro_Devices,Motherboard,XFX
DFI,Motherboard,XFX
EPoX,Motherboard,XFX
Fractal_Design,Power_supply_unit_(computer),XFX
PC_Power_and_Cooling,Power_supply_unit_(computer),XFX
Kontron,Motherboard,XFX
Tyan,Motherboard,XFX
Asus,Motherboard,XFX
Chassis_Plans,Motherboard,XFX
Lanner_Electronics,Motherboard,XFX
Leadtek,Video_card,XFX
TSMC,Motherboard,XFX
InteGraphics_Systems,Video_card,XFX
Intel,Motherboard,XFX
XFX,Video_card,XFX
XFX,Motherboard,XFX
XFX,Power_supply_unit_(computer),XFX
