supplier,product,customer
Biostar,System_on_a_chip,Amlogic
Nufront,System_on_a_chip,Amlogic
MediaTek,System_on_a_chip,Amlogic
Calxeda,System_on_a_chip,Amlogic
ZiiLABS,System_on_a_chip,Amlogic
Advanced_Micro_Devices,System_on_a_chip,Amlogic
Amlogic,System_on_a_chip,Amlogic
Cyrix,System_on_a_chip,Amlogic
Telechips,System_on_a_chip,Amlogic
TSMC,System_on_a_chip,Amlogic
Intel,System_on_a_chip,Amlogic
Microsemi,System_on_a_chip,Amlogic
NeoMagic,System_on_a_chip,Amlogic
NxStage,System_on_a_chip,Amlogic
