supplier,product,customer
Biostar,System_on_a_chip,Calxeda
Nufront,System_on_a_chip,Calxeda
MediaTek,System_on_a_chip,Calxeda
Calxeda,System_on_a_chip,Calxeda
ZiiLABS,System_on_a_chip,Calxeda
Advanced_Micro_Devices,System_on_a_chip,Calxeda
Amlogic,System_on_a_chip,Calxeda
Cyrix,System_on_a_chip,Calxeda
Telechips,System_on_a_chip,Calxeda
TSMC,System_on_a_chip,Calxeda
Intel,System_on_a_chip,Calxeda
Microsemi,System_on_a_chip,Calxeda
NeoMagic,System_on_a_chip,Calxeda
NxStage,System_on_a_chip,Calxeda
