supplier,product,customer
PowerDsine,Power_over_Ethernet,Microsemi
Qorvo,GaN,Microsemi
Biostar,System_on_a_chip,Microsemi
Vicor_Corporation,Power_module,Microsemi
Nufront,System_on_a_chip,Microsemi
StarWind_Software,NVMe,Microsemi
Maxwell_Technologies,Power_module,Microsemi
MediaTek,System_on_a_chip,Microsemi
Lyrtech,FPGA,Microsemi
Calxeda,System_on_a_chip,Microsemi
ZiiLABS,System_on_a_chip,Microsemi
TriQuint_Semiconductor,GaN,Microsemi
Achronix,FPGA,Microsemi
Actel,FPGA,Microsemi
Adaptec,RAID,Microsemi
Adaptec,Host_adapter,Microsemi
Advanced_Micro_Devices,System_on_a_chip,Microsemi
Altera,FPGA,Microsemi
Amlogic,System_on_a_chip,Microsemi
Cyrix,System_on_a_chip,Microsemi
Telechips,System_on_a_chip,Microsemi
TSMC,System_on_a_chip,Microsemi
ICE_(FPGA),FPGA,Microsemi
Intel,System_on_a_chip,Microsemi
Microsemi,Transceiver,Microsemi
Microsemi,Atomic_Clock,Microsemi
Microsemi,RAID,Microsemi
Microsemi,Power_module,Microsemi
Microsemi,Time_server,Microsemi
Microsemi,NVMe,Microsemi
Microsemi,Host_adapter,Microsemi
Microsemi,PIN_diode,Microsemi
Microsemi,Power_over_Ethernet,Microsemi
Microsemi,FPGA,Microsemi
Microsemi,PLL,Microsemi
Microsemi,Frequency_synthesizer,Microsemi
Microsemi,System_on_a_chip,Microsemi
Microsemi,Varactor,Microsemi
Microsemi,GaN,Microsemi
Microsemi,Audio_processor,Microsemi
Microsemi,Ethernet_PHY,Microsemi
Microsemi,Ethernet_Switch,Microsemi
Microsemi,SiC,Microsemi
Microsemi,MMIC,Microsemi
NeoMagic,System_on_a_chip,Microsemi
NxStage,System_on_a_chip,Microsemi
RF_Micropower,PLL,Microsemi
Xilinx,FPGA,Microsemi
Transphorm,GaN,Microsemi
