Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
OOLU271335984008;18.02.23;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;Houston, Tx;Veracruz;Mexico;01.May;429
OOLU271295412009;09.02.23;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;Houston, Tx;Veracruz;Mexico;01.May;436
OOLU270943352001;13.12.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;New Orleans, La;Veracruz;Mexico;01.May;441
OOLU270803759005;26.11.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;New Orleans, La;Veracruz;Mexico;01.May;266
OOLU270803759017;26.11.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;New Orleans, La;Veracruz;Mexico;01.May;446
OOLU270773374003;26.11.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;New Orleans, La;Veracruz;Mexico;01.May;322
OOLU270298050005;20.08.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;Houston, Tx;Veracruz;Mexico;01.May;50
OOLU270298050007;20.08.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;Houston, Tx;Veracruz;Mexico;01.May;1350
OOLU270100580009;21.07.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;Houston, Tx;Veracruz;Mexico;01.May;474
OOLU270100580018;21.07.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;677
OOLU270100578033;21.07.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;Houston, Tx;Veracruz;Mexico;01.May;270
OOLU270100578034;21.07.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;Houston, Tx;Veracruz;Mexico;01.May;247
OOLU270100580004;21.07.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Car Trunk Cover;Houston, Tx;Veracruz;Mexico;01.May;452
OOLU269758781013;30.05.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;189
OOLU269758781002;30.05.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;216
OOLU269255425011;22.04.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;449
OOLU269255378002;22.04.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;433
OOLU269142339012;30.03.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;89
OOLU268680602006;16.01.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;87
OOLU268570704015;05.01.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;144
OOLU268570690006;05.01.22;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;556
OOLU268467373008;09.12.21;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;949
OOLU267707096007;06.09.21;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;33
OOLU266940765007;08.06.21;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;2061
OOLU265446522017;13.12.20;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;319
OOLU265446778003;13.12.20;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;926
OOLU265446552001;13.12.20;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;2022
OOLU265246207006;24.11.20;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;53
OOLU265246207005;24.11.20;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;28
OOLU265217898004;24.11.20;Bmw Ag Werk;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;1016
OOLU264375217008;01.08.20;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Trunk;Houston, Tx;Veracruz;Mexico;01.May;256
OOLU262947566003;04.11.19;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Electrical Cover Covers Automotive Use Lugga;Tampa, Fl;Veracruz;Mexico;01.May;200
OOLU262947566004;04.11.19;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Electrical Cover Covers Automotive Use Lugga;Tampa, Fl;Veracruz;Mexico;01.May;95
OOLU262743487006;21.09.19;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Electrical Cover Covers Automotive Use Lugga;Houston, Tx;Veracruz;Mexico;01.May;330
OOLU262704760001;17.09.19;Bmw Ag Kreditorische Abrechnung C P;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;1606
OOLU262640457006;30.08.19;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;460
OOLU262541254003;12.08.19;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Car Suitcase;Houston, Tx;Veracruz;Mexico;01.May;620
OOLU262498303005;02.08.19;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;176
OOLU262498303002;02.08.19;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Cover Trunk;Houston, Tx;Veracruz;Mexico;01.May;84
OOLU262394192006;12.07.19;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Electrical Rail System Activate Cajuela Echanism;Houston, Tx;Veracruz;Mexico;01.May;105
OOLU262394192001;12.07.19;Bmw Ag;Bos Automotive Products Irapuato S San Lorenzo;Electrical Rail System Activate Cajuela Echanism;Houston, Tx;Veracruz;Mexico;01.May;510
