Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
CMDUFR40302835;28.03.23;Hutchinson Autopartes Mexico S A De C V;Hutchinson Snc;Cmau Auto Generic;Charleston, Sc;Le Havre;France;01.May;15059
OOLU271422466102;25.03.23;Bmw Ag;Hutchinson Autopartes Mexico S A;Reinforced Rubber Hoses Automotive Use Accessories;New Orleans, La;Veracruz;Mexico;01.May;55
OOLU271422466005;10.03.23;Bmw Ag;Hutchinson Autopartes Mexico S A;Reinforced Rubber Hoses Automotive Use Accessories;Houston, Tx;Veracruz;Mexico;01.May;254
EGLV540300019281;28.02.23;Hutchinson Autopartes Mexico S A De C V;Hutchinson Snc;Automotive Automotive Sme Merab Sanchez Bollore Vat;Charleston, Sc;Le Havre;France;01.May;14838
OOLU271335984001;18.02.23;Bmw Ag;Hutchinson Autopartes Mexico S A;Reinforced Rubber Hoses Automotive Use Accessories;Houston, Tx;Veracruz;Mexico;01.May;759
EGLV540200220774;23.01.23;Hutchinson Autopartes Mexico S A De C V;Hutchinson Snc;Spare Cars Spare Cars Boulevard Pierre Lefaucheux Arnage Merab Sanchez Bollore Rfc Sme Merab Sanchez Merab Sanchez Bollore Merab Sanchez Bollore Rfc Sme Merab Sanchez Merab Sanchez Bollore;Charleston, Sc;Le Havre;France;01.May;11889
EGLV540200220812;23.01.23;Hutchinson Autopartes Mexico S A De C V;Hutchinson Snc;Spare Cars Spare Cars Boulevard Pierre Lefaucheux Arnage Merab Sanchez Bollore Rfc Sme;Charleston, Sc;Le Havre;France;01.May;13685
CMDUFR40301847;13.01.23;Hutchinson Autopartes Mexico S A De C V;Hutchinson Snc;Seku Auto Generic;Charleston, Sc;Le Havre;France;01.May;12310
OOLU271175635001;13.01.23;Bmw Ag;Hutchinson Autopartes Mexico S A;Reinforced Rubber Hoses Automotive Use Accessories;New Orleans, La;Veracruz;Mexico;01.May;207
MEDUI6811182;08.01.23;Hutchinson Autopartes Mexico S A;Kale Baglanti Teknolojileri San Ve;Hose Clamp Hose Clamp;Miami, Fl;Sines;Turkey;01.May;8993
OOLU270998582002;18.12.22;Bmw Ag;Hutchinson Autopartes Mexico S A;Reinforced Rubber Hoses Automotive Use Accessories;New Orleans, La;Veracruz;Mexico;01.May;584
OOLU270943340014;13.12.22;Bmw Ag;Hutchinson Autopartes Mexico S A;Reinforced Rubber Hoses Automotive Use Accessories;New Orleans, La;Veracruz;Mexico;01.May;294
OOLU270773374006;26.11.22;Bmw Ag;Hutchinson Autopartes Mexico S A;Rubber Hoses Automotive Use Accessories;New Orleans, La;Veracruz;Mexico;01.May;488
CMDUFR40301421;21.11.22;Hutchinson Autopartes Mexico S A;Hutchinson Snc;Tghu Spare Cars Generic;Charleston, Sc;Le Havre;France;01.May;13209
MEDUI6793448;29.10.22;Hutchinson Autopartes Mexico S A;Kale Baglanti Teknolojileri San Ve;Hose Clamp Hose Clamp;Miami, Fl;Sines;Turkey;01.May;8654
MEDULX145278;27.08.22;Hutchinson Autopartes Mexico S A;Hutchinson Snc;Accessories Motor Vehicles Hea Auto Blxmsc Payable Havre;New York/Newark Area, Newark, Nj;Le Havre;France;01.May;14093
MEDULX144156;27.08.22;Hutchinson Autopartes Mexico S A;Hutchinson Snc;Accessories Motor Vehicles Hea Auto Payable Havre;New York/Newark Area, Newark, Nj;Le Havre;France;01.May;14696
EGLV540200099622;27.07.22;Hutchinson Autopartes Mexico S A De C V;Hutchinson Snc;Spare Cars Spare Cars Ctc Ali Martinez Ali Martinez Hutchinsonna Rfc Sme;Charleston, Sc;Le Havre;France;01.May;10253
CMDUFR40299573;06.07.22;Hutchinson Autopartes Mexico S A De C V;Hutchinson Snc;Cgmu Spare Cars Generic Cargo Stowed Refrigerated Sat Requested Carrying Temperatu Degrees Celsius;Charleston, Sc;Le Havre;France;01.May;14149
MEDULF786833;23.05.22;Hutchinson Autopartes Mexico S A;Hutchinson Snc;Compounded Rubber Unvulcanised Primary Forms Raw Belt Cabling Payable Havre;New York/Newark Area, Newark, Nj;Anvers;France;01.May;13619
