Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
OOLU271422466118;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;113
OOLU271422466120;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;187
OOLU271422466108;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;0.71;11
OOLU271422466122;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;1817
OOLU271422466104;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;153
OOLU271422466119;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;43
OOLU271422466117;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;314
OOLU271422466121;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;929
OOLU271422466001;10.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;1481
OOLU271346016003;07.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;1814
OOLU271336009016;27.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;687
OOLU271336009017;27.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;657
OOLU271336009018;27.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;175
OOLU271336009014;27.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;419
DSVF1903010982;26.02.23;General Motors Do Brasil Ltda;Kayser Automotive Systems S En C Rio Papaloapan;Automotive;Houston, Tx;Veracruz;Mexico;01.May;143
OOLU271335984031;18.02.23;Bmw Ag Vz3 Worth Luitpoldpark;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;558
OOLU271335984026;18.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;210
OOLU271335984027;18.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;135
OOLU271295412007;09.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;130
OOLU271295412013;09.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;73
OOLU271295412014;09.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;512
OOLU271295412015;09.02.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;849
DSVFPBC0032219;08.02.23;Seat S A;Kayser Automotive Systems S En C Rio Papaloapan;Filtro Carbono;Houston, Tx;Veracruz;Mexico;3;12756
DSVF1903010163;03.02.23;General Motors Do Brasil Ltda;Kayser Automotive Systems S En C Rio Papaloapan;Automotive;Houston, Tx;Veracruz;Mexico;01.May;89
DSVFPBC0032218;27.01.23;Seat S A;Kayser Automotive Systems S En C Rio Papaloapan;Canister Filtro Carbon;Houston, Tx;Veracruz;Mexico;01.May;6378
