Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
PUSJDUSATMN00364;21.03.23;S Riko De Queretaro S A;Karl Dischinger Gmbh Calgary;Automotive;Charleston, Sc;Anvers;Belgium;1;2544
OOLU271336009007;27.02.23;Bmw Ag;S Riko De Queretaro S A;Rubber Assembly;Houston, Tx;Veracruz;Mexico;01.May;32
OOLU271170187005;13.01.23;Bmw Ag;S Riko De Queretaro S A;Rubber Assembly;New Orleans, La;Veracruz;Mexico;01.May;575
OOLU271175635007;13.01.23;Bmw Ag;S Riko De Queretaro S A;Rubber Assembly;New Orleans, La;Veracruz;Mexico;01.May;1229
PUSJDUSATMM06118;04.01.23;S Riko De Queretaro S A;Amberger Werkzeugbau Gmbh;Automotive File Cms;Charleston, Sc;Stadersand;Germany;1;3244
OOLU270803759008;26.11.22;Bmw Ag;S Riko De Queretaro S A;Rubber Assembly;New Orleans, La;Veracruz;Mexico;01.May;325
NAQABUE135212;09.11.22;Tenneco Clean Air Argentina Sa;S Riko De Queretaro S A;Elemento Para Control Vibracion;Houston, Tx;Veracruz;Mexico;01.May;13740
NAQABUE134369V;30.09.22;Tenneco Clean Air Argentina Sa;S Riko De Queretaro S A;Elemento Para Control Vibracion Goma Inte;Houston, Tx;Veracruz;Mexico;2;18603
NAQABUE133665V;05.09.22;Tenneco Clean Air Argentina Sa;S Riko De Queretaro S A;Elemento Para Control Vibracion;New Orleans, La;Veracruz;Mexico;01.May;8053
NAQABUE132727V;28.07.22;Clariant Argentina Sa;S Riko De Queretaro S A;Autoparts;Houston, Tx;Veracruz;Mexico;1;436
NAQABUE132727V;28.07.22;Clariant Argentina Sa;S Riko De Queretaro S A;Autoparts;Houston, Tx;Veracruz;Mexico;1;436
HLCUME3MG14824AB;22.07.22;Tenneco Clean Air Argentina Sa;S Riko De Queretaro S A;Intermediate Rubber Goma Intermedia Ncm Consolidated Cargo;Houston, Tx;Veracruz;Mexico;01.May;614
OOLU270100580013;21.07.22;Bmw Ag;S Riko De Queretaro S A;Rubber Assembly;Houston, Tx;Veracruz;Mexico;01.May;546
OOLU270100578007;21.07.22;Bmw Ag;S Riko De Queretaro S A;Rubber Assembly;Houston, Tx;Veracruz;Mexico;01.May;1247
