Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
OOLU271336009006;27.02.23;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;182
OOLU271336009008;27.02.23;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;297
NAQAPRG137172V;22.02.23;Fehrer Bohemia S R O Litomericka;Stabilus S A De C V;Dispositivo Desplazamiento Para Apretura;Houston, Tx;Tampico;Mexico;1;9481
NAQAPRG137172V;22.02.23;Fehrer Bohemia S R O Litomericka;Stabilus S A De C V;Dispositivo Desplazamiento Para Apretura;Houston, Tx;Tampico;Mexico;1;9481
OOLU271335984002;18.02.23;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;68
OOLU271295412006;09.02.23;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;244
BWLEMTY206153849;05.01.23;Stabilus Ltda;Stabilus S A De C V;Pneumatic Cylinders Kost Haste Hardener Additional Reaction Black Paint Ncm Free Time Days Wooden Treated Certificated Fumigated;Houston, Tx;Tampico;Mexico;01.May;5911
OOLU271110633007;29.12.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;New Orleans, La;Veracruz;Mexico;01.May;126
OOLU270998582003;18.12.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;New Orleans, La;Veracruz;Mexico;01.May;172
CMDURTM1290345;15.12.22;Stabilus S A De C V;Fuchs Lubricants Germany Gmbh;Hoyu Activity Chemicals Spot Product Details Blend Highly Refined Mineral Oils Additives Titan Saf Red Hazardous Mex Elvira Jimenez Hoyer Group;Charleston, Sc;Anvers;Belgium;01.May;20260
CMDURTM1290230;15.12.22;Stabilus S A De C V;Fuchs Lubricants Germany Gmbh;Hgtu Activity Chemicals Spot Product Details Base Oil Low Viscous Titan Saf Violet Hazardous Hoyer Global Transport Hour Mex Emai;Charleston, Sc;Anvers;Belgium;01.May;20620
CMDURTM1290345;15.12.22;Stabilus S A De C V;Fuchs Lubricants Germany Gmbh;Hoyu Activity Chemicals Spot Product Details Blend Highly Refined Mineral Oils Additives Titan Saf Red Hazardous Mex Elvira Jimenez Hoyer Group;Charleston, Sc;Anvers;Belgium;01.May;20260
CMDURTM1290230;15.12.22;Stabilus S A De C V;Fuchs Lubricants Germany Gmbh;Hgtu Activity Chemicals Spot Product Details Base Oil Low Viscous Titan Saf Violet Hazardous Hoyer Global Transport Hour Mex Emai;Charleston, Sc;Anvers;Belgium;01.May;20620
BWLEMTY206109541;14.12.22;Stabilus Ltda;Stabilus S A De C V;Automotive Exhaust Flex Tubencm Pallet Treated Certified Gas Spring Ncm Free Time Dayswooden Treated Certificated Fumigated Motor Electrico Accionados Exclusivamente Porcorriente Electric Motor Driven Exclusiv Ely Current Bsm Bsm Ncm Wooden Materialtreated Certific;Houston, Tx;Tampico;Mexico;01.May;2187
OOLU270773374002;26.11.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;New Orleans, La;Veracruz;Mexico;01.May;170
BWLEMTY205991317;09.11.22;Stabilus Ltda;Stabilus S A De C V;Pneumatic Cylinders Ncm Wooden Treated Certificated Fumigated;Houston, Tx;Tampico;Mexico;01.May;12629
BWLEMTY205881240;30.09.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;1;4698
NAQABRE134322V;28.09.22;Stabilus Romania Srl;Stabilus S A De C V;Motor Electrico;Houston, Tx;Veracruz;Mexico;1;701
NAQABRE133884V;15.09.22;Stabilus Romania Srl;Stabilus S A De C V;Motor Gear;Houston, Tx;Veracruz;Mexico;1;1085
BWLEMTY205792660;30.08.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;1;1270
OOLU270298050002;20.08.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;93
OOLU270359086013;20.08.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;87
EXDO619716526;17.08.22;Flextronics Intl Tecnologia Ltda;Stabilus S A De C V;Cylinder Pnumatic;Houston, Tx;Tampico;Mexico;2;19973
EXDO619716576;17.08.22;Flextronics Intl Tecnologia Ltda;Stabilus S A De C V;Cylinder Pnumatic;Houston, Tx;Tampico;Mexico;2;19973
EXDO619716577;17.08.22;Flextronics Intl Tecnologia Ltda;Stabilus S A De C V;Cylinder Pnumatic;Houston, Tx;Tampico;Mexico;2;19973
EXDO619716526;17.08.22;Flextronics Intl Tecnologia Ltda;Stabilus S A De C V;Cylinder Pnumatic;Houston, Tx;Tampico;Mexico;2;19973
EXDO619716576;17.08.22;Flextronics Intl Tecnologia Ltda;Stabilus S A De C V;Cylinder Pnumatic;Houston, Tx;Tampico;Mexico;2;19973
EXDO619716577;17.08.22;Flextronics Intl Tecnologia Ltda;Stabilus S A De C V;Cylinder Pnumatic;Houston, Tx;Tampico;Mexico;2;19973
MEDUTT779849;22.07.22;Stabilus S A De C V;Fuchs Schmierstoffe Gmbh Friesenheimer;Petroleum Oils Oils Obtained From Bituminous Blend Highly Refined Mineral Oils Additives Titan Saf Red Hazardous;Norfolk, Va;Anvers;Belgium;01.May;20240
OOLU270100580005;21.07.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;571
OOLU270100580016;21.07.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;256
BWLEMTY205712017;16.07.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;1;10756
BWLEMTY205712017;16.07.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;1;10756
BANQMTY0239905;11.07.22;Stabilus Ltda;Stabilus S A De C V;Cylinders Pneumatic Sfc Helio Valgas Brazil Sfc Helio Valgas Brazil Ncm Wooden Treated Certified Cylinders Pneumatic Sfc Janauba Brazil Sfc Janauba Brazil Ncm Wooden Treated Certified Cylinders Pneumatic Sfc Janauba Brazil Sfc Janauba Brazil Ncm Wooden Treated Certified Cylinders Pneumatic Sfc Helio Valgas Brazil Ncm Wooden Treated Certified;Houston, Tx;Tampico;Mexico;4;59916
BANQMTY0239905;11.07.22;Stabilus Ltda;Stabilus S A De C V;Cylinders Pneumatic Sfc Helio Valgas Brazil Sfc Helio Valgas Brazil Ncm Wooden Treated Certified Cylinders Pneumatic Sfc Janauba Brazil Sfc Janauba Brazil Ncm Wooden Treated Certified Cylinders Pneumatic Sfc Janauba Brazil Sfc Janauba Brazil Ncm Wooden Treated Certified Cylinders Pneumatic Sfc Helio Valgas Brazil Ncm Wooden Treated Certified;Houston, Tx;Tampico;Mexico;8;79888
BWLEMTY205663558;27.06.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;1;7470
BANQMTY0239905;27.06.22;Stabilus Ltda;Stabilus S A De C V;Cylinders Pneumatic Ncm Wooden Treated Certified Cylinders Pneumatic Ncm Wooden Treated Certified Cylinders Pneumatic Ncm Wooden Treated Certified;Houston, Tx;Tampico;Mexico;3;39944
BANQMTY0239668;27.06.22;Stabilus Ltda;Stabilus S A De C V;Cylinders Pneumatic Ncm Wooden Treated Certified;Houston, Tx;Tampico;Mexico;2;20126
BANQMTY0239668;25.06.22;Stabilus Ltda;Stabilus S A De C V;Cylinders Pneumatic Ncm Wooden Treated Certified;Houston, Tx;Tampico;Mexico;2;20126
MEDUBI851289;22.06.22;Stabilus S A De C V;Hijos De Juan De Garay Sa;Other Tubes Pipes Hollow Profiles Exampl Precision Steel Tube According Standar;Port Everglades, Fl;Valencia;Spain;8;77493
BANQBIO1148755;21.06.22;Stabilus S A De C V;Hijos De Juan De Garay S A;Precision Steel Tube Bundles Precision Steel Tube Bundles Precision Steel Tube Bundles;Port Everglades, Fl;Sines;Portugal;6;61835
BWLEMTY205633072;11.06.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Norfolk, Va;Tampico;Mexico;01.May;5354
BANQBIO1146564;07.06.22;Stabilus S A De C V;Hijos De Juan De Garay S A;Precision Steel Tube Bundles Precision Steel Tube Bundles Precision Steel Tube Bundles;New York, Ny;Sines;Portugal;6;59776
BANQBIO1146564;07.06.22;Stabilus S A De C V;Hijos De Juan De Garay S A;Precision Steel Tube Bundles Precision Steel Tube Bundles Precision Steel Tube Bundles;New York, Ny;Sines;Portugal;6;59776
OOLU269758781012;30.05.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;89
MEDUBI837924;26.05.22;Stabilus S A De C V;Hijos De Juan De Garay Sa;Other Tubes Pipes Hollow Profiles Exampl Precision Steel Tube According Standar;New York, Ny;Sines;Spain;8;80662
BANQBIO1146564;26.05.22;Stabilus S A De C V;Hijos De Juan De Garay S A;Precision Steel Tube Bundles Precision Steel Tube Bundles Precision Steel Tube Bundles;New York, Ny;Sines;Portugal;6;59776
BWLEMTY205560860;07.05.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;1;15678
NAQAPRG130579V;03.05.22;Stabilus Gmbh;Stabilus S A De C V;Piston Neumatico;Houston, Tx;Tampico;Mexico;1;268
NAQAPRG130977V;03.05.22;Stabilus Gmbh;Stabilus S A De C V;Piston Neumatico;Houston, Tx;Tampico;Mexico;1;184
NAQABUH131008V;03.05.22;Stabilus Gmbh;Stabilus S A De C V;Connecting Rod Asse;Houston, Tx;Tampico;Mexico;1;288
DSVFMTY0040677;03.05.22;Fehrer Bohemia S R O;Stabilus S A De C V;Piston Neumaticohs;Houston, Tx;Tampico;Mexico;1;184
OOLU269255423008;22.04.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;233
OOLU269142339003;30.03.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;76
BWLEMTY205497431;28.03.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;1;5354
BWLEMTY105248079;21.01.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;1;3699
BWLEMTY105248079;21.01.22;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;1;3699
OOLU268680609006;18.01.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;182
OOLU268680602005;16.01.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;511
OOLU268612509002;07.01.22;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;239
OOLU268467373004;09.12.21;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;128
OOLU268388979011;04.12.21;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;168
BWLEMTY105212973;01.12.21;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;01.May;16747
NAQAHAM128131V;18.11.21;Stabilus Gmbh;Stabilus S A De C V;Automotive;Houston, Tx;Tampico;Mexico;1;790
NAQAHAM127894V;14.11.21;Stabilus Gmbh;Stabilus S A De C V;Automotive;Houston, Tx;Tampico;Mexico;1;181
NAQAHAM127860V;02.11.21;Fehrer Bohemia S R O Litomericka;Stabilus S A De C V;Cylinders Pneumatic;Houston, Tx;Tampico;Mexico;1;137
BWLEMTY105161118;17.10.21;Stabilus Ltda;Stabilus S A De C V;Barras Acero Resortes Pneumaticos;Houston, Tx;Tampico;Mexico;01.May;14324
OOLU266525163009;21.04.21;Bmw Ag;Stabilus S A De C V;Electric Automotive Pistons;Houston, Tx;Veracruz;Mexico;01.May;354
