Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
DSVF0203021424;30.03.23;Gm Customer Care & Aftersales;Ti Group;Automotive;New York/Newark Area, Newark, Nj;Bremerhaven;Germany;Jan.31;23
HLCUME3NC38852AF;30.03.23;Bmw Ag;Ti Group;Fuel Pump Fuel Pump;Houston, Tx;Tampico;Mexico;1;360
DSVFBE70002251;28.03.23;Ti Group;Christian Dunkel Gmbh;Safety Light Curtains Hand Button Extensionntable Right Tubes Diameter;Houston, Tx;Bremerhaven;Germany;02.May;2800
NEDFNGOBVZ48524;28.03.23;Ti Group;Nippon Stud Welding Co Ltd;Ace;Tacoma, Wa;Tokyo;Japan;1;520
DSVF1753020085;27.03.23;Ti Group;Ti Group;Automotive Automotive Automotive Automotive Automotive Automotive Automotive Automotive Automotive Automotive Automotive Automotive;Charleston, Sc;Stadersand;Germany;01.May;3721
DSVF1753030052;27.03.23;Ti Group;Paul Bippus Gmbh & Co;Automotive;Charleston, Sc;Stadersand;Germany;01.May;245
DSVF1753030053;27.03.23;Ti Group;Tdk Sensors Ag & Co;Automotive Automotive;Charleston, Sc;Stadersand;Germany;01.May;253
DSVF1753030044;27.03.23;Ti Group;Lisi Automotive;Automotive Automotive;Charleston, Sc;Stadersand;Germany;01.May;1005
DSVF1753020093;27.03.23;Ti Group;Magna Steyr;Automotive;Charleston, Sc;Stadersand;Germany;01.May;579
DSVF1753030046;27.03.23;Ti Group;Ti Automotive Fuldabrueck Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;01.May;123
DSVF1753020092;27.03.23;Ti Group;Tdk Sensors Ag & Co;Automotive Automotive Automotive;Charleston, Sc;Stadersand;Germany;01.May;280
DSVF1753030042;27.03.23;Ti Group;Nedschroef Schrozberg Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;01.May;594
DSVF1753020084;27.03.23;Ti Group;Lisi Automotive;Automotive;Charleston, Sc;Stadersand;Germany;01.May;347
DSVF1753030049;27.03.23;Ti Group;Cohline Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;01.May;98
DSVF1753030045;27.03.23;Ti Group;Ti Automotive;Automotive Automotive;Charleston, Sc;Stadersand;Germany;01.May;375
DSVF1753030041;27.03.23;Ti Group;Paul Bippus Gmbh & Co;Automotive;Charleston, Sc;Stadersand;Germany;01.May;213
DSVF1753030050;27.03.23;Ti Group;Poppe Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;01.May;151
DSVF1753020094;27.03.23;Ti Group;Vallotech Sa;Automotive;Charleston, Sc;Stadersand;Germany;01.May;345
DSVF1753030043;27.03.23;Ti Group;Nedschroef Schrozberg Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;01.May;489
DSVF1753020090;27.03.23;Ti Group;Ti Fluid Systems;Automotive;Charleston, Sc;Stadersand;Germany;01.May;40
DSVFDEL8122482;25.03.23;Ti Group;Samvardhana Motherson International Ltd;Other Accessories Themotor Vehicles Flange;New York/Newark Area, Newark, Nj;Mundra;India;01.May;208
CHSLSEL2303100;24.03.23;Ti Group;Dong Il Technology Ltd;Noise Rfi Filter;Long Beach, Ca;Pusan;Republic Of Korea;01.May;576
SNJCTH23020050;20.03.23;Ti Group;Bridgestone Industrial Products;Air Conditioning Hose;Houston, Tx;Yantian;Thailand;1;3651
HLCUME3NC16218AF;16.03.23;Onsignee;Ti Group;Fuel Pump Fuel Pump;Houston, Tx;Tampico;Mexico;01.May;1080
HLCUME3NC16218AA;16.03.23;Bmw Ag;Ti Group;Fuel Pump Fuel Pump;Houston, Tx;Tampico;Mexico;01.May;720
HLCUME3230222650;15.03.23;Ford Espa A Sl;Ti Group;Autoparts;Houston, Tx;Tampico;Mexico;01.May;4156
DSVF1753020083;14.03.23;Ti Group;Ti Automotive Systems Germany Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;1;127
DSVF1753020060;14.03.23;Ti Group;Lisi Automotive;Automotive Automotive;Charleston, Sc;Stadersand;Germany;01.May;1005
DSVF1753020075;14.03.23;Ti Group;Ti Poland Sp Z O O;Automotive Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;1419
DSVF1753020063;14.03.23;Ti Group;Ti Group;Automotive Automotive Automotive Automotive Automotive Automotive Automotive Automotive Automotive;Charleston, Sc;Stadersand;Germany;01.May;3082
DSVF1753020087;14.03.23;Ti Group;Cohline Gmbh;Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;579
DSVF1753020072;14.03.23;Ti Group;Tdk Sensors Ag & Co;Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;213
DSVF1753020052;14.03.23;Ti Group;Bantboru Sanayi Ve Ticaret A S;Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;214
DSVF1753020069;14.03.23;Ti Group;Paul Bippus Gmbh & Co;Automotive;Charleston, Sc;Stadersand;Germany;01.May;242
DSVF1753020067;14.03.23;Ti Group;Ti Automotive Systems Germany Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;01.May;123
DSVF1753020076;14.03.23;Ti Group;Nedschroef Schrozberg Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;1;489
DSVF1753020068;14.03.23;Ti Group;Ti Automotive Lokeren;Automotive;Charleston, Sc;Stadersand;Germany;01.May;12938
DSVF1753020082;14.03.23;Ti Group;Magna Steyr;Automotive;Charleston, Sc;Stadersand;Germany;1;579
DSVF1753020088;14.03.23;Ti Group;Paul Bippus Gmbh & Co;Automotive;Charleston, Sc;Stadersand;Germany;1;337
DSVF1753020089;14.03.23;Ti Group;Paul Bippus Gmbh & Co;Automotive;Charleston, Sc;Stadersand;Germany;1;311
DSVF1753020065;14.03.23;Ti Group;Vallotech Sa;Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;612
DSVF1753020074;14.03.23;Ti Group;Nedschroef Schrozberg Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;1;1479
DSVF1753020071;14.03.23;Ti Group;Moulages Industriels Du Haut Bugey;Automotive;Charleston, Sc;Stadersand;Germany;1;336
DSVF1753020077;14.03.23;Ti Group;Moulages Industriels Du Haut Bugey;Automotive;Charleston, Sc;Stadersand;Germany;1;121
DSVF1753020078;14.03.23;Ti Group;Vallotech Sa;Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;623
DSVF1753020091;14.03.23;Ti Group;Nedschroef Schrozberg Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;1;214
DSVF1753020079;14.03.23;Ti Group;Hidro Rubber Iberica S A;Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;406
DSVF1753020080;14.03.23;Ti Group;Ti Automotive;Automotive;Charleston, Sc;Stadersand;Germany;1;217
DSVF1753020073;14.03.23;Ti Group;Cohline Gmbh;Automotive;Charleston, Sc;Stadersand;Germany;01.May;480
DSVF1753020081;14.03.23;Ti Group;Tdk Sensors Ag & Co;Automotive Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;371
DSVF1753020070;14.03.23;Ti Group;Lisi Automotive;Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;676
DSVF1753020064;14.03.23;Ti Group;Ti Poland Sp Z O O;Automotive Automotive;Charleston, Sc;Stadersand;Germany;1;1778
DSVF1753020061;14.03.23;Ti Group;Variance Technologies Wedo;Automotive;Charleston, Sc;Stadersand;Germany;1;340
DSVFSEL0335667;12.03.23;Ti Group;Dong Nam Precision Co Ltd;Motor Vehicles;Savannah, Ga;Pusan;Republic Of Korea;01.May;653
DFDSSHA71081849;12.03.23;Ti Group;Yangzhou Liangcheng Auto Parts Co;Fuel Tank Cover;Long Beach, Ca;Shanghai;China;01.May;1106
CHSLSEL2302106;12.03.23;Ti Group;Dong Il Technology Ltd;Noise Rfi Filter;Long Beach, Ca;Pusan;Republic Of Korea;01.May;576
JSSYJSBHO2302606;11.03.23;Ti Group;Hanil Tube Corp;Checking Fixture;Houston, Tx;Pusan;Republic Of Korea;12.May;24968
