Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
OOLU271422466107;25.03.23;Bmw Werk;Toluca Planta De Blindados S A;Back Door;New Orleans, La;Veracruz;Mexico;01.May;112
OOLU271175635023;13.01.23;Bmw Werk;Toluca Planta De Blindados S A;Back Door;New Orleans, La;Veracruz;Mexico;01.May;114
OOLU270298050018;20.08.22;Bmw Ag Hans Glas Strbe;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;103
OOLU270100578009;21.07.22;Bmw Ag Hans Glas Strbe;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;114
OOLU268570704013;05.01.22;Bmw Ag;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;112
OOLU267707091001;06.09.21;Bmw Werk;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;110
OOLU265660163006;01.01.21;Bmw Werk;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;111
OOLU265514740007;19.12.20;Bmw Werk;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;110
OOLU265362880003;06.12.20;Bmw Werk;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;122
OOLU265246207001;24.11.20;Bmw Werk;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;122
OOLU262842455012;11.10.19;Bmw Werk;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;122
OOLU262743487002;21.09.19;Bmw Werk;Toluca Planta De Blindados S A;Back Door;Houston, Tx;Veracruz;Mexico;01.May;122
OOLU262676480001;06.09.19;Bmw Werk;Toluca Planta De Blindados S A;Front Door Car;Houston, Tx;Veracruz;Mexico;01.May;122
OOLU262608333011;23.08.19;Bmw Werk;Toluca Planta De Blindados S A;Left Rear Door;Houston, Tx;Veracruz;Mexico;01.May;125
OOLU262541254008;12.08.19;Bmw Werk;Toluca Planta De Blindados S A;Left Rear Door;Houston, Tx;Veracruz;Mexico;01.May;122
OOLU262394192002;12.07.19;Bmw Ag;Toluca Planta De Blindados S A;Door Automotive Vehicle;Houston, Tx;Veracruz;Mexico;01.May;541
