Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
OOLU271491292002;25.03.23;Bmw Ag Werk;Zf Chassis Technology S A De C V;Swing Support Front Right;New Orleans, La;Veracruz;Mexico;01.May;152
OOLU271491292029;25.03.23;Bmw Ag Werk;Zf Chassis Technology S A De C V;Wheel Suspension Joint;New Orleans, La;Veracruz;Mexico;01.May;43
SUDU23MEX001460A;24.03.23;Volkswagen Do Brasil Ind De Veiculo;Zf Chassis Technology S A De C V;Stabilizer Link Wooden Pack Ing Treated Certified Payable Morristown;Houston, Tx;Veracruz;Mexico;1;5006
KWLD45030154262;16.03.23;Bmw Ag;Zf Chassis Technology S A De C V;Racks;Houston, Tx;Tampico;Mexico;2;18378
SUDU23MEX002118A;14.03.23;Volkswagen Do Brasil Industria De V Iculos Automotores Ltda;Zf Chassis Technology S A De C V;Stabilizer Link Wooden Treated Certified Payable Morristown;Houston, Tx;Veracruz;Mexico;01.May;10012
OOLU271346016005;07.03.23;Bmw Ag Kreditorische Abrechnung;Zf Chassis Technology S A De C V;Suspension Labels Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;546
OOLU271359285001;07.03.23;Rhenus Sml N V;Zf Chassis Technology S A De C V;Stabilizer Link;Houston, Tx;Veracruz;Mexico;1;223
OOLU271394771019;07.03.23;Bmw Ag Werk;Zf Chassis Technology S A De C V;Swing Support Front Left;Houston, Tx;Veracruz;Mexico;01.May;153
CMDUHBGA0336690;24.02.23;Zf Chassis Technology S A De C V;Schw Bische Werkzeugmaschinen Gmbh Seedorfer;Ttnu Cnc Machinery Centre Oversize Height Left Right Generic Cmau Descripti;Charleston, Sc;Bremerhaven;Germany;03.May;24480
SUDU23MEX001064A;21.02.23;Volkswagen Do Brasil Industria De V Iculos Automotores Ltda;Zf Chassis Technology S A De C V;Stabilizer Link Wooden Pac King Treated Certified Payable Morristown;Houston, Tx;Veracruz;Mexico;1;5006
OOLU271294819025;12.02.23;Bmw Ag Werk;Zf Chassis Technology S A De C V;Wheel Control Board;New Orleans, La;Veracruz;Mexico;01.May;56
SUDU23MEX000181A;11.02.23;Volkswagen Do Brasil Industria De V Iculos Automotores Ltda;Zf Chassis Technology S A De C V;Stabilizer Link Wooden Cking Treated Certified Payable Morristown;Houston, Tx;Veracruz;Mexico;1;5006
SUDU23MEX000495A;11.02.23;Volkswagen Do Brasil Industria De V Iculos Automotores Ltda;Zf Chassis Technology S A De C V;Stabilizer Link Wooden Cking Treated Certified Payable Morristown;Houston, Tx;Veracruz;Mexico;1;5006
OOLU271295412016;09.02.23;Bmw Ag Kreditorische Abrechnung;Zf Chassis Technology S A De C V;Suspension Labels Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;552
KWLD45030152467;05.02.23;Bmw Ag;Zf Chassis Technology S A De C V;Racks;Houston, Tx;Tampico;Mexico;2;8317
