Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
OOLU271422466009;10.03.23;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;1794
OOLU271336009015;27.02.23;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;3649
OOLU271175635009;13.01.23;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;New Orleans, La;Veracruz;Mexico;01.May;3438
OOLU271175635012;13.01.23;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;New Orleans, La;Veracruz;Mexico;01.May;1463
OOLU270998582016;18.12.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;New Orleans, La;Veracruz;Mexico;01.May;4116
OOLU270998582017;18.12.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;New Orleans, La;Veracruz;Mexico;01.May;823
OOLU270298050008;20.08.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;2742
OOLU270298050019;20.08.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;2710
OOLU270298050020;20.08.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;4304
OOLU270100580008;21.07.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;3805
OOLU270100580015;21.07.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;2828
OOLU270100580020;21.07.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;6070
OOLU270100578006;21.07.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Harness Battery Automotive Use;Houston, Tx;Veracruz;Mexico;01.May;2133
OOLU269255425002;22.04.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Automotive Use Shock Absorbers;Houston, Tx;Veracruz;Mexico;01.May;2037
OOLU268680608001;18.01.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Automotive Use Shock Absorbers;Houston, Tx;Veracruz;Mexico;01.May;1420
OOLU268612554003;07.01.22;Bmw Ag;Zf Suspension Technology Guadalajar Km;Automotive Use Shock Absorbers;Houston, Tx;Veracruz;Mexico;01.May;1224
