"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"OOLU271422466101","25/03/2023","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","New Orleans, La","Veracruz","Mexico","1.5","936"
"OOLU271346016011","07/03/2023","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","Houston, Tx","Veracruz","Mexico","1.5","1080"
"OOLU271336009013","27/02/2023","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","Houston, Tx","Veracruz","Mexico","1.5","630"
"OOLU271335984003","18/02/2023","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","Houston, Tx","Veracruz","Mexico","1.5","1535"
"OOLU271295412001","09/02/2023","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","Houston, Tx","Veracruz","Mexico","1.5","853"
"OOLU271170187008","13/01/2023","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","New Orleans, La","Veracruz","Mexico","1.5","1349"
"OOLU271175635006","13/01/2023","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","New Orleans, La","Veracruz","Mexico","1.5","1711"
"OOLU271110633001","29/12/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","New Orleans, La","Veracruz","Mexico","1.5","1379"
"OOLU270998582014","18/12/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","New Orleans, La","Veracruz","Mexico","1.5","1430"
"OOLU270998582025","18/12/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","New Orleans, La","Veracruz","Mexico","1.5","1373"
"OOLU270943340001","13/12/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","New Orleans, La","Veracruz","Mexico","1.5","307"
"OOLU270943340023","13/12/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessor","New Orleans, La","Veracruz","Mexico","1.5","1016"
"OOLU270773373001","26/11/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","New Orleans, La","Veracruz","Mexico","1.5","1631"
"OOLU270298050009","20/08/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","1536"
"OOLU270100580023","21/07/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","1082"
"OOLU270100578022","21/07/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","778"
"OOLU269758781011","30/05/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","28"
"OOLU269758781018","30/05/2022","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","1027"
"OOLU262947563001","04/11/2019","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Tampa, Fl","Veracruz","Mexico","1.5","265"
"OOLU262778180006","27/09/2019","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","242"
"OOLU262640457001","30/08/2019","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","56"
"OOLU262468863001","26/07/2019","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","78"
"OOLU261979490001","23/04/2019","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","718"
"OOLU261681977007","06/03/2019","Bmw Ag Bmw Werk","Tristone Flowtech Mexico S De R L Carretera Delicias Camargo","Automotive Curve Hose Accessories","Houston, Tx","Veracruz","Mexico","1.5","100"
