Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
OOLU271422466116;25.03.23;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;New Orleans, La;Veracruz;Mexico;01.May;131
MEDUI6831719;24.03.23;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet;Miami, Fl;Gioia Tauro;Italy;01.May;4280
OOLU271346016004;07.03.23;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;1210
MEDUI6825943;20.02.23;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Pallet Pallet;Miami, Fl;Sines;Portugal;01.May;4294
OOLU271335984019;18.02.23;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;1017
OOLU271295412010;09.02.23;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;1547
MEDUI6822122;27.01.23;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet;Miami, Fl;Sines;Turkey;01.May;4130
OOLU271175635005;13.01.23;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;New Orleans, La;Veracruz;Mexico;01.May;728
MEDUI6815639;12.01.23;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector;Miami, Fl;Sines;Turkey;01.May;4105
MEDUI6808956;08.01.23;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Palet Palet;Miami, Fl;Sines;Turkey;1;1049
OOLU270943352011;13.12.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;New Orleans, La;Veracruz;Mexico;01.May;823
MEDUI6802728;04.12.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Pallet;Miami, Fl;Sines;Turkey;1;2860
OOLU270803759004;26.11.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;New Orleans, La;Veracruz;Mexico;01.May;539
OOLU270803759003;26.11.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;New Orleans, La;Veracruz;Mexico;01.May;74
MEDUI6796102;09.11.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connectorc Plastic Quick Connectorc;Miami, Fl;Sines;Turkey;1;1015
MEDUI6791129;24.10.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet;Miami, Fl;Sines;Turkey;1;2154
MEDUI6782938;11.10.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Pallet Pallet;Boston, Ma;Sines;Turkey;01.May;3620
MEDUI6776039;15.09.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Pallet Pallet;New York/Newark Area, Newark, Nj;Valencia;Turkey;01.May;3740
OOLU270100578010;21.07.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;486
OOLU270100578021;21.07.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;332
OOLU270100580014;21.07.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;46
MEDUI6375485;24.06.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Palet Palet Palet Palet;Miami, Fl;Sines;Turkey;1;1316
MEDUTE945695;13.06.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Palet Plastic Quick Connector Plastic Quick Connector Pallet Pallet;Baltimore, Md;Sines;Turkey;02.May;8301
OOLU269808471005;30.05.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;801
OOLU269808471016;30.05.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Plastic Pipes Carbon Filter;Houston, Tx;Veracruz;Mexico;01.May;259
MEDUI6237891;18.05.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Plastic Quick Connector Plastic Quick Connector;Boston, Ma;Sines;Turkey;02.May;8997
MEDUI6502120;09.05.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Palet Palet Plastic Quick Connector Plastic Quick Connector Palet Palet Brut Plastic Quick Connector Palet Palet Palet Brut;Miami, Fl;Sines;Turkey;3;11917
OOLU269142335006;29.03.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;95
OOLU269197303008;29.03.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;437
MEDUI6058586;12.02.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector;Miami, Fl;Gioia Tauro;Turkey;02.May;9291
OOLU268887477013;03.02.22;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;64
MEDUI2941876;02.01.22;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector;New York/Newark Area, Newark, Nj;Valencia;Turkey;02.May;9307
MEDUI2987440;31.12.21;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Plastic Quick Connector Plastic Quick Connector;New York/Newark Area, Newark, Nj;Sines;Turkey;02.May;9435
OOLU268467373010;09.12.21;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;113
MEDUI2860860;04.11.21;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector;Norfolk, Va;Sines;Turkey;01.May;8233
MEDUI2808299;17.10.21;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Plastic Quick Connector Plastic Quick Connector;Norfolk, Va;Sines;Turkey;02.May;8531
MEDUI2773162;04.10.21;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector Plastic Quick Connector Plastic Quick Connector;Miami, Fl;Gioia Tauro;Turkey;02.May;9497
OOLU267707091015;06.09.21;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;83
MEDUI2658231;16.08.21;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Elemanlari San;Plastic Quick Connector Plastic Quick Connector;Miami, Fl;Gioia Tauro;Turkey;01.May;6097
MEDUI2561120;29.06.21;Akwel Orizaba Mexico Sa De Cv;A Raymond Baglanti Eleman San Tic L;Plastic Quick Connector Plastic Quick Connector;Miami, Fl;Sines;Turkey;01.May;5200
OOLU265779822006;28.01.21;Bmw Ag Werk;Akwel Orizaba Mexico Sa De Cv;Automotoparts;Houston, Tx;Veracruz;Mexico;1;46
OOLU265646287007;01.01.21;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;Jan.31;23
OOLU265348582011;06.12.20;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;310
OOLU265290093011;27.11.20;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;99
OOLU265246207004;24.11.20;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose;Houston, Tx;Veracruz;Mexico;01.May;66
HLCUME3KJ65474AA;12.11.20;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Automotive Autoparts Automotive;Houston, Tx;Veracruz;Mexico;3;10096
CMDUMXO0496661;30.09.20;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Cmau Autoparts Automotive Generic;Houston, Tx;Veracruz;Mexico;01.May;42
DMALMEXA08961;25.09.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;133
DMALMEXA08964;25.09.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;365
DMALMEXA08814;16.09.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;1;283
DMALMEXA08751;16.09.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;1;60
DMALMEXA08380;11.09.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;1;77
DMALMEXA08581;11.09.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;1;49
CMDUSSZ0820798;07.09.20;Akwel Orizaba Mexico Sa De Cv;Norma Do Brasil Sistemas De Conex O Ltda;Cmau Conector Customer Conector Customer;Houston, Tx;Port Bustamante;Brazil;01.May;6997
CMDUSSZ0820790;07.09.20;Akwel Orizaba Mexico Sa De Cv;Norma Do Brasil Sistemas De Conex O Ltda;Gesu Conector Customer Conector Customer;Houston, Tx;Port Bustamante;Brazil;01.May;6606
CMDUSSZ0820798;19.08.20;Akwel Orizaba Mexico Sa De Cv;Norma Do Brasil Sistemas De Conex O Ltda;Cmau Conector Customer Conector Customer;New Orleans, La;Sao Paulo;Brazil;01.May;6997
CMDUSSZ0820790;19.08.20;Akwel Orizaba Mexico Sa De Cv;Norma Do Brasil Sistemas De Conex O Ltda;Gesu Conector Customer Conector Customer;New Orleans, La;Sao Paulo;Brazil;01.May;6606
DMALMEXA05705;22.04.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;176
DMALMEXA05705;22.04.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;176
DMALMEXA05568;15.04.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;39
DMALMEXA05481;07.04.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;59
DMALMEXA05304;01.04.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;1872
DMALMEXA05288;01.04.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;51
DMALMEXA05119;25.03.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;38
DMALMEXA05167;25.03.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;251
DMALMEXA05015;22.03.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;69
DMALMEXA05060;22.03.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;584
DMALMEXA04835;14.03.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;59
DMALMEXA04881;14.03.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;385
DMALMEXA04661;07.03.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;90
DMALMEXA04563;07.03.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;277
DMALMEXA04696;07.03.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;249
DMALMEXA04468;21.02.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;242
DMALMEXA04508;21.02.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;104
DMALMEXA04422;21.02.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;68
DMALMEXA04231;20.02.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;66
DMALMEXA04037;05.02.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;62
DMALMEXA03925;29.01.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;62
DMALMEXA03834;29.01.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.Jan;17
DMALMEXA03834;29.01.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.Jan;17
DMALMEXA03925;29.01.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;62
DMALMEXA03694;16.01.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;65
DMALMEXA03545;08.01.20;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;103
DMALMEXA03224;29.12.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;157
DMALMEXA03258;29.12.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;71
DMALMEXA03056;20.12.19;Opel Automobile Gmbh;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;64
DMALMEXA02956;12.12.19;Opel Automobile Gmbh;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;1;87
DMALMEXA02729;04.12.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;1;79
DMALMEXA02547;28.11.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;69
DMALMEXA02203;13.11.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;95
DMALMEXA01761;23.10.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;50
DMALMEXA01578;16.10.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;82
DMALMEXA01273;09.10.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;63
OOLU262805383011;04.10.19;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose Textile Reinforcement Accessories;Houston, Tx;Veracruz;Mexico;01.May;101
DMALMEXA01167;02.10.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;97
DMALMEXA00970;22.09.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;69
DMALMEXA00632;07.09.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;69
DMALMEXA00428;31.08.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;Jan.36;24
DMALMEXA00200;24.08.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;01.May;55
DMALMEXA00088;18.08.19;Adam Opel Ag Ipc;Akwel Orizaba Mexico Sa De Cv;Automotive;Houston, Tx;Veracruz;Mexico;Jan.31;23
OOLU262541254007;12.08.19;Bmw Ag;Akwel Orizaba Mexico Sa De Cv;Rubber Hose Textile Reinforcement Accessories;Houston, Tx;Veracruz;Mexico;01.May;317
