Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
HLCUME3NC44518AE;30.03.23;Bmw Ag Central Invoice Control;Valeo Sistemas Automotrices De Mexico Sa De Cv;Sellos Sealings Sellos Sealings;Houston, Tx;Veracruz;Mexico;1;70
HLCUME3NC38852AF;30.03.23;Bmw Ag;Ti Group;Fuel Pump Fuel Pump;Houston, Tx;Tampico;Mexico;1;360
HLCUME3NC38852AC;30.03.23;Bmw Ag Freditorenbuchhaltung;Autoneum Mexico Operations S A De C V;Automotive Automotive;Houston, Tx;Tampico;Mexico;1;747
HLCUHAM2302ARZN0;29.03.23;Bmw Na Distribution Center;Bmw Ag;Bmw Service;Los Angeles, Ca;Stadersand;Germany;01.May;6510
EXDO6560080550;27.03.23;Benteler Automotive Corp;Bmw Ag;Disc Brakes;Charleston, Sc;Bremerhaven;Germany;2;22753
EXDO6560080551;27.03.23;Benteler Automotive Corp;Bmw Ag;Disc Brakes;Charleston, Sc;Bremerhaven;Germany;2;21010
EXDO6560080548;27.03.23;Benteler Automotive Corp;Bmw Ag;Disc Brakes;Charleston, Sc;Bremerhaven;Germany;2;22753
EXDO6560080553;27.03.23;Benteler Automotive Corp;Bmw Ag;Disc Brakes;Charleston, Sc;Bremerhaven;Germany;2;23621
EXDO6560080554;27.03.23;Benteler Automotive Corp;Bmw Ag;Disc Brakes;Charleston, Sc;Bremerhaven;Germany;2;18812
EXDO6560080552;27.03.23;Benteler Automotive Corp;Bmw Ag;Disc Brakes;Charleston, Sc;Bremerhaven;Germany;2;22753
EXDO6560080549;27.03.23;Benteler Automotive Corp;Bmw Ag;Disc Brakes;Charleston, Sc;Bremerhaven;Germany;2;23345
EGLV561370000255;25.03.23;Bmw Of Na Jacksonville;Bmw Ag;Bmw Service Bmw Service Bmw Service;Savannah, Ga;Bremerhaven;Germany;10.May;28897
EGLV561350000195;25.03.23;Bmw Of Na Jacksonville;Bmw Ag;Bmw Service Pallet;Savannah, Ga;Bremerhaven;Germany;01.May;4021
OOLU271422466105;25.03.23;Bmw Ag;Contitech Fluid Distribuidora S A;Hydraulic Lines Motor Vehiclesn Address;New Orleans, La;Veracruz;Mexico;01.May;30
OOLU271491292034;25.03.23;Bmw Ag Werk;Tb Sewtech De Mexico S De Rl De Cv;Automotive Seat Cover;New Orleans, La;Veracruz;Mexico;01.May;415
OOLU271491292005;25.03.23;Bmw Ag Werk;Carcoustics Industrial De Mexico S Circuito Balvanera;Heat Insulation Rear Silencer Right;New Orleans, La;Veracruz;Mexico;01.May;275
OOLU271491292016;25.03.23;Bmw Ag Werk;Sumida Components De Mexico S A;Antennas Electric Drive Automotive;New Orleans, La;Veracruz;Mexico;01.May;2300
OOLU271422466118;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;113
OOLU271422466120;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;187
OOLU271515343002;25.03.23;Bmw Ag;Autoneum Mexico Operations Sa De Cv;Under Hood Shield;New Orleans, La;Tampico;Mexico;01.May;807
OOLU271491292022;25.03.23;Bmw Ag Werk;Gisederlan S A De C V;Brake Disc Ventilated;New Orleans, La;Veracruz;Mexico;01.May;7004
OOLU271491292021;25.03.23;Bmw Ag Werk;Eaton Technologies S De Rl De Cv;Expansion Hose;New Orleans, La;Veracruz;Mexico;01.May;143
OOLU271491292032;25.03.23;Bmw Ag Werk;Hella Automotive Mexico Sa De Cv;Automotive Headlights;New Orleans, La;Veracruz;Mexico;01.May;1343
OOLU271491292026;25.03.23;Bmw Ag C/O Reichhart Logistik Gmbh;Iee Sensing Gdl Sa De Cv;Seat Belt Reminder Bmw;New Orleans, La;Veracruz;Mexico;01.May;125
OOLU271491292008;25.03.23;Bmw Ag Werk;Daimay Automotive Interiors;Sun Visors;New Orleans, La;Veracruz;Mexico;01.May;172
OOLU271491292004;25.03.23;Bmw Ag Werk;Gisederlan S A De C V;Brake Disc Ventilated;New Orleans, La;Veracruz;Mexico;01.May;3196
OOLU271491292011;25.03.23;Bmw Ag Werk;Kayser Automotive Systems S En C;Plastic Piepes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;458
OOLU271492216001;25.03.23;Bmw Ag Werk;Thyssenkrupp Presta De Mexico Sa De;Electromechanical Steering Column;New Orleans, La;Veracruz;Mexico;01.May;4195
OOLU271422466108;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;0.71;11
OOLU271422466122;25.03.23;Bmw Ag;Kayser Automotive Systems S En C Rio Papaloapan;Plastic Pipes Carbon Filter;New Orleans, La;Veracruz;Mexico;01.May;1817
OOLU271491292028;25.03.23;Bmw Ag Werk;Tb Sewtech De Mexico S De Rl De Cv;Automotive Seat Cover;New Orleans, La;Veracruz;Mexico;01.May;219
EGLV561360000261;25.03.23;Bmw Of Na Jacksonville;Bmw Ag;Bmw Service Bmw Service Bmw Service;Savannah, Ga;Bremerhaven;Germany;24;47860
