"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"OOLU271422466116","25/03/2023","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","New Orleans, La","Veracruz","Mexico","1.5","131"
"MEDUI6831719","24/03/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet","Miami, Fl","Gioia Tauro","Italy","1.5","4280"
"OOLU271346016004","07/03/2023","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","Houston, Tx","Veracruz","Mexico","1.5","1210"
"MEDUI6825943","20/02/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet","Miami, Fl","Sines","Portugal","1.5","4294"
"OOLU271335984019","18/02/2023","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","Houston, Tx","Veracruz","Mexico","1.5","1017"
"OOLU271295412010","09/02/2023","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","Houston, Tx","Veracruz","Mexico","1.5","1547"
"MEDUI6822122","27/01/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet","Miami, Fl","Sines","Turkey","1.5","4130"
"OOLU271175635005","13/01/2023","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","New Orleans, La","Veracruz","Mexico","1.5","728"
"MEDUI6815639","12/01/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector","Miami, Fl","Sines","Turkey","1.5","4105"
"MEDUI6808956","08/01/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Palet Palet","Miami, Fl","Sines","Turkey","1","1049"
"OOLU270943352011","13/12/2022","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","New Orleans, La","Veracruz","Mexico","1.5","823"
"MEDUI6802728","04/12/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet","Miami, Fl","Sines","Turkey","1","2860"
"OOLU270803759004","26/11/2022","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","New Orleans, La","Veracruz","Mexico","1.5","539"
"OOLU270803759003","26/11/2022","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","New Orleans, La","Veracruz","Mexico","1.5","74"
"MEDUI6796102","09/11/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connectorc Plastic Quick Connectorc","Miami, Fl","Sines","Turkey","1","1015"
"MEDUI6791129","24/10/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet","Miami, Fl","Sines","Turkey","1","2154"
"MEDUI6782938","11/10/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet","Boston, Ma","Sines","Turkey","1.5","3620"
"MEDUI6776039","15/09/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet","New York/Newark Area, Newark, Nj","Valencia","Turkey","1.5","3740"
"OOLU270100578010","21/07/2022","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","Houston, Tx","Veracruz","Mexico","1.5","486"
"OOLU270100578021","21/07/2022","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","Houston, Tx","Veracruz","Mexico","1.5","332"
"OOLU270100580014","21/07/2022","Bmw Ag","Akwel Orizaba Mexico Sa De Cv","Rubber Hose","Houston, Tx","Veracruz","Mexico","1.5","46"
"MEDUI6375485","24/06/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Palet Palet Palet Palet","Miami, Fl","Sines","Turkey","1","1316"
"MEDUTE945695","13/06/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Palet Plastic Quick Connector Plastic Quick Connector Pallet Pallet","Baltimore, Md","Sines","Turkey","2.5","8301"
