"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"ECUW545562","29/03/2023","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener Hose Clip Hbl Scac Ecuw","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","1089"
"MEDUI6835736","28/03/2023","Tristone Flowtech Mexico S De Rl","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet","Miami, Fl","Sines","Portugal","1.5","3229"
"MEDUI6831719","24/03/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet","Miami, Fl","Gioia Tauro","Italy","1.5","4280"
"ECUW545560","17/03/2023","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener Hose Clip Screw Pin Assy Protecting Cap","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","1425"
"MEDUI6825943","20/02/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet","Miami, Fl","Sines","Portugal","1.5","4294"
"ECUW550101","17/02/2023","A Raymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener Screw Pin Assy Scac Ecuw","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","1392"
"ECUW549968","14/02/2023","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener Hose Clip","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","557"
"MEDUI6824987","12/02/2023","Tristone Flowtech Mexico S De Rl","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet","Miami, Fl","Sines","Portugal","1","2240"
"ECUW549952","29/01/2023","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Protecting Cap Hbl Scac Ecuw","New York/Newark Area, Newark, Nj","Istanbul","Turkey","0.81","13"
"MEDUI6822122","27/01/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet","Miami, Fl","Sines","Turkey","1.5","4130"
"ECUW549962","20/01/2023","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener Hose Clip Screw Pin Assy Protecting Cap Hbl Scac Ecuw","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1.5","916"
"MEDUI6815639","12/01/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector","Miami, Fl","Sines","Turkey","1.5","4105"
"MEDUI6817015","12/01/2023","Tristone Flowtech Mexico S De Rl","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet","Miami, Fl","Sines","Turkey","1","1959"
"MEDUI6808956","08/01/2023","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Palet Palet","Miami, Fl","Sines","Turkey","1","1049"
"MEDUI6808543","08/01/2023","Tristone Flowtech Mexico S De Rl","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Alet Palet Palet","Miami, Fl","Sines","Turkey","1.5","3146"
"ECUW550048","07/01/2023","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Protecting Cap","New York/Newark Area, Newark, Nj","Istanbul","Turkey","0.8","13"
"ECUW542546","26/12/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener Hose Clip Screw Pin Assy","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","1072"
"ECUW542362","20/12/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener Protecting Caphs","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1.5","534"
"ECUW542352","11/12/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener Hose Clip Protecting Cap","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","1211"
"MEDUI6802728","04/12/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet","Miami, Fl","Sines","Turkey","1","2860"
"ECUW542539","10/11/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener Hose Clip Protecting Cap","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1.5","771"
"MEDUI6796102","09/11/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connectorc Plastic Quick Connectorc","Miami, Fl","Sines","Turkey","1","1015"
"ECUW542535","04/11/2022","A Raymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Moulding Panel Fastener Hose Clip","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","534"
"ECUW542455","26/10/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener Hose Clip Hbl Scac Ecuw","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","1304"
"MEDUI6788612","24/10/2022","Tristone Flowtech Mexico S De Rl","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet","Miami, Fl","Sines","Turkey","1","2118"
"MEDUI6791129","24/10/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet","Miami, Fl","Sines","Turkey","1","2154"
"ECUW526934","22/10/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener Ose Clip","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","565"
"ECUW526885","18/10/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener Hose Clip","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","576"
"MEDUI6782938","11/10/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet","Boston, Ma","Sines","Turkey","1.5","3620"
"ECUW526926","04/10/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","525"
"ECUW526888","18/09/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener Hose Clip","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","454"
"ECUW526960","18/09/2022","A Raymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Protecting Cap Body Molding Nut Rocker Moulding Panel Fastener","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","807"
"ECUW526889","18/09/2022","A Raymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","192"
"ECUW526925","18/09/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","525"
"MEDUI6779884","15/09/2022","Tristone Flowtech Mexico S De Rl","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet Pallet","New York/Newark Area, Newark, Nj","Valencia","Turkey","1","1967"
"MEDUI6776039","15/09/2022","Akwel Orizaba Mexico Sa De Cv","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector Pallet Pallet","New York/Newark Area, Newark, Nj","Valencia","Turkey","1.5","3740"
"ECUW526885","03/09/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Rocker Moulding Panel Fastener Hose Clip","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","576"
"ECUW526875","27/08/2022","A Raymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener","New York, Ny","Istanbul","Turkey","1","256"
"ECUW526875","27/08/2022","A Raymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener","New York, Ny","Istanbul","Turkey","1","256"
"ECUW526879","27/08/2022","A Raymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Ose Clip","New York, Ny","Istanbul","Turkey","1","46"
"ECUW526879","27/08/2022","A Raymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Ose Clip","New York, Ny","Istanbul","Turkey","1","46"
"ECUW526884","26/08/2022","Araymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener Hose Clip","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1.5","601"
"MEDUI6773150","23/08/2022","Tristone Flowtech Mexico S De Rl","A Raymond Baglanti Elemanlari San","Plastic Quick Connector Plastic Quick Connector","Baltimore, Md","Sines","Turkey","1.5","3398"
"ECUW526856","16/08/2022","A Raymond Manufacturing Ctr Na Inc","A Raymond Baglanti Elemanlari San","Body Molding Nut Rocker Moulding Panel Fastener Screw Pin Assy Stl","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","473"
