"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DMALFRAA14890","29/06/2021","Magna 3251 E Heartland","Adam Opel Ag Ipc","Automotive","New York, Ny","Bremerhaven","Germany","1.5","3709"
"DMALFRAA14890","29/06/2021","Magna 3251 E Heartland","Adam Opel Ag Ipc","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","3709"
"DMALFRAA14890","29/06/2021","Magna 3251 E Heartland","Adam Opel Ag Ipc","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","3709"
"DMALMEXA09397","15/10/2020","Adam Opel Ag Ipc","Industrias Martinrea De Mexico Sa D","Automotive","Houston, Tx","Veracruz","Mexico","1.5","997"
"DMALMEXA09130","08/10/2020","Adam Opel Ag Ipc","Continental Automotive Guadalajara","Automotive","Houston, Tx","Veracruz","Mexico","1","231"
"DMALMEXA09232","08/10/2020","Adam Opel Ag Ipc","Continental Automotive Guadalajara","Automotive","Houston, Tx","Veracruz","Mexico","1.5","109"
"DMALMEXA09129","08/10/2020","Adam Opel Ag Ipc","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","282"
"DMALMEXA09291","08/10/2020","Adam Opel Ag Ipc","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","348"
"DMALMEXA09050","08/10/2020","Adam Opel Ag Ipc","Industrias Martinrea De Mexico Sa D","Automotive","Houston, Tx","Veracruz","Mexico","1.5","75"
"DMALMEXA09132","08/10/2020","Adam Opel Ag Ipc","Inaumex Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","145"
"DMALMEXA08961","25/09/2020","Adam Opel Ag Ipc","Akwel Orizaba Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","133"
"DMALMEXA08907","25/09/2020","Adam Opel Ag Ipc","Industrias Martinrea De Mexico Sa D","Automotive","Houston, Tx","Veracruz","Mexico","1.5","47"
"DMALMEXA08893","25/09/2020","Adam Opel Ag Ipc","Industrias Martinrea De Mexico Sa D","Automotive","Houston, Tx","Veracruz","Mexico","1.5","798"
"DMALMEXA08906","25/09/2020","Adam Opel Ag Ipc","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","735"
"DMALMEXA08929","25/09/2020","Adam Opel Ag Ipc","Gates De Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","28"
"DMALMEXA08931","25/09/2020","Adam Opel Ag Ipc","Continental Automotive Guadalajara","Automotive","Houston, Tx","Veracruz","Mexico","1.5","354"
"DMALMEXA08926","25/09/2020","Adam Opel Ag Ipc","Continental Automotive Mexicana Sa","Automotive","Houston, Tx","Veracruz","Mexico","1.31","23"
"DMALMEXA08976","25/09/2020","Adam Opel Ag Ipc","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","311"
"DMALMEXA09021","25/09/2020","Adam Opel Ag Ipc","Gates De Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","43"
"DMALMEXA08910","25/09/2020","Adam Opel Ag Ipc","Gates De Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.31","23"
"DMALMEXA08964","25/09/2020","Adam Opel Ag Ipc","Akwel Orizaba Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","365"
"DMALMEXA09022","25/09/2020","Adam Opel Ag Ipc","Gates De Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","36"
"DMALMEXA08749","16/09/2020","Adam Opel Ag Ipc","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","594"
"DMALMEXA08750","16/09/2020","Adam Opel Ag Ipc","Continental Automotive Guadalajara","Automotive","Houston, Tx","Veracruz","Mexico","1","351"
"DMALMEXA08814","16/09/2020","Adam Opel Ag Ipc","Akwel Orizaba Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","283"
"DMALMEXA08751","16/09/2020","Adam Opel Ag Ipc","Akwel Orizaba Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","60"
"DMALMEXA08379","11/09/2020","Adam Opel Ag Ipc","Continental Automotive Guadalajara","Automotive","Houston, Tx","Veracruz","Mexico","1","313"
"DMALMEXA08412","11/09/2020","Adam Opel Ag Ipc","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","313"
"DMALMEXA08521","11/09/2020","Adam Opel Ag Ipc","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","550"
"DMALMEXA08633","11/09/2020","Adam Opel Ag Ipc","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","348"
"DMALMEXA08522","11/09/2020","Adam Opel Ag Ipc","Mahle De Mexico S De Rl De Cv","Autompotive","Houston, Tx","Veracruz","Mexico","1","271"
"DMALMEXA08380","11/09/2020","Adam Opel Ag Ipc","Akwel Orizaba Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","77"
"DMALMEXA08581","11/09/2020","Adam Opel Ag Ipc","Akwel Orizaba Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","49"
"DMALMEXA08513","11/09/2020","Adam Opel Ag Ipc","Industrias Martinrea De Mexico Sa D","Automotive","Houston, Tx","Veracruz","Mexico","1.5","209"
"DMALMEXA08381","11/09/2020","Adam Opel Ag Ipc","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","438"
"DMALMEXA08519","11/09/2020","Adam Opel Ag Ipc","Gates De Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","18"
"DMALMEXA08337","11/09/2020","Adam Opel Ag Ipc","Inaumex Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1","145"
"DMALMEXA08301","11/09/2020","Adam Opel Ag Ipc","Industrias Martinrea De Mexico Sa D","Automotive","Houston, Tx","Veracruz","Mexico","1.5","84"
"DMALMEXA08572","11/09/2020","Adam Opel Ag Ipc","Continental Automotive Guadalajara","Automotive","Houston, Tx","Veracruz","Mexico","1","408"
"DMALMEXA08605","11/09/2020","Adam Opel Ag Ipc","Inaumex Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","145"
