"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVF2003020111","30/03/2023","Opel Automobile Gmbh C/O Opel Group","Delphi Automotive Systems Llc","Components Industrial Assembly Motorvehicles","Houston, Tx","Veracruz","Mexico","1","144"
"WLWHFR2325317","25/03/2023","Auto Distributors New Zealand Limit","Opel Automobile Gmbh","Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa","Baltimore, Md","Le Havre","France","0","91768"
"WLWHES2322932","18/03/2023","Psa Chile S A","Opel Automobile Gmbh","Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Op","Galveston, Tx","Vigo","Spain","0","250435"
"WLWHFR2317602","21/02/2023","Auto Distributors New Zealand Limit","Opel Automobile Gmbh","Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Grandland Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Astra Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka","Baltimore, Md","Le Havre","France","0","62882"
"WLWHES2316015","06/02/2023","Psa Chile S A","Opel Automobile Gmbh","Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Corsa Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Crossland Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel","Brunswick, Ga","Vigo","Spain","0","233913"
"CMDUBRE0606536","19/01/2023","Michigan Crossdock","Opel Automobile Gmbh","Component Automotive Completion Motor Vehicles Original Equipment All Charges Ceva Logistics Harrison Suite Gmoceanimports Cevalogistics Romi United States","Norfolk, Va","Anvers","Belgium","1.5","5918"
"WLWHES2306129","12/01/2023","Psa Chile S A","Opel Automobile Gmbh","Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo Opel Combo","Brunswick, Ga","Vigo","Spain","0","170368"
"WLWHFR2306154","09/01/2023","Auto Distributors New Zealand Limit","Opel Automobile Gmbh","Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka Opel Mokka","Baltimore, Md","Le Havre","France","0","47850"
"CMDUBRE0609299","28/12/2022","Michigan Crossdock","Opel Automobile Gmbh","Component Automotive Completion Motor Vehicles Original Equipment All Charges Ceva Logistics Harrison Suite Gmoceanimports Cevalogistics Romi United States","Norfolk, Va","Anvers","Belgium","1.5","6853"
"CMDUBRE0605939","28/12/2022","Michigan Crossdock","Opel Automobile Gmbh","Component Automotive Completion Motor Vehicles Original Equipment All Charges Ceva Logistics Harrison Suite Gmoceanimports Cevalogistics Romi United States","Norfolk, Va","Anvers","Belgium","1.5","5270"
