"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"OOLU271515343002","25/03/2023","Bmw Ag","Autoneum Mexico Operations Sa De Cv","Under Hood Shield","New Orleans, La","Tampico","Mexico","1.5","807"
"OOLU271515343001","25/03/2023","Bmw Ag","Autoneum Mexico Operations Sa De Cv","Under Hood Shield","New Orleans, La","Tampico","Mexico","1.5","772"
"MAEU225247948","24/03/2023","Autoneum Mexico Operations Sa De Cv","Wellman International Limited","Sudu Bales Polyest Staple Fibre Carded Mbed Processed Spinning Wei Ght Mrku Bales Polyester Staple Fibre Carded Combed Pro Cessed Spinning","New York/Newark Area, Newark, Nj","Rotterdam","Ireland","4","39789.34"
"EGLV511300002155","21/03/2023","Autoneum Mexico Operations Sa De Cv","Wellman International Limited","Polyester Staple Fibre Polyester Staple Fibre Polyester Staple Fibre Cared Combed Processed Spinning Tax Amo","Charleston, Sc","Anvers","Ireland","4","39824"
"SEAU224767359","04/03/2023","General Motors De Argentina S R L","Autoneum Mexico Operations Sa De Cv","Automotive Mercaderi Transito Aduana Domicil Iaria General Motors Argen Tina Ncm","Houston, Tx","Veracruz","Mexico","1.5","2769.68"
"OOLU271359602001","27/02/2023","Bmw Ag Werk","Autoneum Mexico Operations Sa De Cv","Under Hood Shield Automotive Use","Houston, Tx","Tampico","Mexico","1.5","908"
"OOLU271359602002","27/02/2023","Bmw Ag Werk","Autoneum Mexico Operations Sa De Cv","Under Hood Shield Automotive Use","Houston, Tx","Tampico","Mexico","1.5","772"
"MAEU224711556","22/02/2023","Autoneum Mexico Operations Sa De Cv","Wellman International Limited","Mrsu Polyester Staple Fibre Carded Combed Rocessed Spinning Ight Tcnu Polyester Aple Fibre Carded Combed Processed Spinning","New York/Newark Area, Newark, Nj","Rotterdam","Ireland","4","39792.51"
"MAEU224020348","22/02/2023","Autoneum Mexico Operations Sa De Cv","Wellman International Limited","Mrku Polyester Staple Fibre Carded Combed Rocessed Spinning Trhu Polyeste Staple Fibre Carded Mbed Processed Spinning Weig","New York/Newark Area, Newark, Nj","Rotterdam","Ireland","4","39786.62"
"MAEU223875546","14/02/2023","Autoneum Mexico Operations Sa De Cv","Wellman Intl Ltd","Polyester Staple Fibre Car Ded Combed Processed Pinning","New York/Newark Area, Newark, Nj","Rotterdam","Ireland","8","79613.15"
