"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"MAEU224744203","30/03/2023","Borealis Compounds Inc","Borealis Ag","Pallet Polyethylene","Savannah, Ga","Bremerhaven","Sweden","4","36608.24"
"MAEU225456428","30/03/2023","Wirthwein New Bern Corp","Borealis Ag","Pallet Polypropylene Line Wirthwein","Norfolk, Va","Bremerhaven","Germany","2","19199.98"
"MAEU225101822","30/03/2023","Borealis Compounds Inc","Borealis Ag","Octabin Borlink Empt Octabin Polyethyle Each","Savannah, Ga","Bremerhaven","Sweden","6","56160.67"
"MAEU609382553","29/03/2023","Borealis Compounds Inc","Borealis Ag Trabrennstrasse","Borealis Borstar Abin Lld Polyethylene Port Engin Mega Cagata Mega Prepai Shipped Board Borealis Borstar Abin Lld Polyethylene","Charleston, Sc","Bremerhaven","Finland","10","96306.08"
"MAEU609425344","29/03/2023","Borealis Compounds Inc","Borealis Ag Trabrennstrasse","Polypropylen Engin Mega Gatay Mega Export Freigh Polypropylen","Charleston, Sc","Bremerhaven","Finland","6","54697.81"
"EGLV530300014087","28/03/2023","Nexeo Solutions Plastics Llc","Borealis Ag Trabrennstrasse","Polypropylene Pallet Bormed Polypropylene Nexeo Eta Import Etanj","Charleston, Sc","Bremerhaven","Germany","2","19200"
"IILU124243500","28/03/2023","Nexeo Plastics C/O","Borealis Ag Trabrennstrasse","Stc Bags Bormed Polypropyl Ene Nexeo Eta Import Etanj","Chester, Pa","Anvers","Belgium","1","11252.91"
"IILU124127300","28/03/2023","Centor Ppp","Borealis Ag Trabrennstrasse","Stc Bags Bormed Polypropyl Ene Centor Eta Import Etanj Shipped Board","Chester, Pa","Anvers","Belgium","2","19693.04"
"MAEU225214158","27/03/2023","Bayport Polymers Llc","Borealis Ag","Pallet Borsaf Borealis Polyethylene Each Line","Houston, Tx","Bremerhaven","Sweden","8","78849.29"
"HLCUANR230118820","27/03/2023","Borealis Compounds Inc","Borealis Ag","Borealis Borstar Octabin Lld Polyethylene","Charleston, Sc","Stadersand","Finland","10","96305"
"MAEU609410817","27/03/2023","Qtm Inc","Borealis Ag Trabrennstrasse","Stc Bags Bormed Polypropylene Telephone Freigh Shipped Boar","Houston, Tx","Anvers","Belgium","2","19693.04"
"EGLV530300004112","27/03/2023","Borealis Compounds Inc","Borealis Ag Trabrennstrasse","Ethylene Vinyl Acetate Copolymer Octabin Ethylene Vinyl Acetate Copolymer Shipped Board Eta Import Etanj","New York/Newark Area, Newark, Nj","Anvers","Belgium","2","19062"
"EGLV530300012459","27/03/2023","Nexeo Plastics C/O","Borealis Ag Trabrennstrasse","Bormed Octabin Polypropylene Octabin Bormed Octabin Polypropylene Bags Bormed Polypropylene Nexeo Eta Import Etanj","New York/Newark Area, Newark, Nj","Anvers","Belgium","2","19820"
"EGLV530300014486","27/03/2023","Nexeo Plastics C/O","Borealis Ag Trabrennstrasse","Polyethylene Pallet Bormed Polyethylene Nexeo Eta Import Etanj","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","2","19712"
"MAEU224724348","27/03/2023","Plastic Express Control Plt","Borealis Ag Trabrennstrasse","Bormed Octabin Polyp Ropylene Nex Telephone Eta Import Etanj","Houston, Tx","Anvers","Belgium","1","10400.14"
"MEDUB0934274","27/03/2023","Draexlmaier Automotive Of America L","Borealis Ag","Propylene Copolymer","Charleston, Sc","Anvers","Austria","1","10240"
"MEDUB0933011","27/03/2023","Draexlmaier Automotive Of America L","Borealis Ag","Pallet Propylene Copolymer","Charleston, Sc","Anvers","Austria","1","10240"
"EGLV530300008052","27/03/2023","Nexeo Plastics C/O","Borealis Ag Trabrennstrasse","Polypropylene Bormed Octabin Polypropylene Nexeo Eta Import Etanj","New York/Newark Area, Newark, Nj","Anvers","Belgium","2","19760"
"EGLV530300006033","27/03/2023","Plastic Express","Borealis Ag Trabrennstrasse","Visico Octabin Polyethylene Octabin Visico Octabin Polyethylene Eta Import Etanj","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","2","19006"
"EGLV530300011886","27/03/2023","Borealis Compounds Inc","Borealis Ag Trabrennstrasse","Ethylene Vinyl Acetate Copolymer Octabin Ethylene Vinyl Acetate Copolymer Shipped Board Eta Import Etanj","New York/Newark Area, Newark, Nj","Anvers","Belgium","2","19062"
"HLCUANR230118937","27/03/2023","Borealis Compounds Inc","Borealis Ag","Borealis Borstar Octabin Lld Polyethylene","Charleston, Sc","Stadersand","Finland","10","96305"
"EGLV530300011444","27/03/2023","Borealis Compounds Inc","Borealis Ag Trabrennstrasse","Octabin Polymers Ethylene Octabin Polymers Ethylene Shipped Board Eta Import Etanj Octabin Polymers Ethylene","New York/Newark Area, Newark, Nj","Anvers","Belgium","4","37548"
"OOLU2713262880","25/03/2023","Unis Warehouse","Borealis Ag","Polyethylene","Savannah, Ga","Rotterdam","Netherlands","10","93600"
"IILU123421600","24/03/2023","Sarstedt Inc","Borealis Ag Trabrennstrasse","Bormed Bulk Propylene Copolymer Rec Line Sarstedt","Wilmington, Nc","Anvers","Belgium","1","15515.84"
"MEDUAW026986","24/03/2023","Plastic Express Resales","Borealis Ag","Visico Octabin Ethylene Alpha Olefins Copolymer Telephone Eta Import Etanj","New York/Newark Area, Newark, Nj","Anvers","Belgium","2","19062"
"MAEU225423535","24/03/2023","Plastic Express","Borealis Ag","Octabin Octabin Polyethylene","New York/Newark Area, Newark, Nj","Bremerhaven","Sweden","2","20289.98"
"MEDUB0932948","24/03/2023","Plastic Express Resales","Borealis Ag","Octabin Visico Octabin Polyethylene","New York/Newark Area, Newark, Nj","Bremerhaven","Austria","2","19006"
"IILU123365900","24/03/2023","Borealis Compounds Inc","Borealis Ag Trabrennstrasse","Octabin Borealis Borstar Octabinhd Polyethylene","Wilmington, Nc","Anvers","Belgium","2","19448.1"
"MAEU225424176","24/03/2023","Plastic Express","Borealis Ag","Octabin Octabin Polyethylene","New York/Newark Area, Newark, Nj","Bremerhaven","Sweden","2","20289.98"
"MEDUB0938820","22/03/2023","M Holland","Borealis Ag","Polymers Ethylene Primary Formsi Primary Octabin Borealis Visico Octabin Polyethylene","Boston, Ma","Bremerhaven","Austria","2","19006"
"MEDUB0938838","22/03/2023","All Can Distribution","Borealis Ag","Polymers Ethylene Primary Formsi Primary Octabin Borealis Visico Octabin Polyethylene Holland","Boston, Ma","Bremerhaven","Austria","2","19278"
"OOLU2712707530","21/03/2023","Borealis Compounds Inc","Borealis Ag","Borealis Borstar Octabin Lld Polyethy Lene","Charleston, Sc","Rotterdam","Finland","10","96305"
"HLCUANR230221614","21/03/2023","Borealis Compounds Inc","Borealis Ag Trabrennstrasse","Polypropylene Octabin Polypropylene","Norfolk, Va","Anvers","Belgium","2","18720"
"MAEU224689592","21/03/2023","Plastic Express","Borealis Ag","Octabin Borealis Visico Octabin Polyethyle","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","2","19006.29"
"MAEU224994831","18/03/2023","Mann Hummel 260 Resourced","Borealis Ag","Octabin Octabin Propylene Copolymer Mann Hummel","Charleston, Sc","Bremerhaven","Germany","2","18720.07"
"MEDUB0938887","18/03/2023","Plastic Express Resales","Borealis Ag","Pallet Borealis Polypropylene","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","4","38400"
"IILU123258000","17/03/2023","Sarstedt Inc","Borealis Ag Trabrennstrasse","Bormed Bulk Propylene Copolymer Rec Line Sarstedt","Wilmington, Nc","Anvers","Belgium","1","16578.17"
