"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DMALPRGA15770","29/03/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","8524"
"DMALPRGA15779","29/03/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","5792"
"DMALPRGA15667","29/03/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6175"
"DMALPRGA15784","29/03/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6523"
"DMALPRGA15778","29/03/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","9359"
"DSVFPRG0153541","24/03/2023","Lego Operaciones De Mexico Sa De C","Greiner Assistec S R O","Lego","Charleston, Sc","Bremerhaven","Germany","1.5","4281"
"DMALPRGA15659","02/03/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","7927"
"DMALPRGA15665","02/03/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6217"
"DMALPRGA15663","02/03/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6105"
"AOAEA1ATM440233","28/02/2023","Autoneum Mexico Operation S A","Greiner Assistec S R O","Autmfa Grid Lhd Autmfp Grid Rhd Autg Footrest","Charleston, Sc","Bremerhaven","Germany","1.5","1408"
"CHSL422246401PRG","26/02/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Commodity","New York/Newark Area, Newark, Nj","Stadersand","Czech Republic","4.5","20285"
"DMALPRGA15157","24/02/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Xerox Photocopier Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","8884"
"DMALPRGA15157","24/02/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Xerox Photocopier Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","8884"
"DMALPRGA15156","24/02/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","5711"
"DMALPRGA15156","24/02/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","5711"
"DMALPRGA15663","08/02/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6105"
"DMALPRGA15665","08/02/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6217"
"DMALPRGA15158","08/02/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6953"
"DMALPRGA15659","08/02/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","7927"
"DMALPRGA15158","28/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6953"
"DMALPRGA15155","18/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6875"
"DMALPRGA15154","18/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","5525"
"DMALPRGA15153","18/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","8214"
"DMALPRGA15153","18/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","8214"
"DMALPRGA15152","18/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","5525"
"DMALPRGA15155","18/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6875"
"DMALPRGA15152","18/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","5525"
"DMALPRGA15154","18/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","5525"
"CHSL415972713PRG","14/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier Commodity","New York/Newark Area, Newark, Nj","Stadersand","Czech Republic","6","24555"
"DMALPRGA15151","11/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","5525"
"DMALPRGA15150","11/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6656"
"DMALPRGA15131","04/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","7952"
"DMALPRGA15148","04/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6172"
"DMALPRGA15149","04/01/2023","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","7057"
"DMALPRGA15149","28/12/2022","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","7057"
"DMALPRGA15131","28/12/2022","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","7952"
"DMALPRGA15148","28/12/2022","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6172"
"DMALPRGA15133","17/12/2022","Xerox Corp","Greiner Assistec S R O","Xerox Photocopier","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","7744"
