"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"ONEYHAMCB4167A01","22/11/2022","Ks International Inc","Nowotex Gmbh & Co","Packed Painter Drop Cloth","Charleston, Sc","Stadersand","Germany","1.5","11532"
"ONEYHAMC99557A01","12/10/2022","Ks International Inc","Nowotex Gmbh & Co","Packed Painter Drop Cloth","Charleston, Sc","Stadersand","Germany","1.5","11290"
"ONEYHAMC84912A01","21/09/2022","Ks International Inc","Nowotex Gmbh & Co","Packed Painter Drop Cloth","Charleston, Sc","Stadersand","Germany","1.5","11392"
"NAQAMATM2255828V","21/07/2022","Autoneum Mexico Operations Sa De Cv","Nowotex Gmbh & Co","Needleloom Felt","Miami, Fl","Bremerhaven","Germany","1.5","670"
"ONEYHAMC43452A01","15/06/2022","Ks International Inc","Nowotex Gmbh & Co","Packed Painter Drop Cloth","Charleston, Sc","Stadersand","Germany","3","23889"
"BWLES16105203363","30/12/2021","Ks International Inc","Nowotex Gmbh & Co","Loaded Technical Texti Leshs Ams Bwles","Charleston, Sc","Bremerhaven","Germany","1.5","13502"
"BWLES16105213912","30/12/2021","Ks International Inc","Nowotex Gmbh & Co","Loaded Technical Texti Leshs Ams Bwles","Charleston, Sc","Bremerhaven","Germany","1.5","11627"
"ONEYHAMBB6629A01","14/10/2021","Ks International Inc","Nowotex Gmbh & Co","Painter Drop Cloth","Charleston, Sc","Stadersand","Germany","1.5","12401"
"BWLES16104783904","02/07/2021","Ks International Inc","Nowotex Gmbh & Co","Technical Textiles","Charleston, Sc","Bremerhaven","Germany","1.5","11391"
"BWLES16104630358","27/05/2021","Ks International Inc","Nowotex Gmbh & Co","Technical Textiles","Charleston, Sc","Bremerhaven","Germany","1.5","11067"
"BWLES16004338394","08/12/2020","Ks International Inc","Nowotex Gmbh & Co","Technical Textiles","Charleston, Sc","Bremerhaven","Germany","1.5","11988"
"BWLES16004249697","13/10/2020","Ks International Inc","Nowotex Gmbh & Co","Technical Textiles","Charleston, Sc","Bremerhaven","Germany","1.5","12475"
"BWLES16004112622","15/08/2020","Ks International Inc","Nowotex Gmbh & Co","Technical Textiles","Charleston, Sc","Bremerhaven","Germany","1.5","11961"
"BWLES16003941612","20/05/2020","Ks International Inc","Nowotex Gmbh & Co","Technical Textiles","Charleston, Sc","Bremerhaven","Germany","1.5","12046"
"EGLV560000002939","17/02/2020","Ks International Inc","Nowotex Gmbh & Co","Painters Drop Cloth Packed Painter Drop Cloth","Charleston, Sc","Bremerhaven","Germany","1.5","12618"
"OOLU262940061001","12/11/2019","Ks International Inc","Nowotex Gmbh & Co","Painter Drop Cloth","Charleston, Sc","Bremerhaven","Germany","1.5","12104"
"OOLU262427825001","01/08/2019","Ks International Inc","Nowotex Gmbh & Co","Painter Drop Cloths","Charleston, Sc","Bremerhaven","Germany","1.5","13343"
"OOLU262119912001","11/06/2019","Ks International Inc","Nowotex Gmbh & Co","Painter Drop Cloths","Charleston, Sc","Bremerhaven","Germany","1.5","12325"
"OOLU261668876001","19/02/2019","Ks International Inc","Nowotex Gmbh & Co","Painter Drop Cloth","Charleston, Sc","Bremerhaven","Germany","1.5","12566"
"OOLU261668876001","19/02/2019","Ks International Inc","Nowotex Gmbh & Co","Painter Drop Cloth","Charleston, Sc","Bremerhaven","Germany","1.5","12566"
