"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"BWLELEH306248288","18/02/2023","Autoneum North America Bloomsburg","Ripoche Za Godeau","Auto Spare Partshs","Charleston, Sc","Bremerhaven","Germany","1.5","960"
"BWLELEH306232612","14/02/2023","Autoneum North America Inc","Ripoche Za Godeau","Auto Sparts","Charleston, Sc","Le Havre","France","1.5","1920"
"BWLELEH206145488","13/01/2023","Autoneum North America Bloomsburg","Ripoche Za Godeau","Auto Spare","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLELEH206145364","10/01/2023","Autoneum North America Inc","Ripoche Za Godeau","Auto Spare","Charleston, Sc","Le Havre","France","1.5","1920"
"BWLELEH206070647","20/12/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive Spare","New York/Newark Area, Newark, Nj","Anvers","Belgium","1.5","960"
"BWLELEH206061998","10/12/2022","Autoneum North America Inc","Ripoche Industries","Auto Spare","Charleston, Sc","Le Havre","France","1.5","1920"
"BWLELEH206015362","14/11/2022","Autoneum North America Inc","Ripoche Industries","Automotive","Charleston, Sc","Le Havre","France","1.5","1920"
"BWLELEH205964309","13/11/2022","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Slac","Charleston, Sc","Le Havre","France","1.5","3000"
"BWLELEH205964309","13/11/2022","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Slac","Charleston, Sc","Le Havre","France","1.5","3000"
"BWLELEH205964309","13/11/2022","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Slac","Charleston, Sc","Le Havre","France","1.5","3000"
"BWLELEH205983615","09/11/2022","Autoneum North America Bloomsburg","Ripoche Za Godeau","Auto Spare","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLELEH205927898","12/10/2022","Autoneum North America Inc","Ripoche Industries","Automotive Spare","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLELEH205927898","12/10/2022","Autoneum North America Inc","Ripoche Industries","Automotive Spare","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLELEH205822438","21/09/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive Spare","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLELEH205788094","30/08/2022","Autoneum North America Inc","Ripoche Industries","Automotive","Charleston, Sc","Le Havre","France","1.5","3360"
"BWLELEH205788094","30/08/2022","Autoneum North America Inc","Ripoche Industries","Automotive","Charleston, Sc","Le Havre","France","1.5","3360"
"BWLELEH205755640","25/08/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive","Charleston, Sc","Le Havre","France","4.5","10080"
"BWLELEH205755640","25/08/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive","Charleston, Sc","Le Havre","France","4.5","10080"
"SHPT90342719","24/08/2022","Autoneum Mexico Operations Sa De Cv","Ripoche","Automotive","Charleston, Sc","Le Havre","France","1.5","630"
"BWLELEH205741556","05/08/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive Spare","New York/Newark Area, Newark, Nj","Anvers","Belgium","1","960"
"BWLELEH205615867","06/07/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive Raw Abs Steel","Charleston, Sc","Le Havre","France","3","6720"
"BWLELEH205677065","05/06/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive Spare","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLELEH205677065","05/06/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive Spare","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR205546415","22/05/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR205540533","12/05/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw","Charleston, Sc","Anvers","Belgium","1","1920"
"BWLEPAR205542800","28/04/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR205542800","28/04/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR205540471","28/04/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR205540471","28/04/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR205485473","27/04/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw Abs","Charleston, Sc","Anvers","Belgium","1","960"
"BWLEPAR205446899","26/04/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","France","3","5760"
"BWLEPAR205446899","26/04/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","France","3","5760"
"BWLEPAR205425576","30/03/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR205425576","30/03/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR205393961","12/03/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR205344911","16/02/2022","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR205344911","16/02/2022","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105309606","21/01/2022","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","3840"
"BWLEPAR105309606","21/01/2022","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","3840"
"BWLEPAR105271192","18/01/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLELEH205602355","18/01/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive Spare","New York/Newark Area, Newark, Nj","Anvers","Belgium","1","960"
"BWLELEH205602355","18/01/2022","Autoneum North America Inc","Ripoche Za Godeau","Automotive Spare","New York/Newark Area, Newark, Nj","Anvers","Belgium","1","960"
"BWLEPAR105271192","18/01/2022","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR105237155","18/01/2022","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105259487","31/12/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105259487","31/12/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105219622","26/12/2021","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR105219622","26/12/2021","Autoneum North America Bloomsburg","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR105174928","29/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105174928","29/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105167054","29/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105167054","29/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105159957","18/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR105159957","18/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR105149513","18/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","0","1920"
"BWLEPAR105159957","18/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","960"
"BWLEPAR105126606","11/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105127771","11/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105111938","07/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1","800"
"BWLEPAR105094382","07/11/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","0","1920"
"BWLEPAR105072116","26/10/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR105056641","14/10/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","0","960"
"BWLEPAR105054312","14/10/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","1.5","1920"
"BWLEPAR104950591","09/09/2021","Autoneum North America Inc","Ripoche Industries","Automotive Raw Abs Steel","Charleston, Sc","Anvers","Belgium","0","960"
"BWLEPAR104892555","30/08/2021","Autoneum North America Inc","Ripoche Industries","Loaded Loaded","Charleston, Sc","Anvers","France","3","5760"
"BWLEPAR104892555","30/08/2021","Autoneum North America Inc","Ripoche Industries","Loaded Loaded","Charleston, Sc","Anvers","France","3","5760"
