"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"HLCUDUB230200150","25/03/2023","Autoneum North America Inc","Wellman International Limited","Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning","New York/Newark Area, Newark, Nj","Rotterdam","Ireland","6","59155"
"HLCUDUB230202652","25/03/2023","Autoneum North America Inc","Wellman International Limited","Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning","New York/Newark Area, Newark, Nj","Rotterdam","Ireland","6","58856"
"MAEU225034034","24/03/2023","Autoneum Mexico Operations Sa De","Wellman International Limited","Mrsu Polyester Staple Fibre Carded Combed Ocessed Spinning Ight Tcku Polye Ster Staple Fibre Carded Ombed Processed Spinnin Der","New York/Newark Area, Newark, Nj","Rotterdam","Ireland","4","39846.49"
"HLCUDUB230200266","24/03/2023","Sandler Nonwoven Corp","Wellman International Limited","Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning","Savannah, Ga","Anvers","Ireland","8","78846"
"MAEU225247948","24/03/2023","Autoneum Mexico Operations Sa De Cv","Wellman International Limited","Sudu Bales Polyest Staple Fibre Carded Mbed Processed Spinning Wei Ght Mrku Bales Polyester Staple Fibre Carded Combed Pro Cessed Spinning","New York/Newark Area, Newark, Nj","Rotterdam","Ireland","4","39789.34"
"EGLV511300002155","21/03/2023","Autoneum Mexico Operations Sa De Cv","Wellman International Limited","Polyester Staple Fibre Polyester Staple Fibre Polyester Staple Fibre Cared Combed Processed Spinning Tax Amo","Charleston, Sc","Anvers","Ireland","4","39824"
"ACLUSA00907463","12/03/2023","Autoneum North America Inc","Wellman International Limited","Bales Polyester Staple Fibre Carded Combed Processed Spinning Said","Baltimore, Md","Liverpool","Ireland","2","19620"
"ACLUSA00907457","12/03/2023","Autoneum North America Inc","Wellman International Limited","Bales Polyester Staple Fibre Carded Combed Processed Spinning Said","Baltimore, Md","Liverpool","Ireland","2","19620"
"HLCUDUB221207080","24/02/2023","Sandler Nonwoven Corp","Wellman International Limited","Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning Polyester Staple Fibre Carded Combed Processed Spinning","Savannah, Ga","Anvers","Ireland","8","78686"
"HLCUDUB230107278","22/02/2023","Autoneum North America Inc","Wellman International Limited","Polyester Staple Fibre Carded Combed Procesed Spinning Ordder","New York/Newark Area, Newark, Nj","Rotterdam","Ireland","2","19571"
