"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVF0303020402","29/03/2023","General Motors De Argentina S R L","Dy Auto Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","0","682"
"DSVF0303020464","29/03/2023","General Motors De Argentina S R L","Gates De Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","0","294"
"DSVF0303020665","29/03/2023","General Motors De Argentina S R L","Elring Klinger Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","0","402"
"DSVF0303020728","29/03/2023","General Motors De Argentina S R L","Zf Occupant Safety Systems De La La","Automotive","Houston, Tx","Veracruz","Mexico","0","347"
"DSVF0303020676","29/03/2023","General Motors De Argentina S R L","Hutchinson Autopartes Mexico Sa De","Automotive","Houston, Tx","Veracruz","Mexico","0","304"
"DSVF0303020662","29/03/2023","General Motors De Argentina S R L","Transnav Sa De Cv D 812510634","Automotive","Houston, Tx","Veracruz","Mexico","0","861"
"DSVF0303020666","29/03/2023","General Motors De Argentina S R L","Stant Manufactura De Mexico S A","Automotive","Houston, Tx","Veracruz","Mexico","0","684"
"DSVF0303020664","29/03/2023","General Motors De Argentina S R L","Visscher Caravelle Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","0","1248"
"DSVF0303020729","29/03/2023","General Motors De Argentina S R L","General Motors De Argentina S R L","Automotive","Houston, Tx","Veracruz","Mexico","0","880"
"DSVF0303020675","29/03/2023","General Motors De Argentina S R L","Grupo Abc De Mexico Av Norte","Automotive","Houston, Tx","Veracruz","Mexico","0","334"
"DSVF0303020677","29/03/2023","General Motors De Argentina S R L","Iee Sensing Gdl Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","0","125"
"NAQABUE137929V","28/03/2023","General Motors De Argentina S R L","Janesville De Mexico S A De C V","Parte Para Carroceria Insulador","Houston, Tx","Veracruz","Mexico","1","3912"
"SEAU225951975","26/03/2023","General Motors De Argentina S R L","Janesville De Mexico","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti","Houston, Tx","Tampico","Mexico","1.5","2562.84"
"SEAU225657821","26/03/2023","General Motors De Argentina S R L","Henniges Automotive Mexico S A","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti Ncm","Houston, Tx","Tampico","Mexico","1","1927.8"
"SEAU225370988","26/03/2023","General Motors De Argentina S R L","Name General Motors De Mexico S R L","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti Ncm","Houston, Tx","Veracruz","Mexico","2","19336.06"
"SEAU225553122","26/03/2023","General Motors De Argentina S R L","Delphi Automotive","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti Ncm","Houston, Tx","Tampico","Mexico","1.5","4229.37"
"SEAU225912235","26/03/2023","General Motors De Argentina S R L","Janesville De Mexico","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti","Houston, Tx","Tampico","Mexico","1.5","2562.84"
"SEAU225952132","26/03/2023","General Motors De Argentina S R L","Janesville De Mexico","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti","Houston, Tx","Tampico","Mexico","1.5","2562.84"
"SEAU225770628","26/03/2023","General Motors De Argentina S R L","Henniges Automotive Mexico S A","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti Ncm","Houston, Tx","Tampico","Mexico","1.5","3871.93"
"SEAU225805158","26/03/2023","General Motors De Argentina S R L","Henniges Automotive Mexico S A","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti","Houston, Tx","Tampico","Mexico","1","1554.94"
"SEAU225441855","26/03/2023","General Motors De Argentina S R L","Trw Occupant R De Chihuahua","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti Ncm","Houston, Tx","Tampico","Mexico","1","7998.33"
"SEAU225770729","26/03/2023","General Motors De Argentina S R L","Plastic Omnium Auto Industrial S","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti Ncm","Houston, Tx","Tampico","Lao","1","479.91"
"SEAU225952075","26/03/2023","General Motors De Argentina S R L","Janesville De Mexico","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti","Houston, Tx","Tampico","Mexico","1.5","2548.78"
"SEAU225551344","26/03/2023","General Motors De Argentina S R L","Janesville De Mexico","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti","Houston, Tx","Tampico","Mexico","1.5","2562.84"
"DSVF0303020614","24/03/2023","General Motors De Argentina S R L","Zkw Mexico Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","901"
"DSVF0303020670","24/03/2023","General Motors De Argentina S R L","Mahle De Mexico S De Rl De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","213"
"DSVF0303010406","14/03/2023","General Motors De Argentina S R L","Delphi Automotive Systems Llc","Automotive","Houston, Tx","Veracruz","Mexico","1.5","880"
"SEAU225327090","14/03/2023","General Motors De Argentina S R L","Brose Mexico S A De C V","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti Ncm","Houston, Tx","Veracruz","Mexico","1","2413.61"
"DSVF0303010425","14/03/2023","General Motors De Argentina S R L","Stabilus Sa De Cv","Automotive","Houston, Tx","Veracruz","Mexico","1.5","224"
"DSVF0303020467","14/03/2023","General Motors De Argentina S R L","Hutchinson Autopartes Mexico Sa De","Automotive","Houston, Tx","Veracruz","Mexico","0","152"
