"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVF0133030038","30/03/2023","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","3603"
"PUSJPBCLIVN00035","15/03/2023","Vitesco Technologies Italy S R L","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Veracruz","Mexico","1","5064"
"OOLU271422466007","10/03/2023","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","Houston, Tx","Veracruz","Mexico","1.5","1538"
"OOLU271422466008","10/03/2023","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","Houston, Tx","Veracruz","Mexico","1.5","1040"
"DSVF0133020121","08/03/2023","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive Automotive Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","683"
"DSVF0133020042","07/03/2023","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","51"
"OOLU271346016009","07/03/2023","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","Houston, Tx","Veracruz","Mexico","1.5","2496"
"OOLU271346016001","07/03/2023","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","Houston, Tx","Veracruz","Mexico","1.5","2267"
"PUSJPBCPLZN00019","06/03/2023","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Side Rail Cortado Side Rail Cardboard","Jacksonville, Fl","Veracruz","Mexico","4","51308"
"EXDO6440046175","26/02/2023","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"PUSJPBCLIVN00020","26/02/2023","Vitesco Technologies Italy S R L","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Veracruz","Mexico","1","4557"
"DSVF0133010179","22/02/2023","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","49"
"DSVF0133010088","17/02/2023","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","585"
"PUSJPBCLIVN00004","13/02/2023","Vitesco Technologies Italy S R L","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Veracruz","Mexico","3","10128"
"PUSJPBCLIVN00018","13/02/2023","Vitesco Technologies Italy S R L","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Veracruz","Mexico","1.5","5064"
"OOLU271295412011","09/02/2023","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","Houston, Tx","Veracruz","Mexico","1.5","3589"
"OOLU271295412012","09/02/2023","Puebla","Benteler De Mexico S A De C V","Rear Axle Forge","Houston, Tx","Veracruz","Mexico","1.5","1854"
"PUSJPBCLIVN00012","08/02/2023","Vitesco Technologies Italy S R L","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Veracruz","Mexico","1.5","5064"
"DSVF0133010046","28/01/2023","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","3000"
"PUSJPBCLIVM00148","24/01/2023","Vitesco Technologies Italy S R L","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Veracruz","Mexico","1","5064"
"PUSJPBCLIVM00147","24/01/2023","Vitesco Technologies Italy S R L","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Veracruz","Mexico","3","15192"
"EXDO6440046158","22/01/2023","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"EXDO6440046158","22/01/2023","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"PUSJPBCPLZM00135","13/01/2023","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Side Rail Cortado Side Rail Cardboard Side Rail Cortado Side Rail Cardboard Travesano Trasero Frontal Superio Inferior Delantero","Jacksonville, Fl","Veracruz","Mexico","3","40049"
"OOLU271175635022","13/01/2023","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","New Orleans, La","Veracruz","Mexico","1.5","3493"
"EXDO6440046058","11/01/2023","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"EXDO6440046057","11/01/2023","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1.5","7334"
"DSVF0132120057","10/01/2023","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","44"
"PUSJPBCPLZM00142","10/01/2023","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Side Rail Cortado Side Rail Cardboard","Mobile, Al","Veracruz","Mexico","3","34344"
"DSVF0132110099","30/12/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","6254"
"OOLU271110633003","29/12/2022","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","New Orleans, La","Veracruz","Mexico","1.5","1580"
"PUSJPBCLIVM00140","28/12/2022","Vitesco Technologies Italy S R L","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Tampico","Mexico","1","5064"
"PUSJPBCPLZM00116","26/12/2022","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Side Rail Cortado Side Rail Cardboard Side Rail Cortado Side Rail Cardboard Travesano Frontal Parte Superi Travesano Frontal Parte Inferi","Jacksonville, Fl","Veracruz","Mexico","2","28152"
"DSVF0132120002","21/12/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","3000"
"EXDO6440045972","14/12/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"PUSJPBCLIVM00125","14/12/2022","Vitesco Technologies Italy S R L","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Veracruz","Mexico","1","5064"
"OOLU270943340018","13/12/2022","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","New Orleans, La","Veracruz","Mexico","1.5","2455"
"OOLU270943352002","13/12/2022","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","New Orleans, La","Veracruz","Mexico","1.5","1549"
"PUSJPBCPLZM00115","12/12/2022","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Cardboard Front Crossbar Bottom Top Rear Crossbar Side Rail Cut Side Rail Cardboard Side Rail Cut Cardboard","Jacksonville, Fl","Veracruz","Mexico","2","28503"
"PUSJPBCPLZM00119","08/12/2022","Vitesco Technologies Italy","Benteler De Mexico S A De C V","High Pressure Fuel Rail Ford Bat Cardboard Bat Wooden Pallet","Houston, Tx","Tampico","Mexico","1","5064"
"OOLU270803759009","26/11/2022","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","New Orleans, La","Veracruz","Mexico","1.5","285"
"OOLU270803759002","26/11/2022","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","New Orleans, La","Veracruz","Mexico","1.5","1343"
"CMDUHBGA0335213","21/11/2022","Benteler De Mexico S A De C V","Benteler Mechanical","Tcnu Projekt Welding Fixture End Delivery Fixtures Commercial List Projekt Welding Fixture","Charleston, Sc","Bremerhaven","Germany","1.5","5082"
"PUSJPBCPLZM00106","21/11/2022","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Cardboard Front Crossbar Bottom Top Rear Crossbar Side Rail Cardboard Side Rail","Jacksonville, Fl","Veracruz","Mexico","2","20664"
"EXDO6440045871","18/11/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1.5","7300"
"EXDO6440045871","18/11/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1.5","7300"
"EXDO6440045871","18/11/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1.5","7300"
"DSVF0132100128","17/11/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","440"
"DSVF0132100168","17/11/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","40"
"EXDO6440045654","09/11/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"DSVF0132100080","09/11/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","3046"
"EXDO6440045654","09/11/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"DSVF0132100080","09/11/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","3046"
"EXDO6440045654","09/11/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"EXDO6440045655","26/10/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1.5","7334"
"EXDO6440045655","26/10/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1.5","7334"
"DSVF0132100007","23/10/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","208"
"DSVF0132100007","23/10/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","208"
"EXDO6440045548","17/10/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","3664"
"EXDO6440045548","17/10/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","3664"
"DSVF0132090034","12/10/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","63"
"DSVF0132090086","12/10/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","1555"
"DSVF0132080134","21/09/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","36"
"EXDO6440044950","09/09/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Juice","Houston, Tx","Veracruz","Mexico","1","7334"
"PUSJPBCPLZM00082","09/09/2022","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Side Rail Cardboard","Jacksonville, Fl","Veracruz","Mexico","2","29764"
"EXDO6440045066","09/09/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","New Orleans, La","Veracruz","Mexico","1","7334"
"EXDO6440045066","25/08/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","New Orleans, La","Veracruz","Mexico","1","7334"
"EXDO6440044950","25/08/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Juice","New Orleans, La","Veracruz","Mexico","1","7334"
"EXDO6440045066","25/08/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","New Orleans, La","Veracruz","Mexico","1","7334"
"OOLU270298050015","20/08/2022","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","Houston, Tx","Veracruz","Mexico","1.5","751"
"PUSJFRAVERM00964","27/07/2022","Benteler De Mexico S A De C V","Inline3D Gmbh","Machine","Charleston, Sc","Bremerhaven","Germany","0","3750"
"PUSJFRAVERM00964","27/07/2022","Benteler De Mexico S A De C V","Inline3D Gmbh","Machine","Charleston, Sc","Bremerhaven","Germany","0","3750"
"OOLU270100578008","21/07/2022","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","Houston, Tx","Veracruz","Mexico","1.5","4153"
"OOLU270100580021","21/07/2022","Bmw Ag","Benteler De Mexico S A De C V","Rear Axle Forge","Houston, Tx","Veracruz","Mexico","1.5","3141"
"PUSJPBCPLZM00069","20/07/2022","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Side Rail Cortado Hidroform Side Rail Cut Side Rail Cortado Hidroform Side Rail Cut Side Rail Cut Side Rail Cortado Hidroform Side Rail Cut Side Rail Cortado Hidroform Travesano Trasero Parte Delant Travesano Trasero Parte Traser Travesano Frontal Parte Inferi Travesano Frontal Parte Superi","New Orleans, La","Veracruz","Mexico","5","65750"
"PUSJPBCPLZM00065","13/07/2022","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Side Rail Cortado Side Rail Travesano Frontal Side Rail","Jacksonville, Fl","Veracruz","Mexico","3","32329"
"EXDO6440044855","27/06/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"EXDO6440044855","27/06/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"EXDO6440044854","27/06/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"PUSJPBCPLZM00059","27/06/2022","Benteler South Africa Pty Ltd","Benteler De Mexico S A De C V","Side Rail Side Rail Side Rail Travesano Frontal Par Side Rail","Jacksonville, Fl","Veracruz","Mexico","5","67080"
"EXDO6440044854","27/06/2022","Benteler Componentes Automotivos Lt","Benteler De Mexico S A De C V","Car","Houston, Tx","Veracruz","Mexico","1","7334"
"DSVF0132050176","24/06/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive Automotive","Houston, Tx","Veracruz","Mexico","1","41"
"DSVF0132050121","24/06/2022","Ford Werke Gmbh","Benteler De Mexico S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.5","1274"
