"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"HLCUME3NC44518AI","30/03/2023","Ats Hellmann Worldwide Logistics Ag","Hellmann Worldwide Logistics S A","Kits Tray Bsd","Houston, Tx","Veracruz","Mexico","1","530"
"MAEU225357632","28/03/2023","Hellmann Worldwide Logistics S A","Hellmann Worldwide Logistics S A","Drum Tank Boiler","Miami, Fl","Algeciras","Spain","3","15999.38"
"MEDUIQ578086","28/03/2023","Hellmann Worldwide Logistics Sa De","Basell Sales & Marketing Company","Polymers Propylene Other Olefins Inprim Loaded Onto Loaded Into Hostalen Kgshs","Miami, Fl","Gioia Tauro","Italy","2","21108"
"MEDUIQ587632","28/03/2023","Hellmann Worldwide Logistics Sa De","Basell Sales & Marketing Company","Polymers Propylene Other Olefins Inprim Loaded Onto Loaded Into Hostalen Kgshs","Miami, Fl","Gioia Tauro","Italy","2","21108"
"MEDUIQ561488","28/03/2023","Hellmann Worldwide Logistics Sa De","Basell Sales & Marketing Company","Polymers Propylene Other Olefins Inprim Loaded Onto Loaded Into Hostalen Kgshs","Miami, Fl","Gioia Tauro","Italy","2","21108"
"OOLU271482714009","25/03/2023","Hellmann Worldwide Logistics Gmbh","Hellmann Worldwide Logistics S A","Sensor Sub Asm Retainer","New Orleans, La","Tampico","Mexico","1","525"
"OOLU271482714010","25/03/2023","Ffwd Hellmann Worldwide Logistics S","Hellmann Worldwide Logistics Hellm","Tape Feeder Type Trolley Feeders","New Orleans, La","Tampico","Mexico","1","2517"
"OOLU271546537003","25/03/2023","Hellmann Worldwide Logistics S P A","Hellmann Worldwide Logistics S A D","Panel Assy Center Integration","New Orleans, La","Tampico","Mexico","1","2000"
"OOLU271546537002","25/03/2023","Hellmann Worldwide Logistics S P A","Hellmann Worldwide Logistics S A D","Panel Assy Center Integration","New Orleans, La","Tampico","Mexico","1","997"
"MEDUIQ437911","24/03/2023","Hellmann Worldwide Logistics Sa De","Basell Sales & Marketing Company","Polymers Propylene Other Olefins Inprim Loaded Onto Loaded Into Hostalen","Miami, Fl","Gioia Tauro","Italy","2","21108"
"MFUSBL23103161","24/03/2023","Hellmann Worldwide Logistics B V","Hellmann Worldwide Logitics Pl","Adhesive Dressings Other Articles Having Adhesive Layer Packed Retail Medical Surgical Dental Veterinary Purposes","Savannah, Ga","Melbourne","Australia","1","2418"
"MAEU225369598","24/03/2023","Hellmann Worldwide Logistics S A","Hellmann Worldwide Logistics S A","Textil Fabrics","New York/Newark Area, Newark, Nj","Algeciras","Spain","2","19238.08"
"MAEU224947515","17/03/2023","Hellmann Worldwide Logistics S A C","Hellmann Worldwide Logistics S A","Textil Fabrics","New York/Newark Area, Newark, Nj","Algeciras","Spain","1.5","10909.99"
"HLCUME3NC02477AF","16/03/2023","Ats Hellmann Worldwide Logistics Ag","Hellmann Worldwide Logistics S A","Kits Tray Hybox Kits Tray Bsd","Houston, Tx","Veracruz","Mexico","1","530"
"HLCUME3NC09644AE","15/03/2023","Hellmann Worldwide Logistics S P A","Hellmann Worldwide Logistics S A","Door Assembly Foamed Door Assembly Door Assembly Door Freezer Drawer Foam","Houston, Tx","Veracruz","Mexico","1","496"
"HLCUME3NB45808AE","08/03/2023","Ats Hellmann Worldwide Logistics Ag","Hellmann Worldwide Logistics S A","Tray Hybox Kits Tray Bsd","Houston, Tx","Veracruz","Mexico","1","530"
"MEDUIQ375921","08/03/2023","Hellmann Worldwide Logistics Sa De","Basell Sales & Marketing Company","Polymers Propylene Other Olefins Inprim Loaded Onto Loaded Into Hostalen","Miami, Fl","Gioia Tauro","Italy","2","21108"
"MEDUIQ380756","08/03/2023","Hellmann Worldwide Logistics Sa De","Basell Sales & Marketing Company","Polymers Propylene Other Olefins Inprim Loaded Onto Loaded Into Hostalen Days Free Time Destination","Miami, Fl","Gioia Tauro","Italy","2","21108"
"HLCUME3NB45808AF","08/03/2023","Ats Hellmann Worldwide Logistics Ag","Hellmann Worldwide Logistics S A","Tray Hybox Kits Tray Bsd","Houston, Tx","Veracruz","Mexico","1","530"
"MAEU224482502","08/03/2023","Hellmann Worldwide Logistics S A","Acceler Global Logistics Limited","Girls Cotton Polyest Elastane Denim Pants Girls Cotton Polyester Rayon Elastane Denim Pants Girls Cotton Polyes Ter Elastane Denim Fashion Pants","Miami, Fl","Algeciras","Kenya","1.5","7049.85"
"ECUWVERGDY11148","07/03/2023","Hellmann Worldwide Logistics Polska","Hellmann Worldwide Logistics Sa De","Stc","Houston, Tx","Veracruz","Mexico","1","380"
"HLCUME3NB62656AA","07/03/2023","Hellmann Worldwide Logistics S P A","Hellmann Worldwide Logistics S A","Horn Panel Assy Center Integration","Houston, Tx","Tampico","Mexico","1","1863"
"HLCUME3NB62656AC","07/03/2023","Hellmann Worldwide Logistics S P A","Hellmann Worldwide Logistics S A","Horn Panel Assy Center Integration","Houston, Tx","Tampico","Mexico","1","748"
"OOLU271452450006","07/03/2023","Alfa Sp Logistika D O O","Hellmann Worldwide Logistics S A D","Air Spring Systems","Houston, Tx","Tampico","Mexico","1","277"
"HLCUME3NB62053AG","07/03/2023","Hellmann Worldwide Logistics S P A","Hellmann Worldwide Logistics S A","Panel Assy Center Integration Said Panel Assy Center Integration","Houston, Tx","Tampico","Mexico","1.5","997"
"HLCUME3NB62053AC","07/03/2023","Hellmann Worldwide Logistics S P A","Hellmann Worldwide Logistics S A","Panel Assy Center Integration Said Panel Assy Center Integration","Houston, Tx","Tampico","Mexico","1.5","1863"
"OOLU271401608003","27/02/2023","Hellmann Worldwide Logistics S P A","Hellmann Worldwide Logistics S A D","Panel Assy Center Integration","Houston, Tx","Tampico","Mexico","1.5","997"
"OOLU271401608006","27/02/2023","Hellmann Worldwide Logistics S P A","Hellmann Worldwide Logistics S A D","Panel Assy Center Integration","Houston, Tx","Tampico","Mexico","1.5","1863"
