"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVF0203021703","30/03/2023","Gm Detroit Odc","Mubea Fahrwerksfedern Gmbh","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","2675"
"CUOL7109MX311202","28/03/2023","Mubea De Mexico S De Rl De Cv","Mubea Fahrwerksfedern Gmbh Wachstaedter","Axit Transport","Charleston, Sc","Rotterdam","Netherlands","1.5","20698"
"MEDUD8141464","24/03/2023","Sese Industrial Services Us Corp","Mubea Fahrwerksfedern Gmbh","Auto","Charleston, Sc","Sines","Spain","1.5","2065"
"DSVF0203021179","15/03/2023","Gm Detroit Odc","Mubea Fahrwerksfedern Gmbh","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","5350"
"DSVF0203020854","15/03/2023","Gm Detroit Odc","Mubea Fahrwerksfedern Gmbh","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","3567"
"DSVF0203020369","06/03/2023","Gm Detroit Odc","Mubea Fahrwerksfedern Gmbh","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","3567"
"MEDUD8123900","04/03/2023","Sese Industrial Services Us Corp","Mubea Fahrwerksfedern Gmbh","Auto Mubea","Charleston, Sc","Sines","Spain","1.5","5999"
"DSVF0203011784","27/02/2023","Gm Detroit Odc","Mubea Fahrwerksfedern Gmbh D 332731","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","7134"
"DSVF0203011619","18/02/2023","Gm Detroit Odc","Mubea Fahrwerksfedern Gmbh","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","4459"
"DSVF0203010410","04/02/2023","Gm Detroit Odc","Mubea Fahrwerksfedern Gmbh","Automotive","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1783"
