"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"PUSJDUSVERM02332","12/08/2022","Contitech Fluid Distribuidora Sa De","Contitech Techno Chemie Gmbh","Automotive File Stackable","Miami, Fl","Bremerhaven","Germany","1","1360"
"PUSJDUSVERM02332","21/07/2022","Contitech Fluid Distribuidora Sa De","Contitech Techno Chemie Gmbh","Automotive File Stackable","Miami, Fl","Bremerhaven","Germany","1","1360"
"PUSJDUSVERM02331","14/06/2022","Contitech Fluid Distribuidora Sa De","Contitech Techno Chemie Gmbh","Automotive File Stackable","Charleston, Sc","Bremerhaven","Germany","1.5","3740"
"HLCUME3MC54743AA","07/04/2022","Contitech Fluid Serbia D O O Pib Sr","Contitech Fluid Distribuidora Sa De Cv","Oven Partes Horno","Houston, Tx","Veracruz","Mexico","6","12850"
"PUSJDUSVERM00193","05/03/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable","Charleston, Sc","Bremerhaven","Germany","1","7433"
"PUSJDUSVERM00185","05/03/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable Cms Self Delivery Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Selbstanlieferung Automotive File Stackable Automotive File Stackable Cms Automotive File Stackable Automotive File Stackable Cms Automotive File Stackable Automotive File Stackable","Charleston, Sc","Bremerhaven","Germany","1.5","3075"
"PUSJDUSVERM00192","05/03/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Self Delivery Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Selbstanlieferung Automotive File Stackable Automotive File Stackable Cms Automotive File Stackable Cms Automotive File Stackable Automotive File Stackable Cms","Charleston, Sc","Bremerhaven","Germany","1","10798"
"PUSJDUSVERM00191","05/03/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable Automotive File Stackable Times Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable","Charleston, Sc","Bremerhaven","Germany","1.62","1831"
"PUSJDUSVERM00068","21/02/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable","Charleston, Sc","Bremerhaven","Germany","1.5","7368"
"PUSJDUSVERM00070","21/02/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Cms Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Cms Cms Automotive File Stackable Cms Automotive File Stackable Cms Automotive File Stackable Cms Cms Automotive File Stackable Cms","Charleston, Sc","Bremerhaven","Germany","1.5","9771"
"PUSJDUSVERL06932","21/02/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable","Charleston, Sc","Bremerhaven","Germany","1.5","7471"
"PUSJDUSVERL06933","21/02/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable Automotive File Stackable Cms Cms Self Delivery Automotive File Stackable Automotive File Stackable Selbstanlieferung Automotive File Stackable Self Delivery Automotive File Stackable Cms Automotive File Stackable Cms Self Delivery Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Self Delivery Automotive File Stackable Cms Automotive File Stackable Cms Automotive File Stackable Cms Automotive File Stackable Cms Automotive File Stackable Cms Cms","Charleston, Sc","Bremerhaven","Germany","1.5","7350"
"PUSJDUSVERM00074","21/02/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable Cms Automotive File Stackable Cms Selbstanlieferung Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Times Automotive File Stackable Times Automotive File Stackable Times Automotive File Stackable Cms Automotive File Stackable Cms Automotive File Stackable Cms Self Delivery Automotive File Stackable Automotive File Stackable Cms Automotive File Stackable Cms Automotive File Stackable Cms","Charleston, Sc","Bremerhaven","Germany","1.5","13906"
"PUSJDUSVERL06768","23/01/2022","Contitech Fluid Distribuidora Sa De","Hellmann Worldwide Logistics","Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Automotive File Stackable Cms Automotive File Stackable Self Delivery Automotive File Stackable Automotive File Stackable Selbstanlieferung Automotive File Stackable Selbstanlieferung","Charleston, Sc","Bremerhaven","Germany","1.5","10590"
