"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"OOLU271335984008","18/02/2023","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","Houston, Tx","Veracruz","Mexico","1.5","429"
"OOLU271295412009","09/02/2023","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","Houston, Tx","Veracruz","Mexico","1.5","436"
"OOLU270943352001","13/12/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","New Orleans, La","Veracruz","Mexico","1.5","441"
"OOLU270803759005","26/11/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","New Orleans, La","Veracruz","Mexico","1.5","266"
"OOLU270803759017","26/11/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","New Orleans, La","Veracruz","Mexico","1.5","446"
"OOLU270773374003","26/11/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","New Orleans, La","Veracruz","Mexico","1.5","322"
"OOLU270298050005","20/08/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","Houston, Tx","Veracruz","Mexico","1.5","50"
"OOLU270298050007","20/08/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","Houston, Tx","Veracruz","Mexico","1.5","1350"
"OOLU270100580009","21/07/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","Houston, Tx","Veracruz","Mexico","1.5","474"
"OOLU270100580018","21/07/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Cover Trunk","Houston, Tx","Veracruz","Mexico","1.5","677"
"OOLU270100578033","21/07/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","Houston, Tx","Veracruz","Mexico","1.5","270"
"OOLU270100578034","21/07/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","Houston, Tx","Veracruz","Mexico","1.5","247"
"OOLU270100580004","21/07/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Car Trunk Cover","Houston, Tx","Veracruz","Mexico","1.5","452"
"OOLU269758781013","30/05/2022","Bmw Ag","Bos Automotive Products Irapuato S San Lorenzo","Cover Trunk","Houston, Tx","Veracruz","Mexico","1.5","189"
