"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVF0133030078","30/03/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","1.5","37"
"OOLU271422466105","25/03/2023","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehiclesn Address","New Orleans, La","Veracruz","Mexico","1.5","30"
"DSVF0133020155","16/03/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","1","21"
"DSVF0133020123","08/03/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","1.5","36"
"DSVF0133020018","07/03/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","1.41","25"
"OOLU271394771031","07/03/2023","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Expansion Hose","Houston, Tx","Veracruz","Mexico","1.5","89"
"DSVF0133020068","07/03/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","1.5","39"
"DSVF0133010180","22/02/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","0.71","11"
"OOLU271324927105","18/02/2023","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Leitung","Houston, Tx","Veracruz","Mexico","1.5","192"
"DSVF0133010144","17/02/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","0.91","15"
"OOLU271295412003","09/02/2023","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehiclesn Address","Houston, Tx","Veracruz","Mexico","1.5","368"
"DSVF0133010090","05/02/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","1.5","38"
"DSVF0132120052","28/01/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","1.5","35"
"DSVF0133010011","28/01/2023","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","1.5","31"
"OOLU271208046013","26/01/2023","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Line Automotive Air Conditioning","New Orleans, La","Veracruz","Mexico","1.5","114"
"OOLU271175637004","26/01/2023","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Refrigerant Line Dual Line","New Orleans, La","Veracruz","Mexico","1.5","175"
"DSVF0132120022","30/12/2022","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","0.81","13"
"DSVF0132110136","30/12/2022","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","0.66","10"
"DSVF0132110083","30/12/2022","Ford Werke Gmbh","Contitech Fluid Distribuidora S A","Automotive","Houston, Tx","Veracruz","Mexico","1.47","26"
"OOLU271110415006","29/12/2022","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Line Automotive Air Conditioning","New Orleans, La","Veracruz","Mexico","1.36","24"
"OOLU270998582027","18/12/2022","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehiclesn Address","New Orleans, La","Veracruz","Mexico","1.5","74"
"OOLU270773374004","26/11/2022","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","New Orleans, La","Veracruz","Mexico","1.5","100"
"OOLU270334663005","20/08/2022","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Hose Line","Houston, Tx","Veracruz","Mexico","1.5","215"
"OOLU270100580006","21/07/2022","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","134"
"OOLU270100578029","21/07/2022","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","73"
"OOLU269808409004","30/05/2022","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Expansion Hose","Houston, Tx","Veracruz","Mexico","1.5","181"
"OOLU269255425009","22/04/2022","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","63"
"OOLU269255378010","22/04/2022","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles","Houston, Tx","Veracruz","Mexico","1.5","152"
"OOLU269142338013","30/03/2022","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Lines Air Conditioning","Houston, Tx","Veracruz","Mexico","1.5","27"
"OOLU269142339006","30/03/2022","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","68"
"OOLU268680606008","16/01/2022","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Expansion Hose","Houston, Tx","Veracruz","Mexico","1.5","201"
"OOLU268388979012","04/12/2021","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","156"
"OOLU267707096012","06/09/2021","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","161"
"MEDULC328043","20/08/2021","Contitech Fluid Distribuidora S A","Crippa Spa Via M Buonarroti","Machine Tools Including Presses Workingmeta Tube Bending Machine Mod Clever Fixed Complete Accessories Serialnumber Cleverfx","Miami, Fl","La Spezia","Italy","1.5","2336"
"BANQGDL0536695","10/06/2021","Vitesco Technologies Gmbh","Contitech Fluid Distribuidora S A","Stc Plastic Sensors Sensores Plastico Hscode","Houston, Tx","Veracruz","Mexico","1","224"
"BANQGDL0536695","10/06/2021","Vitesco Technologies Gmbh","Contitech Fluid Distribuidora S A","Stc Plastic Sensors Sensores Plastico","Houston, Tx","Veracruz","Mexico","1","224"
"OOLU266328428007","29/03/2021","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","580"
"OOLU266328428007","29/03/2021","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","580"
"POLNPRGVERL00068","08/03/2021","Contitech Fluid Distribuidora S A","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced Only Textiles Without Fittings","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1473"
"POLNPRGVERL00075","08/03/2021","Contitech Fluid Distribuidora S A","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced Only Textiles Without Fittings","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1206"
"POLNPRGVERL00047","15/02/2021","Contitech Fluid Distribuidora S A","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced Only Textiles Without Fittings","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1516"
"POLNPRGVERL00047","15/02/2021","Contitech Fluid Distribuidora S A","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced Only Textiles Without Fittings","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1516"
"OOLU265660538003","01/01/2021","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Automotoparts","Houston, Tx","Veracruz","Mexico","1.5","144"
"OOLU265487262003","19/12/2020","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","93"
"OOLU265446552003","13/12/2020","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","292"
"OOLU265290093005","27/11/2020","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","103"
"OOLU265232784006","24/11/2020","Bmw Ag Werk","Contitech Fluid Distribuidora S A","Autoparts","Houston, Tx","Veracruz","Mexico","1.5","153"
"CMDUMXO0496663","30/09/2020","Bmw Ag","Contitech Fluid Distribuidora S A De C V","Cmau Autoparts Automotive Generic","Houston, Tx","Veracruz","Mexico","1.5","357"
"OOLU262979373006","08/12/2019","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","199"
"OOLU262899304007","25/10/2019","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","56"
"OOLU262842455009","11/10/2019","Bmw Ag","Contitech Fluid Distribuidora S A","Hydraulic Lines Motor Vehicles Address","Houston, Tx","Veracruz","Mexico","1.5","148"
"OOLU262428740001","19/07/2019","Bmw Ag","Contitech Fluid Distribuidora S A","Automotive Partes Lines Hydraulic Direction Vehicles","Houston, Tx","Veracruz","Mexico","1.5","219"
"OOLU262394192008","12/07/2019","Bmw Ag","Contitech Fluid Distribuidora S A","Subensive Air Conditioning Automotive Use","Houston, Tx","Veracruz","Mexico","1","42"
