"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"PUSJPRGNYCN00125","25/03/2023","Contitech Usa Inc","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","4085"
"PUSJPRGNYCN00065","22/02/2023","Contitech Usa Inc","Contitech Fluid Automotive Cz S R O","Rubber Hose Reinforced","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","6652"
"PUSJPRGNYCM00502","28/12/2022","Contitech Usa Inc","Contitech Fluid Automotive Cz S R O","Rubber Hose Reinforced","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","1128"
"PUSJPRGNYCM00502","28/12/2022","Contitech Usa Inc","Contitech Fluid Automotive Cz S R O","Rubber Hose Reinforced","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","1128"
"PUSJPRGNYCM00447","24/11/2022","Contitech Usa Inc","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","5718"
"PUSJPRGNYCM00416","06/11/2022","Contitech Usa Inc","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","1730"
"PUSJPRGNYCM00416","06/11/2022","Contitech Usa Inc","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","1730"
"DSVF1802060007","12/07/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive","Miami, Fl","Bremerhaven","Germany","1.5","3907"
"DSVF1802050031","12/07/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive","Miami, Fl","Bremerhaven","Germany","1.5","4373"
"DSVF1802050031","25/06/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","4373"
"DSVF1802050018","25/06/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","6000"
"DSVF1802050018","25/06/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","6000"
"DSVF1802060007","25/06/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","3907"
"PUSJPRGNYCM00173","21/05/2022","Contitech Usa Inc","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","9544"
"PUSJPRGNYCM00173","21/05/2022","Contitech Usa Inc","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","9544"
"DSVF1802030018","14/04/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","1717"
"DSVF1802020030","14/04/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","3398"
"DSVF1802020018","14/04/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","3376"
"DSVF1802030004","14/04/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","3403"
"DSVF1802020041","14/04/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","3360"
"DSVF1802030036","14/04/2022","Voss Automotive Mexico S De Rl De C","Contitech Fluid Automotive Cz S R O","Automotive Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","1816"
"DSVF1802010045","09/03/2022","Voss Automotive Inc","Contitech Fluid Automotive Cz S R O","Automotive Automotive","Charleston, Sc","Bremerhaven","Germany","1.5","6822"
"POLNPRGVERL00068","08/03/2021","Contitech Fluid Distribuidora S A","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced Only Textiles Without Fittings","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1473"
"POLNPRGVERL00075","08/03/2021","Contitech Fluid Distribuidora S A","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced Only Textiles Without Fittings","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1206"
"POLNPRGVERL00047","15/02/2021","Contitech Fluid Distribuidora S A","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced Only Textiles Without Fittings","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1516"
"POLNPRGVERL00047","15/02/2021","Contitech Fluid Distribuidora S A","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced Only Textiles Without Fittings","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","1516"
"POLNPRGVERJ00011","16/02/2019","Contitech Fluid Distribuidora S A","Contitech Fluid Automotive Cz S R","Rubber Hose Reinforced Only Textiles Without Fittings","Charleston, Sc","Bremerhaven","Germany","1","834"
"POLNPRGORFJ00002","27/01/2019","Contitech Usa Inc","Contitech Fluid Automotive Cz S R","Rubber Hoses Reinforced Only Textiles Without Fittings","Norfolk, Va","Bremerhaven","Germany","1","5302"
"POLNPRGORFJ00002","27/01/2019","Contitech Usa Inc","Contitech Fluid Automotive Cz S R","Rubber Hoses Reinforced Only Textiles Without Fittings","Norfolk, Va","Bremerhaven","Germany","1","5302"
