"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"OOLU271346016002","07/03/2023","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","446"
"OOLU271335984023","18/02/2023","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","319"
"OOLU271335984032","18/02/2023","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","1667"
"LJITRT2203407","28/01/2023","Fagor Ederlan Mexico S A De C V","Rs International Gmbh","Primary Foundry Aluminium Alloy Bar Brand Rusal Additional Marking Three Yellow Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","130811"
"LJITRT2203408","28/01/2023","Fagor Ederlan Mexico S A De C V","Rs International Gmbh","Primary Foundry Aluminium Alloy Bar Brand Rusal Additional Marking Three Yellow Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","129202"
"OOLU271110633005","29/12/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","New Orleans, La","Veracruz","Mexico","1.5","655"
"OOLU270943352010","13/12/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","New Orleans, La","Veracruz","Mexico","1.5","1529"
"HCGMRT2202749","21/11/2022","Fagor Ederlan Mexico S A De C V","Rti Limited","Primary Foundry Aluminium Alloy Bar","New Orleans, La","St. Petersburg","Russia","0","20134"
"SJOMRT2202531","02/11/2022","Fagor Ederlan Mexico S A De C V","Rti Limited","Primary Foundry Aluminium Alloy Bar Brand Boaz Additional Marking Three Orange Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","131493"
"LJITRT2202022","11/08/2022","Fagor Ederlan Mexico S A De C V","Rti Limited","Primary Foundry Aluminium Alloy Bar Brand Boaz Additional Marking Three Green Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","150838"
"OOLU270100580022","21/07/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","1804"
"OOLU270100580011","21/07/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","153"
"OOLU269758781001","30/05/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","1091"
"OOLU269758781006","30/05/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","1902"
"OOLU269255425001","22/04/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","752"
"OOLU269255423002","22/04/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","1657"
"OOLU269255423007","22/04/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","764"
"OOLU269255378001","22/04/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","1052"
"OOLU268680602001","16/01/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","1429"
"OOLU268612554005","07/01/2022","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","1528"
"OOLU268570704005","05/01/2022","Bmw Ag Werk","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","173"
"OFCWLEDVER622817","22/12/2021","Fagor Ederlan Mexico S A De C V","Rti Limited","Primary Foundry Aluminum Alloy Modified Bar","New Orleans, La","St. Petersburg","Russia","0","195000"
"OFCWLEDVER622816","22/12/2021","Fagor Ederlan Mexico S A De C V","Rti Limited","Primary Foundry Aluminum Alloy Modified Bar","New Orleans, La","St. Petersburg","Russia","0","50000"
"OOLU268491655009","09/12/2021","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","296"
"OOLU268544499011","09/12/2021","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","1555"
"OOLU268388979008","04/12/2021","Bmw Ag","Fagor Ederlan Mexico S A De C V","Suspension System","Houston, Tx","Veracruz","Mexico","1.5","2361"
