"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"LJITRT2203410","28/01/2023","Alklad Sa De Cv","Rs International Gmbh","Primary Aluminium Wire Rod Grade Size Brand Rusal Additional Marking White Letter","New Orleans, La","St. Petersburg","Russia","0","39158"
"LJITRT2203412","28/01/2023","Casa Homs Mexico Ave","Rs International Gmbh","Primary Homogenised Aluminium Billet Sized Brand Rusal Additional Marking Green Dot","New Orleans, La","St. Petersburg","Russia","0","448580"
"LJITRT2203405","28/01/2023","To The Order Of Perennial Group Inc","Rs International Gmbh","Primary Foundry Aluminium Alloy Bars Brand Rusal Producer Marking Yellow Cross Additional Marking Two Blue Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","66853"
"LJITRT2203407","28/01/2023","Fagor Ederlan Mexico S A De C V","Rs International Gmbh","Primary Foundry Aluminium Alloy Bar Brand Rusal Additional Marking Three Yellow Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","130811"
"LJITRT2203408","28/01/2023","Fagor Ederlan Mexico S A De C V","Rs International Gmbh","Primary Foundry Aluminium Alloy Bar Brand Rusal Additional Marking Three Yellow Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","129202"
"LJITRT2203409","28/01/2023","Auma Saltillo S A De C V","Rs International Gmbh","Primary Foundry Aluminium Alloy Alsi Mgmn Ingots Brand Rusal Producer Marking Purple Vertical Stripe Additional Marking Three Green Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","58549"
"LJITRT2203406","28/01/2023","To The Order Of Perennial Group Inc","Rs International Gmbh","Primary Foundry Aluminium Alloy Bars Brand Rusal Producer Marking Yellow Cross Additional Marking Blue Vertical Line","New Orleans, La","St. Petersburg","Russia","0","796508"
"LJITRT2203411","28/01/2023","Casa Homs Mexico Ave","Rs International Gmbh","Primary Homogenised Aluminium Billet Sized Brand Rusal Additional Marking Two Green Dots","New Orleans, La","St. Petersburg","Russia","0","212526"
"LJITRT2202009","11/08/2022","Almexaaluminio S A De C V","Rs International Gmbh","Aluminium Low Purity Ingots Brand Rusal Producer Marking Black Vertical Stripes Additional Marking Yellow Horizontal Line","New Orleans, La","St. Petersburg","Russia","0","463592"
"LJITRT2202008","11/08/2022","Almexaaluminio S A De C V","Rs International Gmbh","Aluminium Low Purity Ingots Brand Rusal Producer Marking Black Vertical Stripes Additional Marking Brown Horizontal Line","New Orleans, La","St. Petersburg","Russia","0","524010"
"LJITRT2202006","11/08/2022","Almexaaluminio S A De C V","Rs International Gmbh","Aluminium Low Purity Bars Brand Rusalb Producer Marking Black Stripes Additional Marking Three Orange Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","66228"
