"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"LJITRT2203387A","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Aluminium Sheet Ingot Slab Rolling Grade Slabs Sized Brand Rusal Producer Marking Kraz Xxxx Mmmmm Additional Marking Green Letter","New Orleans, La","St. Petersburg","Russia","0","11948"
"LJITRT2203393","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Homogenised Aluminium Billet Lfesized Brand Rusal Additional Marking Two Blue Dots","New Orleans, La","St. Petersburg","Russia","0","313164"
"LJITRT2203398","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Aluminium Sow Smelter Taz Additional Marking Two Green Horizontal Lines","New Orleans, La","St. Petersburg","Russia","0","65197"
"LJITRT2203404","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Foundry Aluminium Alloy Ingotsbrand Rusal Additional Marking Orange Vertical Line","New Orleans, La","St. Petersburg","Russia","0","360055"
"LJITRT2203413","28/01/2023","Condulimex Sa De Cv","Rti Limited","Primary Aluminium Wire Rod Grade Size Brand Kaz Sual Additional Marking White Letter","New Orleans, La","St. Petersburg","Russia","0","59169"
"LJITRT2203388","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Homogenised Aluminium Billet Stdsized Brand Rusal Additional Marking Black Dot","New Orleans, La","St. Petersburg","Russia","0","111795"
"LJITRT2203394","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Homogenised Aluminium Billet Std Sized Brand Rusal Additional Marking Two Black Dots","New Orleans, La","St. Petersburg","Russia","0","103680"
"LJITRT2203397","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Foundry Aluminium Alloy Ingotsbrand Rusal Producer Marking Blue Vertical Strip Additional Marking Two Green Vertical Lines","New Orleans, La","St. Petersburg","Russia","0","117378"
"LJITRT2203427","28/01/2023","Casa Homs Mexico Ave","Rti Limited","Primary Homogenised Aluminium Billet Lfesized Brand Rusal Additional Marking Two Orange Dots","New Orleans, La","St. Petersburg","Russia","0","651617"
"LJITRT2203422","28/01/2023","Toyota Tsusho Mexico S A De C V","Rti Limited","Primary Foundry Aluminium Alloy Ingotsbrand Rusal Additional Marking Two Orange Horizontal Lines","New Orleans, La","St. Petersburg","Russia","0","195435"
"LJITRT2203416","28/01/2023","Ronal Queretaro Sa De Cv","Rti Limited","Primary Foundry Aluminium Alloy Bar Brand Rusal Producer Marking Yellow Vertical Strip","New Orleans, La","St. Petersburg","Russia","0","501013"
"LJITRT2203418","28/01/2023","Toyota Tsusho Mexico S A De C V","Rti Limited","Primary Foundry Aluminium Alloy Ingotsbrand Rusal Additional Marking Green Vertical Line","New Orleans, La","St. Petersburg","Russia","0","194727"
"LJITRT2203419","28/01/2023","Toyota Tsusho Mexico S A De C V","Rti Limited","Primary Foundry Aluminium Alloy Barsbrand Rusal Producer Marking Yellow Vertical Stripadditional Marking Blue Horizontal Line","New Orleans, La","St. Petersburg","Russia","0","398081"
"LJITRT2203382","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Homogenised Aluminium Billet Sized Brand Rusal Additional Marking Orange Letter","New Orleans, La","St. Petersburg","Russia","0","45876"
"LJITRT2203383","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Foundry Aluminium Alloy Bars Brand Rusal Producer Marking Yellow Cross Additional Marking Black Horizontal Line","New Orleans, La","St. Petersburg","Russia","0","663937"
"LJITRT2203391","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Unalloyed Aluminium According Specification Form Sow Brand Boaz Producer Marking Two White Vertical Stripes Green Horizontal Additional Marking Green Horizontal Line","New Orleans, La","St. Petersburg","Russia","0","103622"
"LJITRT2203395","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Aluminium Ingots Brand Rusal Producer Marking Two Green Black Vertical Strips","New Orleans, La","St. Petersburg","Russia","0","197310"
"LJITRT2203414A","28/01/2023","Casa Homs Mexico Ave","Rti Limited","Primary Homogenised Aluminium Billet Sized Brand Rusal Additional Marking Orange Dot","New Orleans, La","St. Petersburg","Russia","0","717030"
"LJITRT2203426","28/01/2023","Casa Homs Mexico Ave","Rti Limited","Primary Homogenised Aluminium Billet Lfesized Brand Rusal Additional Marking Two Orange Dots","New Orleans, La","St. Petersburg","Russia","0","196334"
"LJITRT2203386","28/01/2023","To The Order Of Perennial Group Inc","Rti Limited","Primary Foundry Aluminium Alloy Bars Brand Rusal Producer Marking Yellow Cross Additional Marking Black Vertical Line","New Orleans, La","St. Petersburg","Russia","0","2138584"
