"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"BANQ1051135943","27/03/2023","Ficosa North America S A De C V","Magna Mirrors South East Europe Doo","Car Mirror Fold Actuator Motor","Houston, Tx","Thessaloniki","Greece","1","7143"
"BANQ1050937292","08/03/2023","Ficosa North America S A De C V","Magna Mirrors South East","Piece Electric Motors Hbl Banq Dest Houston","Houston, Tx","Stadersand","Germany","1.5","2283"
"DSVF0133020075","07/03/2023","Ford Werke Gmbh","Ficosa North America S A De C V","Automotive","Houston, Tx","Veracruz","Mexico","1.31","23"
"DSVF0133010156","22/02/2023","Ford Werke Gmbh","Ficosa North America S A De C V","Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","217"
"BANQ1051135943","18/02/2023","Ficosa North America S A De C V","Magna Mirrors South East Europe Doo","Car Mirror Fold Actuator Motor","Miami, Fl","Thessaloniki","Greece","1","7143"
"OOLU271335984007","18/02/2023","Bmw Ag","Ficosa North America S A De C V","Rear Mirror System","Houston, Tx","Veracruz","Mexico","1.5","335"
"BANQ1050186222","28/01/2023","Ficosa North America S A De C V","Magna Mirrors South East","Piece Electric Motors Hbl Banq Dest Houston","Houston, Tx","Stadersand","Germany","1","974"
"BANQ1050408461","28/01/2023","Ficosa North America S A De C V","Magna Mirrors South East","Piece Electric Motors Hbl Banq Dest Houston","Houston, Tx","Stadersand","Germany","1","3572"
"BANQ1050322146","28/01/2023","Ficosa North America S A De C V","Magna Mirrors South East","Piece Electric Motors Hbl Banq Dest Houston","Houston, Tx","Stadersand","Germany","1","3896"
"BANQ1050322146","28/01/2023","Ficosa North America S A De C V","Magna Mirrors South East","Piece Electric Motors Hbl Banq Dest Houston","Houston, Tx","Stadersand","Germany","1","3896"
"BANQ1050186222","28/01/2023","Ficosa North America S A De C V","Magna Mirrors South East","Piece Electric Motors Hbl Banq Dest Houston","Houston, Tx","Stadersand","Germany","1","974"
"BANQ1050408461","28/01/2023","Ficosa North America S A De C V","Magna Mirrors South East","Piece Electric Motors Hbl Banq Dest Houston","Houston, Tx","Stadersand","Germany","1","3572"
"DSVF0132120124","16/01/2023","Ford Werke Gmbh","Ficosa North America S A De C V","Automitve","Houston, Tx","Veracruz","Mexico","1.5","101"
"OOLU271175635013","13/01/2023","Bmw Ag","Ficosa North America S A De C V","Rear Mirror System","New Orleans, La","Veracruz","Mexico","1.5","529"
"BANQ1050056670","10/01/2023","Ficosa North America S A De C V","Magna Mirrors South East","Piece Electric Motors Hbl Banq Dest Houston","Houston, Tx","Stadersand","Germany","1.5","6494"
"DSVF0132120036","10/01/2023","Ford Werke Gmbh","Ficosa North America S A De C V","Automotive Automotive","Houston, Tx","Veracruz","Mexico","1.5","171"
"BANQ1049882897","06/01/2023","Ficosa North America S A De C V","Magna Mirrors South East","Electric Motors Hbl Banq Dest Houston","Houston, Tx","Stadersand","Germany","1.5","2922"
"BANQ1049701945","04/01/2023","Ficosa North America S A De C V","Magna Mirrors South East Europe Doo","Car Mirror Fold Actuator Motor","Houston, Tx","Thessaloniki","Greece","1","6913"
"BANQ1049294675","25/12/2022","Ficosa North America S A De C V","Magna Mirrors South East Europe Doo","Car Mirror Fold Actuator Motor","Houston, Tx","Thessaloniki","Greece","1","4546"
"BANQ1049492174","25/12/2022","Ficosa North America S A De C V","Magna Mirrors South East Europe Doo","Car Mirror Fold Actuator Motor","Houston, Tx","Thessaloniki","Greece","1","4221"
"OOLU270998582021","18/12/2022","Bmw Ag","Ficosa North America S A De C V","Rear Mirror System","New Orleans, La","Veracruz","Mexico","1.5","603"
