"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"TCQVS00210551","30/03/2023","Hanon Climate Systems Csm","Magna Auteca Gmbh","Spare","Houston, Tx","Stadersand","Germany","1.5","642"
"CBLACL23101972","28/03/2023","Mahle Behr Mexico S De Rl De Cv","Magna Auteca Gmbh","Air Condition Actuator","Miami, Fl","La Spezia","Italy","1.5","641"
"CBLACL23101649","28/03/2023","Mahle Behr Mexico S De Rl De Cv","Magna Auteca Gmbh","Air Condition Actuator","Miami, Fl","La Spezia","Italy","1.5","641"
"GOLA040916147154","27/03/2023","Magna Auteca Gmbh Warehouse","Magna Auteca Gmbh","Asm Gsa Car Grill Shutter Actuator Motor Asm Gsa Lin Car Grill Shutter","New York/Newark Area, Newark, Nj","Genoa","Italy","1.5","6064"
"TCQVS00210630","27/03/2023","Valeo Front End Module M51","Magna Auteca Gmbh","Spare","Charleston, Sc","Stadersand","Germany","1.5","311"
"BANQ1051542197","24/03/2023","Magna Mirror Systems Monterrey S A De C V","Magna Auteca Gmbh","Bearing Bearing Gen Housing Cover Gen Loaded","Houston, Tx","Anvers","Belgium","1","501"
"BANQ1051541935","24/03/2023","Smr Automotive Vision Systems Mexic O Sa De Cv","Magna Auteca Gmbh","Car Mirror Glass Actuator Motor Car Mirror Glass Actuator Loaded","Houston, Tx","Anvers","Belgium","1","1725"
"BANQ1051542108","24/03/2023","Ficosa North America Sa De Cv","Magna Auteca Gmbh","Car Mirror Glass Actuator Loaded","Houston, Tx","Anvers","Belgium","1","493"
"GOLA040916133980","21/03/2023","Magna Auteca Gmbh Warehouse","Magna Auteca Gmbh","Asm Gsa Car Grill Shutter Actuator Motor Asm Gsa Lin Car Grill Shutter","New York/Newark Area, Newark, Nj","Genoa","Italy","1.5","5226"
"BANQ1051418580","19/03/2023","Ficosa North America Sa De Cv","Magna Auteca Gmbh","Car Mirror Glass Actuator Motor Loaded","Houston, Tx","Anvers","Belgium","1.5","986"
"BANQ1051288575","19/03/2023","Ficosa North America Sa De Cv","Magna Auteca Gmbh","Car Mirror Glass Actuator Motor Loaded","Houston, Tx","Anvers","Belgium","1","493"
"BANQ1051290473","19/03/2023","Magna Mirror Systems Monterrey S A De C V","Magna Auteca Gmbh","Gen Cover Gen Cover Bearing Bearing Slide Bearing Gen Housing Gen Housing Cover Gen Car Mirror Glas Actuator Motor Loaded","Houston, Tx","Anvers","Belgium","1","1510"
"BANQ1051417938","19/03/2023","Smr Automotive Vision Systems Mexic O Sa De Cv","Magna Auteca Gmbh","Car Mirror Glass Actuator Motor Car Mirror Glass Actuator Loaded","Houston, Tx","Anvers","Belgium","1.5","3712"
"BANQ1051288377","19/03/2023","Smr Automotive Vision Systems Mexic O Sa De Cv","Magna Auteca Gmbh","Car Mirror Glass Actuator Motor Loaded","Houston, Tx","Anvers","Belgium","1","2711"
"BANQ1051418374","19/03/2023","Magna Mirror Systems Monterrey S A De C V","Magna Auteca Gmbh","Car Mirror Glas Actuator Motor Gen Cover Gen Cover Bearing Bearing Gen Housing Cover Gen Cover Gen Loaded","Houston, Tx","Anvers","Belgium","1.5","1633"
"GOLA040916122328","15/03/2023","Magna Auteca Gmbh Warehouse","Magna Auteca Gmbh","Asm Gsa Car Grill Shutter Actuator Motor Asm Gsa Lin Car Grill Shutter","New York/Newark Area, Newark, Nj","Genoa","Italy","1","5441"
"TCQVS00209576","14/03/2023","Valeo Front End Module M51","Magna Auteca Gmbh","Spare","Charleston, Sc","Stadersand","Germany","1.5","311"
"BANQ1051159490","08/03/2023","Ficosa North America Sa De Cv","Magna Auteca Gmbh","Car Mirror Glass Actuator Motor Loaded","Houston, Tx","Anvers","Belgium","1","246"
"GOLA040916108025","08/03/2023","Magna Auteca Gmbh Warehouse","Magna Auteca Gmbh","Asm Gsa Car Grill Shutter Actuator Motor Asm Gsa Lin Car Grill Shutter","New York/Newark Area, Newark, Nj","Genoa","Italy","1","6046"
"BANQ1051159120","08/03/2023","Magna Mirror Systems Monterrey S A De C V","Magna Auteca Gmbh","Car Mirror Glas Actuator Motor Gen Cover Slide Bearing Gen Housing Cover Gen Loaded","Houston, Tx","Anvers","Belgium","1","1308"
"KWLD39830044622","08/03/2023","Mahle Behr Rio Bravo S De Rl De Cv","Magna Auteca Gmbh","Car Air Condition Actuator","Houston, Tx","Stadersand","Germany","1.5","1283"
"TCQVS00209033","08/03/2023","Hanon Climate Systems Csm","Magna Auteca Gmbh","Spare","Houston, Tx","Stadersand","Germany","1.5","642"
"TCQVS00208607","08/03/2023","Hanon Climate Systems Csm","Magna Auteca Gmbh","Spare","Houston, Tx","Stadersand","Germany","1.5","642"
"BANQ1051158687","08/03/2023","Smr Automotive Vision Systems Mexic O Sa De Cv","Magna Auteca Gmbh","Car Mirror Glass Actuator Motor Loaded","Houston, Tx","Anvers","Belgium","1","1232"
