"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"BWLEMTY306397825","28/03/2023","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Auto Partes Plasticas Uso Automotriz","Houston, Tx","Tampico","Mexico","1","150"
"BWLEMTY306331736","14/03/2023","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Palletfiltertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagematerialtreated Certificatedfumigated Htauto Partsncm","Houston, Tx","Tampico","Mexico","1","660"
"SEAU225222058","14/03/2023","General Motors De Argentina S R L","Filtertek De Mexico Sa De Cv","Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti Ncm","Houston, Tx","Tampico","Mexico","1.5","2771.95"
"KWLD45030154455","07/03/2023","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Automotive","Houston, Tx","Tampico","Mexico","1","4894"
"KWLD45030153379","22/02/2023","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Automotive","Houston, Tx","Tampico","Mexico","1","7273"
"KWLD45030152687","05/02/2023","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Automotive","Houston, Tx","Tampico","Mexico","1.5","2073"
"BWLEMTY306233739","03/02/2023","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Palletfiltertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagematerialtreated Certificatedfumigated Htauto Partsncm","Houston, Tx","Tampico","Mexico","1.5","168"
"BWLEMTY306258612","03/02/2023","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Palletfiltertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagematerialtreated Certificatedfumigated Htauto Partsncm","Houston, Tx","Tampico","Mexico","1.5","34"
"KWLD45030152248","28/01/2023","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Automotive","Houston, Tx","Tampico","Mexico","1","648"
"OOLU271208046008","26/01/2023","Bmw Ag Werk","Filtertek De Mexico Sa De Cv","Rubber Insert Cup Holder","New Orleans, La","Veracruz","Mexico","1.5","389"
"BWLEMT1206189431","22/01/2023","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Filtertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagematerialtreated Certificatedfumigated Htauto Partsncm","Houston, Tx","Tampico","Mexico","1.5","89"
"BWLEMT1206157103","05/01/2023","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Filtertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagematerialtreated Certificatedfumigated Htauto Partsncm","Houston, Tx","Tampico","Mexico","1.5","164"
"BWLEMTY206120876","05/01/2023","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Filtertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagematerialtreated Certificatedfumigated Htauto Partsncm","Houston, Tx","Tampico","Mexico","1.5","823"
"KWLD45030150730","30/12/2022","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Automotive","Houston, Tx","Tampico","Mexico","1","3246"
"BWLEMT1206085737","08/12/2022","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Filtertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagematerialtreated Certificatedfumigated Htauto Partsncm","Houston, Tx","Tampico","Mexico","1.5","55"
"BWLEMT1206099386","08/12/2022","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Filtertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagematerialtreated Certificatedfumigated Htauto Partsncm","Houston, Tx","Tampico","Mexico","1.5","506"
"BWLEMT1206069371","28/11/2022","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Palletfiltertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagemate Rialtreated Certificatedfumigated Htauto Partsncm","New Orleans, La","Tampico","Mexico","1.5","108"
"OOLU270762479016","26/11/2022","Bmw Ag Werk","Filtertek De Mexico Sa De Cv","Rubber Insert Cup Holder","New Orleans, La","Veracruz","Mexico","1.5","349"
"KWLD45000118989","23/11/2022","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Automotive","Houston, Tx","Tampico","Mexico","1","907"
"BWLEMT1206030308","18/11/2022","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Palletfiltertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagemate Rialtreated Certificatedfumigated Htauto Partsncm","Houston, Tx","Tampico","Mexico","1.5","783"
"BWLEMT1205997780","18/11/2022","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Palletfiltertek Mexicoinv Inserto Para Ajustador Altura Guia Cubierta Rwith Wooden Packagematerialtreated Certificatedfumigated Htauto","Houston, Tx","Tampico","Mexico","1.5","72"
"KWLD45030147743","03/11/2022","Zf Passive Safety Czech S R O","Filtertek De Mexico Sa De Cv","Automotive","Houston, Tx","Tampico","Mexico","1","630"
"KWLD45030147997","03/11/2022","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Autoparts","Houston, Tx","Tampico","Mexico","1","1509"
"KWLD45000117332","23/10/2022","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Automotive","Houston, Tx","Tampico","Mexico","1","1453"
"BWLEMT1205962900","17/10/2022","Zf Automotive Brasil Ltda","Filtertek De Mexico Sa De Cv","Piston Steel","Houston, Tx","Tampico","Mexico","1.5","578"
"KWLD45030146643","05/10/2022","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Auotomotive","Houston, Tx","Tampico","Mexico","1","964"
"KWLD45030146643","05/10/2022","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Auotomotive","Houston, Tx","Tampico","Mexico","1","964"
"KWLD45030146643","05/10/2022","Zf Automotive Systems Poland","Filtertek De Mexico Sa De Cv","Auotomotive","Houston, Tx","Tampico","Mexico","1","964"
