"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"MEDUV8430252","28/03/2023","Gisederlan S A De C V","Fagor Ederlan S Coop","Dishwashing Machines Machinery Cleaning Topf Prepaidon Board Ops Seabajio Racingcargo Dishwashing Machines Machinery Cleaning Topf Topf Topf","Miami, Fl","Barcelona","Spain","3","34549"
"OOLU271491292022","25/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","New Orleans, La","Veracruz","Mexico","1.5","7004"
"OOLU271491292004","25/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","New Orleans, La","Veracruz","Mexico","1.5","3196"
"OOLU271491292006","25/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","New Orleans, La","Veracruz","Mexico","1.5","2353"
"OOLU271491292031","25/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","New Orleans, La","Veracruz","Mexico","1.5","3010"
"OOLU271491292033","25/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","New Orleans, La","Veracruz","Mexico","1.5","7497"
"MEDUV8409231","24/03/2023","Gisederlan S A De C V","Fagor Ederlan S Coop","Dishwashing Machines Machinery Cleaning Topf Topf Dishwashing Machines Machinery Cleaning Topf Topf Ops Seabajio Racingcargo Board","Miami, Fl","Barcelona","Spain","3","34822"
"MEDUV8390415","24/03/2023","Gisederlan S A De C V","Fagor Ederlan S Coop","Dishwashing Machines Machinery Cleaning Topf Dishwashing Machines Machinery Cleaning Topf Topf Topf","Miami, Fl","Barcelona","Spain","4","35153"
"OOLU271394771016","07/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","2817"
"OOLU271394771023","07/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","2344"
"OOLU271394771026","07/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","3212"
"OOLU271394771009","07/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","6397"
"OOLU271394771025","07/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","3204"
"OOLU271394771027","07/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","3121"
"OOLU271394771008","07/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","4390"
"OOLU271394771015","07/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","2369"
"OOLU271394771022","07/03/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","4268"
"OOLU271324927101","18/02/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilatedle","Houston, Tx","Veracruz","Mexico","1.5","4142"
"OOLU271324927001","18/02/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilatedle","Houston, Tx","Veracruz","Mexico","1.5","5113"
"OOLU271324927002","18/02/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilatedle","Houston, Tx","Veracruz","Mexico","1.5","4363"
"OOLU271294819021","12/02/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","New Orleans, La","Veracruz","Mexico","1.5","2915"
"OOLU271294819028","12/02/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","New Orleans, La","Veracruz","Mexico","1.5","4133"
"OOLU271294819027","12/02/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","New Orleans, La","Veracruz","Mexico","1.5","4753"
"OOLU271294819029","12/02/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","New Orleans, La","Veracruz","Mexico","1.5","5087"
"OOLU271241212013","09/02/2023","Bmw Ag Werk","Gisederlan S A De C V","Brake Disc Ventilated","Houston, Tx","Veracruz","Mexico","1.5","3669"
