"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"MEDUCI633883","10/04/2022","Cie Celaya S A","Bautermic S A","Machines Mechanical Appliances Having Individu Lavadora","Miami, Fl","Barcelona","Spain","1","3180"
"MEDUCI643718","08/04/2022","Cie Celaya S A","Bautermic S A","Machines Mechanical Appliances Having Individu Lavadora","Miami, Fl","Barcelona","Spain","1.5","3500"
"MEDUCI633883","04/03/2022","Cie Celaya S A","Bautermic S A","Machines Mechanical Appliances Having Individu Lavadora","Miami, Fl","Barcelona","Spain","1","3180"
"SHKK484910459088","23/10/2021","Bautermic S A","Cie Celaya Sapi De Cv","Stc Pallet Industrial Washing Machine Its Accesories","Houston, Tx","Veracruz","Mexico","1","1480"
"SHKK484910459088","23/10/2021","Bautermic S A","Cie Celaya Sapi De Cv","Stc Pallet Industrial Washing Machine Its Accesories","Houston, Tx","Veracruz","Mexico","1","1480"
"MEDUBC982940","20/11/2020","Cie Celaya S A","Bautermic S A","Machines Mechanical Appliances Having Individu Lavadora","Miami, Fl","Barcelona","Spain","1.5","2100"
"SHKK724900469797","23/08/2020","Cie Celaya Sapi De Cv","Bautermic S A","Machinery Maquina Lavadora Continua Con Cadena Transportadora Tipo Tunes Tres Camaras","Miami, Fl","Barcelona","Spain","1.5","4102"
"SHKK724900469797","23/08/2020","Cie Celaya Sapi De Cv","Bautermic S A","Machinery Maquina Lavadora Continua Con Cadena Transportadora Tipo Tunes Tres Camaras","Miami, Fl","Barcelona","Spain","1.5","4102"
"PNEP19350293008","06/10/2019","Nexteer Automotive Corp","Bautermic S A","Washing Machine Washing Machine","New York/Newark Area, Newark, Nj","Barcelona","Spain","2.5","5220"
"MEDUBC400786","25/05/2019","Gisederlan S A De C V","Bautermic S A","Mechanical Appliances Whether Hand Operate Maquina Lavadora Modelo Lcb","Miami, Fl","Barcelona","Spain","1.5","2700"
"PNEP19350288176","25/03/2019","Nexteer 3900 Holland","Bautermic S A","Machine Racks","New York/Newark Area, Newark, Nj","Barcelona","Spain","1.5","1180"
