"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVFBIO0075695","25/12/2021","Gisederlan S A De C V","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","1.5","17036"
"DSVFBIO0075344","03/12/2021","Gisederlan S A De C V","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","1.5","17310"
"DSVFBIO0075344","03/12/2021","Gisederlan S A De C V","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","1.5","17310"
"DSVFBIO0074967","12/11/2021","Gisederlan S A De C V","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","1.5","17266"
"DSVFBIO0075110","12/11/2021","Gisederlan S A De C V","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","1.5","16869"
"DSVFBIO0074711","22/10/2021","Fagor Ederlan Mexico Sa De Cv","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","2","22954"
"DSVFBIO0074787","22/10/2021","Gisederlan S A De C V","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","1.5","17432"
"DSVFBIO0074711","22/10/2021","Fagor Ederlan Mexico Sa De Cv","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","2","22954"
"DSVFBIO0074787","22/10/2021","Gisederlan S A De C V","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","1.5","17432"
"DSVFBIO0074464","17/10/2021","Gisederlan S A De C V","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","2","18269"
"DSVFBIO0074582","17/10/2021","Gisederlan S A De C V","Fagor Ederlan S Coop Ltda","Partes Accesorios Vehiculos","Miami, Fl","Valencia","Spain","2","17751"
