"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"DSVF0203020027","22/03/2023","Gm Cca","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","2755"
"DSVF0202112065","27/01/2023","Gm Cca","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","597"
"DSVF0202112065","27/01/2023","Gm Cca","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","597"
"NAQAZNYC2168975V","08/11/2022","Intertex World Resouurces","Hba Hutchinson Brasil Automotive Lt","Unconjugated Ethylene Propylene Diene Rubber","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1","975"
"CHSL410869340SAO","20/10/2022","Hutchinson Fluid Management Systems","Hba Hutchinson Brasil Automotive Lt","Poly Belt Ncm Incoterm Exw Due Ruc Country Wooden Treated Certifed","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1","447"
"DSVF0202080227","19/10/2022","Gm Cca","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","613"
"DSVF0202090334","16/10/2022","Gm Cca","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","646"
"DSVF0202090334","16/10/2022","Gm Cca","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","646"
"DSVF0202070160","02/09/2022","Gm Cca","Hba Hutchinson Brasil Automotive Lt","Auto","New York, Ny","Sao Paulo","Brazil","1.5","570"
"DSVF0202070160","02/09/2022","Gm Cca","Hba Hutchinson Brasil Automotive Lt","Auto","New York, Ny","Sao Paulo","Brazil","1.5","570"
"CHSL394331760SAO","25/05/2022","Hutchinson Antivibration Systems I","Hba Hutchinson Brasil Automotive Lt","Poly Belt Ncm Incoterm Works Due Ruc Country Wooden Treated Certifed","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1","103"
"CHSL394331760SAO","25/05/2022","Hutchinson Antivibration Systems I","Hba Hutchinson Brasil Automotive Lt","Poly Belt Ncm Incoterm Works Due Ruc Country Wooden Treated Certifed","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1","103"
"DMALS2200502336","03/04/2022","Hba Hutchinson Brasil Automotive Lt","Alfmeier Friedrichs And Rath De Mex","Valvulas Gasolina","Houston, Tx","Veracruz","Mexico","1","61"
"DMALS2200502336","03/04/2022","Hba Hutchinson Brasil Automotive Lt","Alfmeier Friedrichs And Rath De Mex","Valvulas Gasolina","Houston, Tx","Veracruz","Mexico","1","61"
"CHSL381548111SAO","15/02/2022","Hutchinson Fluid Management Systems","Hba Hutchinson Brasil Automotive Lt","Poly Belt Jma Poly Belt Poly Belt Ncm Incoterm Exw Due Ruc Country Wooden Treated Certifed","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","902"
"DSVF0201120363","12/01/2022","Gm Cca","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","597"
"NAQAZVER1161347V","05/12/2021","Hutchinson Autopartes Mexico S A","Hba Hutchinson Brasil Automotive Lt","Bckr Hyd","New Orleans, La","Sao Paulo","Brazil","1.5","3707"
"NAQAZVER1161346V","05/12/2021","Hutchinson Autopartes Mexico S A","Hba Hutchinson Brasil Automotive Lt","Bckr Hyd","New Orleans, La","Sao Paulo","Brazil","1","4085"
"DSVF0201100345","10/11/2021","General Motors Spo World Davison","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","1479"
"DSVF0201100345","10/11/2021","General Motors Spo World Davison","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark Area, Newark, Nj","Sao Paulo","Brazil","1.5","1479"
"CHSL370260724SAO","27/10/2021","Hutchinson Antivibration Systems I","Hba Hutchinson Brasil Automotive Lt","Poly Belt Poly Belt Jma Jason Ncm Incoterm Works Due Ruc Country Wooden Treated Certifed","New York/Newark","Sao Paulo","Brazil","1.5","204"
"DSVF0201090815","19/10/2021","General Motors Spo World Davison","Hba Hutchinson Brasil Automotive Lt","Auto","New York/Newark","Sao Paulo","Brazil","1.5","3299"
"CHSL365565277SAO","29/09/2021","Hutchinson Antivibration Systems I","Hba Hutchinson Brasil Automotive Lt","Poly Belt Poly Belt Poly Belt Jma Poly Belt Ncm Incoterm Works Due Ruc Country Brazil Wooden Treated Certifed","New York/Newark","Sao Paulo","Brazil","1.5","1072"
"NAQAZVER1160250V","28/09/2021","Hutchinson Autopartes De Mexico","Hba Hutchinson Brasil Automotive Lt","Correa Brazi","New Orleans, La","Sao Paulo","Brazil","1.5","4184"
"NAQAZVER1160250V","28/09/2021","Hutchinson Autopartes De Mexico","Hba Hutchinson Brasil Automotive Lt","Correa Brazi","New Orleans, La","Sao Paulo","Brazil","1.5","4184"
"CHSL365565277SAO","28/09/2021","Hutchinson Antivibration Systems I","Hba Hutchinson Brasil Automotive Lt","Poly Belt Poly Belt Poly Belt Jma Poly Belt Ncm Incoterm Works Due Ruc Country Brazil Wooden Treated Certifed","New York, Ny","Sao Paulo","Brazil","1.5","1072"
"NAQAZVER1159130V","11/09/2021","Hutchinson Autopartes Mexico","Hba Hutchinson Brasil Automotive Lt","Bckr Hyd","New Orleans, La","Sao Paulo","Brazil","1.5","4878"
"NAQAZVER1158423V","11/08/2021","Hutchinson Autopartes Mexico","Hba Hutchinson Brasil Automotive Lt","Oriented Blanket Bckr Hyd","New Orleans, La","Sao Paulo","Brazil","1","4649"
"TSVCMXSLP907838","10/08/2020","Hba Hutchinson Brasil Automotive Lt","Polaquimia Sa De Cv","","Houston, Tx","Veracruz","Mexico","1","15880"
"DSVF0200030049","31/03/2020","General Motors Spo World Davison","Hba Hutchinson Brasil Automotive Lt","Auto","New York, Ny","Sao Paulo","Brazil","1.5","507"
"DSVF0200010918","18/02/2020","Gm Spo Headquarters Grand Blanc","Hba Hutchinson Brasil Automotive Lt","Auto","New York, Ny","Sao Paulo","Brazil","1","553"
"DSVF0209100457","11/12/2019","Gm Spo Headquarters Grand Blanc","Hba Hutchinson Brasil Automotive Lt","Auto","New York, Ny","Sao Paulo","Brazil","1.5","1018"
