"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"HLCUHAM2302AXQA0","14/03/2023","Hubner Components Solutions Llc","Lwb Steinl Gmbh & Co","Injection Molding Machine","Charleston, Sc","Stadersand","Germany","1","10200"
"BWLES16206112097","14/02/2023","Cooper Standard Juarez","Lwb Steinl Gmbh & Co","Presses","Houston, Tx","Bremerhaven","Germany","4","40560"
"CHSL421772162HAM","03/02/2023","Lwb Machinery North America L P","Lwb Steinl Gmbh Co","Piece Injection Molding Machine Vsefd Machine Serial Knocked Down Packed Units","Norfolk, Va","Stadersand","Germany","2","18410"
"CHSL421750287HAM","03/02/2023","Lwb Machinery North America L P","Lwb Steinl Gmbh Co","Injection Moulding Machine Type Vsefd Machine Serial","Norfolk, Va","Stadersand","Germany","1.5","16850"
"QRSMB2212B222001","03/01/2023","Lwb Machiners North America L P","Lwb Steinl Gmbh & Co","Spare Rubber Injection Press Shipped Board","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","2900"
"DSVFMUC0263873","27/12/2022","Cooper Standard Automotive Oh Llc","Lwb Steinl Gmbh & Co","Presseshs Del Note Hbl Smuc","Detroit, Mi","Stadersand","Germany","1","3950"
"DSVFMUC0263089","21/12/2022","Cooper Standard Automotive Oh Llc","Lwb Steinl Gmbh & Co","Machineryhs Del Note Hbl Muc","Houston, Tx","Stadersand","Germany","3","17310"
"DSVFMUC0263058","11/12/2022","Cooper Standard Automotive Oh Llc","Lwb Steinl Gmbh & Co","Machineryhs Delivery Note Hbl Muc","Houston, Tx","Stadersand","Germany","1.5","12910"
"DSVFMUC0263050","01/12/2022","Cooper Standard Automotive Oh Llc","Lwb Steinl Gmbh & Co","Machineryhs Codes Delivery Note Hbl Muc","Houston, Tx","Stadersand","Germany","1.5","12910"
"ACLUSA00852455A","07/11/2022","Hydrogenics Corp","Lwb Steinl Gmbh & Co","Piece Injection Moulding Machine Vrrs Machine Serial","New York/Newark Area, Newark, Nj","Stadersand","Germany","0","36500"
"MEDUD3569693","17/06/2022","Vibracoustic De Mexico Circuito El Marques Norte","Lwb Steinl Gmbh & Co","Silicones Primary Forms Assembly Press Top","Norfolk, Va","Anvers","Germany","1","2060"
"BWLES16205378792","04/03/2022","Cooper Standard Automotive Services","Lwb Steinl Gmbh & Co","Machinery","Charleston, Sc","Bremerhaven","Germany","1.5","8400"
"BANQHAM1860224","19/02/2022","Freudenberg Nok","Lwb Steinl Gmbh & Co","Piece Injection Moulding Machine Type Vsef Machine Serial","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","16650"
"BANQHAM1860224","19/02/2022","Freudenberg Nok","Lwb Steinl Gmbh & Co","Piece Injection Moulding Machine Type Vsef Machine Serial","New York/Newark Area, Newark, Nj","Bremerhaven","Germany","1.5","16650"
"BWLES16205345357","23/01/2022","Cooper Standard Juarez","Lwb Steinl Gmbh & Co","Packagesinjection Moulding Machine Ams Scac Bwlehbl","Charleston, Sc","Bremerhaven","Germany","1","8400"
"BWLES16205345357","23/01/2022","Cooper Standard Juarez","Lwb Steinl Gmbh & Co","Packagesinjection Moulding Machine Ams Scac Bwlehbl","Charleston, Sc","Bremerhaven","Germany","1","8400"
"BWLES16205378792","23/01/2022","Cooper Standard Automotive Services","Lwb Steinl Gmbh & Co","Machinery","Charleston, Sc","Bremerhaven","Germany","1.5","8400"
"BWLES16205378792","23/01/2022","Cooper Standard Automotive Services","Lwb Steinl Gmbh & Co","Machinery","Charleston, Sc","Bremerhaven","Germany","1.5","8400"
"BWLES16105237151","16/01/2022","Cooper Standard Juarez","Lwb Steinl Gmbh & Co","Injection Moulding Machine Ams Scac Bwlehbl","Houston, Tx","Bremerhaven","Germany","1.5","12840"
"BWLES16105148692","22/11/2021","Cooper Standard Juarez","Lwb Steinl Gmbh & Co","Presses","Houston, Tx","Bremerhaven","Germany","1","3500"
