"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"CMDUKLP0151022","28/03/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","20","238805"
"MAEU223418164","15/02/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Anvers","Belgium","10","100447.45"
"CMDUKLP0151020C","27/01/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","16","190780"
"CMDUKLP0151882A","27/01/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","26","310546"
"CMDUKLP0150003A","27/01/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Party Panasystem Handels Gmbh Schoenbrunner Strasse Vienna Austria Glaznev Panasystem Somova Panasystem","Charleston, Sc","Bremerhaven","Lithuania","14","167332"
"CMDUKLP0151882B","27/01/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","10","119323"
"CMDUKLP0150968","27/01/2023","Operadora Chronos S A De C V","Panasystem Handels Gmbh","Carbon Black Auxiliar Admon Chronosmexico Rfc Ocr Second Party Panasystem Handels Gmbh Schoenbrunner Strasse Vienna Austria Cotignola Panasystem","Charleston, Sc","Bremerhaven","Lithuania","16","191193"
"CMDUKLP0150960","27/01/2023","Operadora Chronos S A De C V","Panasystem Handels Gmbh","Carbon Black Auxiliar Admon Chronosmexico Rfc Ocr Second Party Panasystem Handels Gmbh Schoenbrunner Strasse Vienna Austria Cotignola Panasystem","Charleston, Sc","Bremerhaven","Lithuania","14","173606"
"MAEU223586181","27/01/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Anvers","Belgium","10","100498.26"
"CMDUKLP0151021","27/01/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","40","477552"
"CMDUKLP0150996","23/01/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Party Panasystem Handels Gmbh Schoenbrunner Strasse Vienna Austria Glaznev Panasystem Somova Panasystem Dispatch Usa Panasystem","Charleston, Sc","Rotterdam","Lithuania","40","477570"
"CMDUKLP0150996","23/01/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Party Panasystem Handels Gmbh Schoenbrunner Strasse Vienna Austria Glaznev Panasystem Somova Panasystem Dispatch Usa Panasystem","Charleston, Sc","Rotterdam","Lithuania","40","477570"
"CMDUKLP0150004","13/01/2023","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","26","309682"
"CMDUKLP0150908","15/12/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","24","286772"
"CMDUKLP0150908","15/12/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","24","286772"
"CMDUKLP0150910A","15/12/2022","Operadora Chronos S A De C V","Panasystem Handels Gmbh","Carbon Black Auxiliar Admon Chronosmexico Rfc Ocr Second Party Panasystem Handels Gmbh Schoenbrunner Strasse Vienna Austria Cotignola Panasystem","Charleston, Sc","Bremerhaven","Lithuania","20","237662"
"CMDUKLP0150909","15/12/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","12","143165"
"CMDUKLP0150004","15/12/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","26","309682"
"CMDUKLP0150908","15/12/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","24","286772"
"CMDUKLP0150910A","15/12/2022","Operadora Chronos S A De C V","Panasystem Handels Gmbh","Carbon Black Auxiliar Admon Chronosmexico Rfc Ocr Second Party Panasystem Handels Gmbh Schoenbrunner Strasse Vienna Austria Cotignola Panasystem","Charleston, Sc","Bremerhaven","Lithuania","20","237662"
"CMDUKLP0150909","15/12/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","12","143165"
"MAEU222416271","10/12/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Anvers","Belgium","10","101692.58"
"CMDUKLP0150002","21/11/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","28","333849"
"CMDUKLP0149438","17/11/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","40","471615"
"CMDUKLP0150001","12/11/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","28","334080"
"CMDUKLP0150001","12/11/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","28","334080"
"CMDUKLP0149591A","19/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","12","143177"
"CMDUKLP0149650B","19/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","","Charleston, Sc","Bremerhaven","Lithuania","22","262036"
"CMDUKLP0149650B","19/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","","Charleston, Sc","Bremerhaven","Lithuania","22","262036"
"CMDUKLP0149591A","19/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","12","143177"
"CMDUKLP0149650B","19/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","","Charleston, Sc","Bremerhaven","Lithuania","22","262036"
"CMDUKLP0149591A","19/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","12","143177"
"CMDUKLP0149650","15/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","30","357399"
"CMDUKLP0149650A","15/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","8","95363"
"CMDUKLP0149650A","15/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","8","95363"
"CMDUKLP0149590","15/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","40","478056"
"CMDUKLP0149590","15/10/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","40","478056"
"CMDUKLP0149781","28/09/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Lithuania","40","477386"
"CMDUKLP0149453","23/09/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black","Charleston, Sc","Rotterdam","Lithuania","20","238618"
"CMDUKLP0149453","23/09/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black","Charleston, Sc","Rotterdam","Lithuania","20","238618"
"CMDUKLP0149452","23/09/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Imports Cifservices Carbon Black","Charleston, Sc","Rotterdam","Lithuania","20","238811"
"CMDUKLP0149452","23/09/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Imports Cifservices Carbon Black","Charleston, Sc","Rotterdam","Lithuania","20","238811"
"EGLV507100047377","29/03/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Haz Carbon Black Office Cell Russia United States","Charleston, Sc","Anvers","Russia","2","20398"
"EGLV507100043886","25/03/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Haz Carbon Black Haz Carbon Black Office Cell Russia United States","Charleston, Sc","Rotterdam","Russia","16","163030"
"EGLV507100043037","25/03/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Carbon Black Office Cell Russia United States","Charleston, Sc","Rotterdam","Russia","20","203940"
"EGLV507100047369","25/03/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Haz Carbon Black Haz Carbon Black Office Cell Russia United States","Charleston, Sc","Rotterdam","Russia","20","203888"
"EGLV507100043029","16/03/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Haz Carbon Black Haz Carbon Black Office Cell Russia United States","Charleston, Sc","Rotterdam","Russia","32","326216"
"OOLU2686108271","16/03/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Germany","10","99317"
"OOLU2686108270","16/03/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Germany","10","101935"
"MAEU215569522","09/03/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Germany","10","101954.31"
"MAEU215569470","09/03/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Germany","10","101935.71"
"MEDURI102530","27/02/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Gioia Tauro","Russia","20","203907"
"MEDURI990439","24/02/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Gioia Tauro","Russia","10","101961"
"MEDURI999174","24/02/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Gioia Tauro","Russia","10","101982"
"EGLV507100039269","22/02/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Haz Carbon Black Haz Carbon Black Office Cell Russia United States","Charleston, Sc","Rotterdam","Russia","20","203946"
"MEDURI174182","20/02/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Gioia Tauro","Russia","16","163119"
"MAEU214897208","13/02/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Germany","10","101039.4"
"EGLV507100039242","11/02/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Office Cell Russia United States Heveen Cheko Chrobinson Carbon Black","Charleston, Sc","Rotterdam","Russia","14","142736"
"EGLV507100047610","11/02/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Carbon Black Office Cell Russia United States Heveen Cheko Chrobinson","Charleston, Sc","Rotterdam","Russia","14","142757"
"EGLV507100042588","01/02/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Carbon Black Office Cell Russia United States","Charleston, Sc","Anvers","Russia","8","81564"
"MAEU214970858","25/01/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Germany","10","101985.61"
"EGLV507100033694","16/01/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Carbon Black Office Cell Russia United States","Charleston, Sc","Anvers","Russia","10","101951"
"EGLV507100030423","16/01/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Carbon Black Office Cell Russia United States","Charleston, Sc","Anvers","Russia","20","203835"
"EGLV507100035221","16/01/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Office Cell Russia United States Carbon Black","Charleston, Sc","Anvers","Russia","4","40768"
"EGLV507100039251","16/01/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Carbon Black Office Cell Russia United States","Charleston, Sc","Anvers","Russia","16","162200"
"EGLV507100035212","10/01/2022","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Office Cell Russia United States","Charleston, Sc","Anvers","Russia","2","20392"
"CMDUBTS0127950","30/12/2021","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Lot Carbon Black Lot Panasystem Handels Gmbh Schoenbrunner Strasse Wien Austria Heveen Cheko Heveen Cheko Chrobinson Office Cell General Cma Cgm Terms Conditions Founder Www Cma Cgm Carbon Black Lot","Charleston, Sc","Bremerhaven","Germany","6","68924"
"CMDUBTS0127950","30/12/2021","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Lot Carbon Black Lot Panasystem Handels Gmbh Schoenbrunner Strasse Wien Austria Heveen Cheko Heveen Cheko Chrobinson Office Cell General Cma Cgm Terms Conditions Founder Www Cma Cgm Carbon Black Lot","Charleston, Sc","Bremerhaven","Germany","6","68924"
"CMDUBTS0127955","23/12/2021","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Lot Kim Monahan Kim Monahan Chrobinson Office Cell Panasystem Handels Gmbh Schoenbrunner Strasse Wien Austria Glaznev Panasystem Somova Panasystem Michalcova Panasystem General Cma Cgm Terms Conditions Under Www Cma Cgm Carbon Black Lot Carbon Black Lot Carbon Black Lot","Charleston, Sc","Bremerhaven","Germany","8","92654"
"CMDUBTS0127955","23/12/2021","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Lot Kim Monahan Kim Monahan Chrobinson Office Cell Panasystem Handels Gmbh Schoenbrunner Strasse Wien Austria Glaznev Panasystem Somova Panasystem Michalcova Panasystem General Cma Cgm Terms Conditions Under Www Cma Cgm Carbon Black Lot Carbon Black Lot Carbon Black Lot","Charleston, Sc","Bremerhaven","Germany","8","92654"
"EGLV507100030407","17/12/2021","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black Carbon Black Carbon Black Office Cell Russia United States","Charleston, Sc","Anvers","Russia","20","203955"
"MEDURI117561","14/12/2021","Panasystem Us Llc","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Gioia Tauro","Russia","6","60257"
"OOLU2682200880","04/12/2021","Operadora Chronos S A De C V","Panasystem Handels Gmbh","Carbon Black","Charleston, Sc","Bremerhaven","Germany","4","40785"
