"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"PUSJATHLAX00115","27/03/2023","Tesla Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Algeciras","Greece","2","9090"
"PUSJATHLAX00114","12/03/2023","Tesla Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Valencia","Greece","3","13859"
"PUSJATHLAX00109","02/03/2023","Tesla Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Barcelona","Greece","3","12215"
"PUSJATHLAX00110","02/03/2023","Tesla Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Barcelona","Greece","5","14498"
"CHSL419961611HAM","16/01/2023","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","1387"
"CHSL413532369HAM","16/11/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","1429"
"CHSL413532369HAM","16/11/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","1429"
"HLCUVA3220809790","02/11/2022","Teklas Usa Inc","Teklas Bulgaria Ead","Rubber Plastic","Savannah, Ga","Barcelona","Bulgaria","1.5","2407"
"HLCUVA3220808966","23/10/2022","Teklas Usa Inc","Teklas Bulgaria Ead","Plastic Pipes Assembly Machines","Savannah, Ga","Barcelona","Bulgaria","1.5","5105"
"HLCUVA3220805471","18/10/2022","Teklas Usa Inc","Teklas Bulgaria Ead","Plastic Pipes Assembly Machines","Savannah, Ga","Barcelona","Bulgaria","1.5","4785"
"HLCUVA3220709218","27/09/2022","Teklas Usa Inc","Teklas Bulgaria Ead","Plastic Pipes Assembly Machines","Savannah, Ga","Barcelona","Bulgaria","1.5","4471"
"HLCUVA3MG06275AA","27/09/2022","Teklas Usa Inc","Teklas Bulgaria Ead","Plastic Pipes Assembly Machines","Savannah, Ga","Barcelona","Bulgaria","1.5","4464"
"CHSL406522305HAM","10/09/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","1635"
"CHSL406522305HAM","10/09/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","1587"
"CHSL404878949HAM","10/09/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","474"
"CHSL402557527HAM","27/08/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","823"
"CHSL402557527HAM","27/08/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","823"
"CMDUCBJ0125856","01/08/2022","Teklas Usa","Teklas Bulgaria Ead","Tclu Plastic Pipes Rubber Hose Generic","Savannah, Ga","Barcelona","Bulgaria","1.5","4057"
"CHSL396668941HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1","1376"
"CHSL392727224HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1","1429"
"CHSL396668941HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1","1376"
"CHSL396668941HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1","1376"
"CHSL392727224HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1","1429"
"CHSL392727224HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1","1429"
"CHSL388188360HAM","07/04/2022","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Stc Automotive Hsc Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1","1392"
"HLCUVA3LL09317AA","23/03/2022","Teklas Usa","Teklas Bulgaria Ead","Machine Wooden Dimensions Gwt","Savannah, Ga","Barcelona","Bulgaria","1","750"
"PUSJATHLAX00061","22/03/2022","Telsa Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Piraieus","Greece","3","9771"
"PUSJATHLAX00062","16/03/2022","Telsa Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Piraieus","Greece","3","10649"
"PUSJATHLAX00058","29/01/2022","Telsa Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Thessaloniki","Greece","2","5420"
"PUSJATHLAX00058","29/01/2022","Telsa Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Thessaloniki","Greece","2","5420"
"UEUR7200002414","31/12/2021","Teklas Usa Inc","Teklas Bulgaria Ead","Automotive Production","Savannah, Ga","Valencia","Spain","1.5","3771"
"ONEYVARB01101500","10/12/2021","Teklas Usa Inc","Teklas Bulgaria Ead","Machine Metal Equipment","Savannah, Ga","Piraieus","Bulgaria","1.5","5148"
"PUSJATHLAX00038","29/09/2021","Telsa Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Piraieus","Greece","2","6806"
"CHSL365580100HAM","24/09/2021","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1","1396"
"CHSL361589881HAM","20/08/2021","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","1392"
"PUSJATHLAX00030","05/08/2021","Telsa Inc","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Piraieus","Greece","1","4654"
"PUSJATHLAX00027","06/07/2021","Tesla Inv","Teklas Bulgaria Ead","Automotive","Savannah, Ga","Algeciras","Greece","2","9050"
"CHSL352632979HAM","08/05/2021","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","685"
"DMALSOFA00576","31/03/2021","Teklas Usa Inc","Teklas Bulgaria Ead","Auto","Savannah, Ga","Piraieus","Greece","1","2208"
"CHSL346074560HAM","06/03/2021","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","938"
"CHSL344774920HAM","22/02/2021","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1.5","1165"
"CHSL340847657HAM","01/01/2021","Hutchinson Autopartes Mexico Hfms","Teklas Bulgaria Ead","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Bulgaria","1","696"
"CHSLBM20201026","11/11/2020","Hutchinson Autopartes Mexico S A","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","696"
"CHSLBM20201026","11/11/2020","Hutchinson Autopartes Mexico S A","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","696"
"CHSLBM20200929","21/10/2020","Hutchinson Autopartes Mexico S A","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Rotterdam","Netherlands Antilles","1.5","477"
"CHSLBM20200828","07/10/2020","Hutchinson Autopartes Mexico S A","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","590"
"CHSLBM20200828","27/09/2020","Hutchinson Autopartes Mexico S A","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1.5","590"
"CHSLBM20200805","18/09/2020","Hutchinson Autopartes Mexico","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","696"
"CHSLBM20200813","08/09/2020","Hutchinson Autopartes Mexico","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Rotterdam","Netherlands Antilles","1.5","348"
"CHSLBM20200805","25/08/2020","Hutchinson Autopartes Mexico","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","696"
"CHSLBM20200626","05/08/2020","Hutchinson Autopartes Mexico","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","469"
"CHSLBM20200709","05/08/2020","Hutchinson Autopartes Mexico","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Rotterdam","Netherlands Antilles","1.5","590"
"CHSLBM20200613","22/07/2020","Hutchinson Autopartes Mexico","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","244"
"CHSLBM20200626","21/07/2020","Hutchinson Autopartes Mexico","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","469"
"CHSLBM20200601","08/07/2020","Hutchinson Autopartes Mexico","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","213"
"CHSLBM20200601","23/06/2020","Hutchinson Autopartes Mexico","Teklas Bulgaria Ead","Auto","New York/Newark Area, Newark, Nj","Stadersand","Germany","1","213"
