"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"OOLU271422466118","25/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","113"
"OOLU271422466120","25/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","187"
"OOLU271422466108","25/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","0.71","11"
"OOLU271422466122","25/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","1817"
"OOLU271422466104","25/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","153"
"OOLU271422466119","25/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","43"
"OOLU271422466117","25/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","314"
"OOLU271422466121","25/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","929"
"OOLU271422466001","10/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","1481"
"OOLU271346016003","07/03/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","1814"
"OOLU271336009016","27/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","687"
"OOLU271336009017","27/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","657"
"OOLU271336009018","27/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","175"
"OOLU271336009014","27/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","419"
"DSVF1903010982","26/02/2023","General Motors Do Brasil Ltda","Kayser Automotive Systems S En C Rio Papaloapan","Automotive","Houston, Tx","Veracruz","Mexico","1.5","143"
"OOLU271335984031","18/02/2023","Bmw Ag Vz3 Worth Luitpoldpark","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","558"
"OOLU271335984026","18/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","210"
"OOLU271335984027","18/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","135"
"OOLU271295412007","09/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","130"
"OOLU271295412013","09/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","73"
"OOLU271295412014","09/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","512"
"OOLU271295412015","09/02/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","849"
"DSVFPBC0032219","08/02/2023","Seat S A","Kayser Automotive Systems S En C Rio Papaloapan","Filtro Carbono","Houston, Tx","Veracruz","Mexico","3","12756"
"DSVF1903010163","03/02/2023","General Motors Do Brasil Ltda","Kayser Automotive Systems S En C Rio Papaloapan","Automotive","Houston, Tx","Veracruz","Mexico","1.5","89"
"DSVFPBC0032218","27/01/2023","Seat S A","Kayser Automotive Systems S En C Rio Papaloapan","Canister Filtro Carbon","Houston, Tx","Veracruz","Mexico","1.5","6378"
"OOLU271170187003","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","322"
"OOLU271170187004","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.47","26"
"OOLU271170187030","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","1188"
"OOLU271170187017","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","33"
"OOLU271170187016","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","88"
"OOLU271170187019","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","206"
"OOLU271170187031","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","97"
"OOLU271170187032","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","187"
"OOLU271170187033","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","1288"
"OOLU271170187034","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","226"
"OOLU271170187012","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","742"
"OOLU271170187011","13/01/2023","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","106"
"DSVFPBC0032217","07/01/2023","Seat S A","Kayser Automotive Systems S En C Rio Papaloapan","Filtro Carbon","Houston, Tx","Veracruz","Mexico","1.5","6378"
"OOLU271110633017","29/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","773"
"OOLU271110633006","29/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","251"
"OOLU271110633021","29/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","1901"
"OOLU270998582004","18/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","734"
"OOLU270998582005","18/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","740"
"DSVFPBC0031432","14/12/2022","Seat S A","Kayser Automotive Systems S En C Rio Papaloapan","Filtro Carbonf","Houston, Tx","Veracruz","Mexico","1.5","6378"
"OOLU270943352009","13/12/2022","Bmw Ag Vz3 Worth Luitpoldpark","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","185"
"OOLU270943352020","13/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","789"
"OOLU270943340022","13/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","782"
"OOLU270943340026","13/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","126"
"OOLU270943352008","13/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","133"
"OOLU270943352019","13/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.5","857"
"OOLU270943352021","13/12/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","New Orleans, La","Veracruz","Mexico","1.06","18"
"DSVF1902101091","08/12/2022","General Motors Do Brasil Ltda","Kayser Automotive Systems S En C Rio Papaloapan","Automotive","Houston, Tx","Veracruz","Mexico","1","104"
"DSVFPBC0031431","08/12/2022","Seat S A","Kayser Automotive Systems S En C Rio Papaloapan","Filtro Carbon","Houston, Tx","Veracruz","Mexico","1.5","6378"
"DSVF1902100850","11/11/2022","General Motors Do Brasil Ltda","Kayser Automotive Systems S En C Rio Papaloapan","Automotive","Houston, Tx","Veracruz","Mexico","1.5","104"
"BANQPBC0016084","21/08/2022","Volkswagen Konzernlogistik Gmbh & C Brieffach","Kayser Automotive Systems S En C Rio Papaloapan","Stc Automotive Carbon Canister Filtros Carbon Activo","Houston, Tx","Veracruz","Mexico","1","46"
"BANQPBC0016084","21/08/2022","Volkswagen Konzernlogistik Gmbh & C Brieffach","Kayser Automotive Systems S En C Rio Papaloapan","Stc Automotive Carbon Canister Filtros Carbon Activo","Houston, Tx","Veracruz","Mexico","1","46"
"BANQPBC0016084","21/08/2022","Volkswagen Konzernlogistik Gmbh & C Brieffach","Kayser Automotive Systems S En C Rio Papaloapan","Stc Automotive Carbon Canister Filtros Carbon Activo","Houston, Tx","Veracruz","Mexico","1","46"
"OOLU270298050029","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","179"
"OOLU270298050024","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","1291"
"OOLU270298050028","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","234"
"OOLU270298050030","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","340"
"OOLU270359086004","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","2045"
"OOLU270359086011","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","189"
"OOLU270359086009","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","2055"
"OOLU270298050025","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","127"
"OOLU270298050026","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","33"
"OOLU270359086002","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","48"
"OOLU270359086010","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","2054"
"OOLU270298050027","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","233"
"OOLU270298050031","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","286"
"OOLU270359086005","20/08/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","1083"
"OOLU269808471007","30/05/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","227"
"OOLU269808471009","30/05/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","230"
"OOLU269808471014","30/05/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","213"
"OOLU269808471003","30/05/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","142"
"OOLU269808471004","30/05/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","1787"
"OOLU269808471006","30/05/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","712"
"OOLU269808471013","30/05/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","86"
"OOLU269808471008","30/05/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","1164"
"OOLU269808471015","30/05/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","160"
"OOLU269255378003","22/04/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","471"
"OOLU269142339020","30/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","2346"
"OOLU269142339021","30/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","928"
"OOLU269142335012","29/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","1247"
"OOLU269197303010","29/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","153"
"OOLU269142335011","29/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","125"
"OOLU269197303003","29/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","4227"
"OOLU269197303006","29/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","871"
"OOLU269197303007","29/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","142"
"OOLU269197303011","29/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","453"
"OOLU269197303012","29/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","1068"
"OOLU269197303013","29/03/2022","Bmw Ag","Kayser Automotive Systems S En C Rio Papaloapan","Plastic Pipes Carbon Filter","Houston, Tx","Veracruz","Mexico","1.5","2961"
